PrepId,Description,PakQty,PakUOM,InventoryGroup,StdQty,StdUom,GHG Emission (g),GHG Emission (g)/StdUom,N lost (g),N lost (g)/StdUom,Freshwater Withdrawals (ml),Freshwater Withdrawals (ml)/StdUom,Stress-Weighted Water Use (ml),Stress-Weighted Water Use (ml)/StdUom
P-50310,BATTER|Pancake|Carrot Cake,5.000,L,PREP,5000.0,ml,3584.716984455959,0.7169433968911918,3.5460854922279794,0.0007092170984455959,848895.0207253885,169.77900414507772,25674749.341968913,5134.949868393783
P-50317,BATTER|Pancake|Lemon Poppyseed,5.000,L,PREP,5000.0,ml,4059.7599999999998,0.811952,3.3120000000000003,0.0006624000000000001,1220420.0,244.084,52056860.0,10411.372
P-28285,BATTER|Pancakes,4.800,Kg,PREP,4800.0,g,3045.0,0.634375,2.96,0.0006166666666666666,841200.0,175.25,25646200.0,5342.958333333333
P-50739,COMPOTE|Apple Cinnamon,2.500,L,PREP,2500.0,ml,1585.6689999999999,0.6342675999999999,0.7543125,0.00030172500000000003,297418.25,118.9673,2774421.5,1109.7686
P-26063,COMPOTE|Blueberry,2.600,L,PREP,2600.0,ml,3622.0275,1.3930875,0.5619375,0.0002161298076923077,737343.75,283.59375,29452750.0,11327.98076923077
P-26044,COMPOTE|Mixed Berry,3.300,L,PREP,3300.0,ml,4241.104000000001,1.2851830303030307,0.6817500000000001,0.00020659090909090912,918344.0,278.28606060606063,36757573.5,11138.658636363636
P-50513,COMPOTE|Peach,6.000,L,PREP,6000.0,ml,3485.148,0.580858,1.5322500000000001,0.000255375,46273.0,7.712166666666667,763537.0,127.25616666666667
P-50337,COMPOTE|Peach Rosemary,5.500,L,,5500.0,ml,2460.4525000000003,0.44735500000000006,1.4035,0.0002551818181818182,23792.5,4.325909090909091,124797.5,22.690454545454546
P-58949,COMPOTE|Strawberry,3.268,L,PREP,3268.0,ml,4241.104,1.2977674418604652,0.6817500000000001,0.0002086138310893513,918344.0,281.01101591187273,36757573.5,11247.727509179927
P-26058,DRESSING|Citrus Oil,1.000,L,PREP,1000.0,ml,2528.625,2.528625,0.0825,8.25e-05,10400.0,10.4,346575.0,346.575
