PrepId,Description,PakQty,PakUOM,InventoryGroup,StdQty,StdUom,GHG Emission (g),GHG Emission (g)/StdUom,N lost (g),N lost (g)/StdUom,Freshwater Withdrawals (ml),Freshwater Withdrawals (ml)/StdUom,Stress-Weighted Water Use (ml),Stress-Weighted Water Use (ml)/StdUom
P-50689,SAUTE|Zucchini,100.000,g,PREP,100.000,g,37.526149999999994,0.3752614999999999,0.0005375,5.375e-06,26.45,0.2645,246.15,2.4615
P-62021,SAUTEED|Shimeji Mushroom,1.750,Kg,PREP,1750.0,g,1455.535,0.8317342857142858,1.7795,0.001016857142857143,183065.0,104.60857142857142,6615235.0,3780.134285714286
P-54344,SESAME SEEDS|Toasted,3.000,L,,3000.0,ml,21427.0,7.142333333333333,6.1,0.002033333333333333,9116500.0,3038.8333333333335,646821500.0,215607.16666666666
P-35245,SHREDDED|Jicama,2.800,Kg,,2800.0,g,1191.0,0.4253571428571429,1.5,0.0005357142857142857,29700.0,10.607142857142858,113700.0,40.607142857142854
P-42425,SLICE|Cucumber|1/8,470.000,g,PREP,470.000,g,246.42100000000002,0.5243000000000001,0.3871,0.0008236170212765957,39837.0,84.7595744680851,1440355.0,3064.5851063829787
P-34116,SLICED|1/8 carrot,11.320,Kg,PREP,11320.0,g,3505.9900000000002,0.30971643109540636,9.0455,0.0007990724381625442,113355.0,10.0136925795053,433955.0,38.33524734982332
P-19209,SLICED|Celery,15.400,Kg,,15400.0,g,14483.52,0.9404883116883117,22.752,0.0014774025974025973,2341440.0,152.04155844155844,84657600.0,5497.2467532467535
P-50619,SLICED|Celery,7.500,Kg,,7500.0,g,5029.0,0.6705333333333333,7.9,0.0010533333333333334,813000.0,108.4,29395000.0,3919.3333333333335
P-41572,SPICEMIX|Ancho Rice,1135.000,g,PREP,1135.000,g,8563.2324,7.5446981497797365,0.6129,0.00054,22609.199999999997,19.919999999999998,200032.40000000002,176.24
P-44331,STEAMED|Broccoli,3.850,Kg,,3850.0,g,3110.0,0.8077922077922078,3.95,0.0010259740259740261,272500.0,70.77922077922078,12417000.0,3225.194805194805
P-26091,STEAMED|Rice|Jasmine,4.000,Kg,PREP,4000.0,g,5069.0,1.26725,1.06,0.000265,3152800.0,788.2,9254200.0,2313.55
P-56816,STEW|Beef Rendang,13.700,Kg,PREP,13700.0,g,442696.625,32.31362226277372,333.85735,0.024369149635036495,16828899.0,1228.3867883211678,614124649.0,44826.61671532847
P-68207,STEW|Poblano Pork,18.000,Kg,,18000.0,g,102797.775,5.7109875,136.27325000000002,0.007570736111111112,18839280.0,1046.6266666666668,578312710.0,32128.483888888888
P-50480,STOCK|Chicken,20.000,L,PREP,20000.0,ml,44969.921500000004,2.2484960750000003,118.966825,0.00594834125,3743142.5,187.157125,3588199.5,179.409975
P-26497,TOASTED|Walnuts,950.000,g,PREP,950.000,g,4285.400000000001,4.5109473684210535,1.22,0.0012842105263157894,1823300.0,1919.2631578947369,129364300.0,136172.94736842104
P-58343,VEG|MIX|KUNG PAO,13.500,Kg,,13500.0,g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P-51535,YIELD|70%Jalapeno|Processed,700.000,g,,700.000,g,502.90000000000003,0.7184285714285715,0.79,0.0011285714285714287,81300.0,116.14285714285714,2939500.0,4199.285714285715
P-9851,YIELD|Beets,7.484,Kg,,7484.0,g,3472.24676,0.4639560074826296,8.958442,0.0011970125601282735,112264.01999999999,15.000537145911276,429778.4199999999,57.42629877071084
P-12954,YIELD|Celery,750.000,g,,750.000,g,402.32,0.5364266666666666,0.632,0.0008426666666666667,65040.0,86.72,2351600.0,3135.4666666666667
P-51222,YIELD|Daikon|Peeled,4.500,Kg,,4500.0,g,1531.0000000000002,0.34022222222222226,3.95,0.0008777777777777778,49500.0,11.0,189500.0,42.111111111111114
P-51825,YIELD|Fried Rice|Protien,1.000,Kg,,1000.0,g,7547.89,7.547890000000001,4.01375,0.00401375,604680.0,604.68,21544105.0,21544.105
P-56819,YIELD|Lemongrass,700.000,g,,700.000,g,502.90000000000003,0.7184285714285715,0.79,0.0011285714285714287,81300.0,116.14285714285714,2939500.0,4199.285714285715
P-51530,YIELD|Papaya Green Shredded,700.000,g,,700.000,g,430.59999999999997,0.6151428571428571,0.27,0.0003857142857142857,3500.0,5.0,4700.0,6.714285714285714
P-57143,YIELD|Thai Chili Peppers,0.900,Kg,,900.0,g,502.90000000000003,0.5587777777777778,0.79,0.0008777777777777778,81300.0,90.33333333333333,2939500.0,3266.1111111111113
P-57145,YIELD|Yellow Pepper,8.300,Kg,,8300.0,g,5029.0,0.6059036144578314,7.9,0.0009518072289156627,813000.0,97.95180722891567,29395000.0,3541.5662650602408
P-61322,AIOLI|Pesto,4.000,L,ZDONT USE OK - PREP,4000.0,ml,4270.0,1.0675,0.3375,8.4375e-05,13612.5,3.403125,570962.5,142.740625
