Optimum Control ID,OC Description,SalesGroup,Combined Label,Red,Yellow,Green,GHG Emission (g),N lost (g),Land Use (m^2),Freshwater Withdrawals (L),Stress-Weighted Water Use (L),GHG Emission (g) / 100g,N lost (g) / 100g,Freshwater Withdrawals (L) / 100g,Stress-Weighted Water Use (L) / 100g,Land Use (m^2) / 100g
R-44735,ADD|Arugula|Omelet,ADD ONS,Green,False,False,True,16.50787057,0.158633571,0.064924571,1.1,49.8,82.54,0.79,5.5,249,0.32
R-16241,ADD|Beef Patty,GV GRILL DAY,Red,True,False,False,6251.712649,49.79093532,19.11836872,253.44,9264.06,5124.35,40.81,207.74,7593.49,15.67
R-44780,ADD|Condiment House Made,ADD ONS,Green,False,False,True,132.560043,0.241932547,0.143067517,3.14,192.61,220.93,0.4,5.23,321.02,0.24
R-13180,ADD|Crackers,ADD ONS,Yellow,False,True,False,9.134999817,0.088799998,0.029339999,2.52,76.93,152.25,1.48,42,1282.17,0.49
R-44739,ADD|Creamed Spin|Omelet,ADD ONS,Yellow,False,True,False,251.9484945,1.671109429,0.351998857,9.89,1183.29,359.93,2.39,14.13,1690.41,0.5
R-44765,ADD|Gravy|3oz,GV GRILL DAY,Green,False,False,True,79.505397,0.7657425,0.1158363,9.05,395.88,88.34,0.85,10.06,439.87,0.13
R-57388,ADD|Gravy|plant based,FOOD,Green,False,False,True,0.0,0.064977188,0.0,0.28,11.01,0,0.08,0.33,12.95,0
R-41489,ADD|Marshmallow,ADD ONS,Green,False,False,True,19.6968,0.0,0.02868,0.12,0.78,164.14,0,1,6.5,0.24
R-46996,ADD|Pulled Pork,GV GRILL DAY,Red,True,False,False,1765.236455,22.67934566,3.759692897,311.84,9485.39,1412.19,18.14,249.47,7588.31,3.01
R-42493,ADD|Sour Cream & Salsa,ADD ONS,Yellow,False,True,False,209.472,1.0449,0.234,1.45,949.12,349.12,1.74,2.42,1581.87,0.39
R-51303,ALF|Pasta|Chorizo Penne,OK - AL FORNO,Yellow,False,True,False,1266.340082,14.8032102,2.383448609,235.75,9012.87,277.1,3.24,51.59,1972.18,0.52
R-52829,BBC|Baked yogurt|POP,SPECIALS,Green,False,False,True,564.8393702,4.665184139,0.368984192,59.95,2644.25,126.93,1.05,13.47,594.21,0.08
R-52828,BBC|High tideline salad|POP,SPECIALS,Green,False,False,True,127.9510914,1.593988656,0.306489563,19.06,897.77,73.54,0.92,10.95,515.96,0.18
R-12393,BEV|Coffee|12 oz,BEVERAGE,Green,False,False,True,774.2494625,0.1501425,1.003129167,1.61,46.39,261.81,0.05,0.54,15.69,0.34
R-12394,BEV|Coffee|16 oz,BEVERAGE,Green,False,False,True,1083.949248,0.2101995,1.404380833,2.25,64.95,261.81,0.05,0.54,15.69,0.34
R-67307,BEV|Coffee|Ethical Bean Promo,BEVERAGE,Green,False,False,True,1083.949248,0.2101995,1.404380833,2.25,64.95,261.81,0.05,0.54,15.69,0.34
R-53768,BEV|Cold Brew|Two Bears|Black,BEVERAGE,Red,True,False,False,16.6995,0.0027,0.02162,0.03,0.34,1669.95,0.27,3,34,2.16
R-52932,BEV|Cold Brew|Two Bears|Black,BEVERAGE,Red,True,False,False,16.6995,0.0027,0.02162,0.03,0.34,1669.95,0.27,3,34,2.16
R-53769,BEV|Cold Brew|Two Bears|Mocha,BEVERAGE,Red,True,False,False,16.6995,0.0027,0.02162,0.03,0.34,1669.95,0.27,3,34,2.16
R-53073,BEV|Core Power|Asst,BEVERAGE,Yellow,False,True,False,2.614,0.000675,0.01724,0.01,0.06,261.4,0.07,1,6,1.72
R-64333,BEV|Core Power|Banana,BEVERAGE,Green,False,False,True,0.7115,0.0027,0.00193,0.0,0.03,71.15,0.27,0,3,0.19
R-37761,BEV|Core Power|Chocolate,BEVERAGE,Red,True,False,False,10.456,0.0027,0.06896,0.02,0.22,1045.6,0.27,2,22,6.9
R-62981,BEV|Core Power|Chocolate|Elite,BEVERAGE,Red,True,False,False,10.456,0.0027,0.06896,0.02,0.22,1045.6,0.27,2,22,6.9
R-64153,BEV|Core Power|StrawberryBana,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-38098,BEV|Core Power|StrawberryBanan,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-38035,BEV|Core Power|Vanilla,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-45971,BEV|Fruit Water|Black Cherry,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-45972,BEV|Fruit Water|Peach Mango,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
