ProdId,Description,SalesGroup,Weight (g),GHG Emission (g),N lost (g),Land Use (m^2),Freshwater Withdrawals (L),Stress-Weighted Water Use (L),GHG Emission (g) / 100g,N lost (g) / 100g,Freshwater Withdrawals (L) / 100g,Stress-Weighted Water Use (L) / 100g,Land Use (m^2) / 100g,GHG Only Label,Combined Label
R-14341,nigiri tuna,N,56.0,278.8688,3.9368,0.3863999999999999,88.51,475.07,497.98,7.03,158.05,848.34,0.69,Red,Red
R-17134,NOBASHI TEMPURA,N,292.9999997582,3225.8881948913945,7.2328999830014595,4.959209999281854,114.96,4555.99,1100.99,2.47,39.24,1554.95,1.69,Red,Red
R-18274,Orange Vinaigrette 2023,Y,886.3489999999999,1000.702994,0.2253434,4.239432540000001,3.29,37.32,112.9,0.03,0.37,4.21,0.48,Green,Green
R-15513,PICNIC Mac&Cheese Meal,N,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
R-17941,Porch - Yellow Curry,N,11231.100000084,4136.871200042244,22.579100000663605,17.299860000099958,32.86,1070.19,36.83,0.2,0.29,9.53,0.15,Green,Green
R-14665,Porch Dressing Asian Sesame,N,294.0,233.3961,0.7913,0.5791799999999965,74.15,944.11,79.39,0.27,25.22,321.13,0.2,Green,Green
R-14723,Porch Roasted Red onion,N,1163.0,745.6009,7.94025,1.93699999999999,8.77,551.48,64.11,0.68,0.75,47.42,0.17,Green,Green
R-14726,Porch Roasted Yellow Pepper,N,1163.0,874.7008999999999,2.74025,2.1169999999999902,10.37,499.18,75.21,0.24,0.89,42.92,0.18,Green,Green
R-14719,Porch Roasted Zuccuhini,N,1163.0,874.7009,2.74025,2.1169999999999902,10.37,499.18,75.21,0.24,0.89,42.92,0.18,Green,Green
R-7814,Porch Tomato Chipotle Soup,Y,49855.0,28958.1235,307.68575000000004,21.73529999999995,2782.64,159011.98,58.08,0.62,5.58,318.95,0.04,Green,Green
R-15838,proposed change to sangria,Y,13125.0,233.095,1.5525000000000002,0.38825,36.76,219.25,1.78,0.01,0.28,1.67,0.0,Green,Green
R-17987,Puttanesca sauce (special 2023,N,214.7465875,1536.05356320375,0.7221968049999999,5.88943964475,34.44,2466.6,715.29,0.34,16.04,1148.61,2.74,Red,Red
R-18719,Puttanesca Sauce M/o Special,N,222.68529992284004,918.4981197766554,0.7767645843904362,3.608562380986879,26.99,1920.46,412.46,0.35,12.12,862.41,1.62,Red,Yellow
R-12339,rice vinegar,N,34851.99249798399,62666.84484440529,1.1821861445568,35.89793423415328,176.03,1305.44,179.81,0.0,0.51,3.75,0.1,Green,Green
R-16701,roasted baby carrots,N,1060.148,493.01565260000007,7.91183615,1.0972225799999942,13.89,329.95,46.5,0.75,1.31,31.12,0.1,Green,Green
R-18268,Roasted mix veggie 2023,Y,2611.000144896037,1118.4137443671664,12.511151144678694,2.141020046366732,11.97,58.51,42.83,0.48,0.46,2.24,0.08,Green,Green
R-16654,Rose Sangria Tap 2022,Y,13503.0,296.8368,2.0331,0.49683,57.34,401.85,2.2,0.02,0.42,2.98,0.0,Green,Green
R-11285,Sangria Red Tap 2022 TBD,Y,13450.3085,161.475,1.0125000000000002,0.26625,14.39,14.84,1.2,0.01,0.11,0.11,0.0,Green,Green
R-11439,Sangria White Tap 2022 TBD,Y,12998.176,322.95,2.0250000000000004,0.5325,14.87,15.77,2.48,0.02,0.11,0.12,0.0,Green,Green
R-14506,Sesame Ginger Soy Dressing,Y,620.6653125084,1092.5517265104745,1.44935441256636,3.098863029384992,216.24,950.49,176.03,0.23,34.84,153.14,0.5,Green,Green
R-7119,Simple Syrup,Y,1350.0,574.49,0.0,0.8365,4.54,23.82,42.55,0.0,0.34,1.76,0.06,Green,Green
R-13392,Soda Water,N,28.3545,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.11,0.11,0.0,Green,Green
R-18317,Spicy marinara sauce 2023,N,191.2988,501.57406436,0.34225401,2.170865956,1.07,20.08,262.19,0.18,0.56,10.5,1.13,Yellow,Green
R-15180,Sub-Caesar Salad,N,205.0867746759052,352.1848650306853,4.238530753130601,0.8640700561087357,64.15,2381.32,171.72,2.07,31.28,1161.13,0.42,Green,Yellow
R-13956,Sushi Rice,N,4000.0,10138.0,21.2,8.68,6299.6,18502.4,253.45,0.53,157.49,462.56,0.22,Yellow,Green
R-13955,Sushi Su,N,18500.0,32651.2,0.0,19.12,90.8,531.6,176.49,0.0,0.49,2.87,0.1,Green,Green
R-15037,Tikka Marinade for chicken Gal,N,554.8000000168,1744.3186200084488,9.45007000013272,3.665852000019992,93.98,4602.59,314.4,1.7,16.94,829.59,0.66,Yellow,Yellow
R-15315,TOGO ,N,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Green,Green
R-18272,Truffle Mushroom Pasta 2023,N,342.824999261328,1539.97763721079,8.291102498102664,2.927250960166852,84.69,5556.78,449.2,2.42,24.7,1620.88,0.85,Red,Red
R-15427,Vegan Chipotle Mayo,N,1150.0,9370.3,7.7625,31.0,27.93,390.54,814.81,0.68,2.43,33.96,2.7,Red,Red
R-15426,Vegan Tofu Scramble,N,50.28000000168,48.81081200084488,0.339712000013272,0.0873332000019991,2.22,18.3,97.08,0.68,4.42,36.4,0.17,Green,Green
R-15544,VEGGIE BENNY,N,225.0,342.127,1.8025,1.816599999999979,21.78,678.34,152.06,0.8,9.68,301.48,0.81,Green,Green
R-18675,Veggie Burger Special 2023,N,294.54499588353895,294.34450713613364,2.229054946066858,0.9032098118144962,33.65,1149.94,99.93,0.76,11.42,390.41,0.31,Green,Green
