Optimum Control ID,OC Description,SalesGroup,Combined Label,Red,Yellow,Green,GHG Emission (g),N lost (g),Land Use (m^2),Freshwater Withdrawals (L),Stress-Weighted Water Use (L),GHG Emission (g) / 100g,N lost (g) / 100g,Freshwater Withdrawals (L) / 100g,Stress-Weighted Water Use (L) / 100g,Land Use (m^2) / 100g
R-57368,S&S|Red Coconut Curry|TOFU,FT STICKS AND SPOONS,Green,False,False,True,584.5520514359876,2.506513820514574,1.4433285293621103,126.39,599.58,138.52,0.59,29.95,142.08,0.34
R-64533,S&S|Red Curry Chicken GrabnGo,FT STICKS AND SPOONS,Yellow,False,True,False,1055.66544381694,20.338967788768542,2.6875866246002054,184.38,648.61,262.6,5.06,45.87,161.35,0.67
R-62646,S&S|Rice|Basmati ,FT STICKS AND SPOONS,Green,False,False,True,214.67259700176368,0.4489109347442681,0.1837993827160494,133.49,391.88,126.28,0.26,78.52,230.52,0.11
R-56984,S&S|Sesame Edamame|SIDE,FEAST,Green,False,False,True,244.094474375,0.7620805625000001,0.6066502999999995,2.88,148.66,195.28,0.61,2.3,118.93,0.49
R-56989,S&S|Sesame&Cashew Slaw|add on,FT STICKS AND SPOONS,Green,False,False,True,81.40957866286767,0.7303836801889014,0.2262447368908931,14.43,910.31,90.46,0.81,16.03,1011.46,0.25
R-44407,S&S|Side Roti|FLX,FT OASIS/CHAAT,Yellow,False,True,False,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49
R-54794,S&S|SIDE|Chow Mein,FT STICKS AND SPOONS,Green,False,False,True,87.54156909027859,0.9932323071865756,0.2724772249135558,18.53,591.23,97.27,1.1,20.59,656.92,0.3
R-46603,S&S|Sing Bihon Noodle|BEEF,FT STICKS AND SPOONS,Red,True,False,False,4308.052112701202,33.19759541024859,13.146344637548117,239.24,6410.99,963.77,7.43,53.52,1434.23,2.94
R-55430,S&S|Sing Bihon Noodle|TOFU ,FT STICKS AND SPOONS,Green,False,False,True,519.0889714808803,2.5186034836036617,1.4011946413833054,81.61,624.23,156.82,0.76,24.66,188.59,0.42
R-46601,S&S|Sing Cashew Chicken|PLATE,FT STICKS AND SPOONS,Yellow,False,True,False,1131.455202052966,17.71426558029199,2.499606146617319,209.27,4684.36,181.32,2.84,33.54,750.7,0.4
R-46602,S&S|Sing Cashew Tempeh|PLATE,FT STICKS AND SPOONS,Green,False,False,True,649.2652072605317,3.6755275408993175,1.3144327623562302,157.7,4226.73,125.58,0.71,30.5,817.55,0.25
R-44837,S&S|Southeast Braised Beef|ADD,FT SIDES ,Red,True,False,False,2685.320760409252,21.560157944471552,8.18022420933498,108.61,3953.8,2983.69,23.96,120.68,4393.11,9.09
R-51239,S&S|Steamed Edamame| SIDE,FT SIDES ,Green,False,False,True,263.57,0.885,0.6209999999999999,0.99,4.86,174.55,0.59,0.66,3.22,0.41
R-62645,S&S|Steamed Green Beans|SIDE,FT SIDES ,Green,False,False,True,236.1121555102041,0.8267438775510203,1.816416326530612,0.0,0.02,168.65,0.59,0.0,0.01,1.3
R-62340,S&S|Stirfry Mixed Veggies|SIDE,FT SIDES ,Green,False,False,True,93.47791999076632,1.347364792509245,0.261450878354651,10.3,373.8,62.32,0.9,6.87,249.2,0.17
