Category,Displayed Name,ProdId,Description,SalesGroup,Weight (g),GHG Emission (g),N lost (g),Land Use (m^2),Freshwater Withdrawals (L),Stress-Weighted Water Use (L),GHG Emission (g) / 100g,N lost (g) / 100g,Freshwater Withdrawals (L) / 100g,Stress-Weighted Water Use (L) / 100g,Land Use (m^2) / 100g,GHG Only Label,Combined Label
SL,Beef flat roast,R-48878,SL|Beef flat roast| +4,GV SIMPLY LOCAL,655,7951.959701,61.75313433,24.15592943,461.81,12588.11,1214.04,9.43,70.51,1921.85,3.69,Red,Red
SL,Beef flat roast,R-62209,SL|Beef flat roast| 125g,GV SIMPLY LOCAL,176,7354.379994,58.05928416,22.56100439,302.99,11287.55,4178.62,32.99,172.15,6413.38,12.82,Red,Red
SL,Beef flat roast,R-62210,SL|Beef flat roast|Plate,GV SIMPLY LOCAL,415.4,7607.662992,60.78907537,22.56100439,320.57,11924.83,1831.41,14.63,77.17,2870.69,5.43,Red,Red
SL,Beef Rib,R-50319,SL|Beef Rib|Entre,SPECIALS,488,31395.08077,249.9327642,94.7135178,1266.19,47676.14,6433.42,51.22,259.47,9769.7,19.41,Red,Red
SL,Beef Roast Plate,R-48880,SL|Beef Roast Plate|Sample,GV SIMPLY LOCAL,325.015,7184.520878,56.85280069,21.80363718,332,11068.15,2210.52,17.49,102.15,3405.43,6.71,Red,Red
SL,Beef Short Rib,R-64861,SL|Beef Short Rib|Plate,GV - FLEX BC,389.4,7610.133765,61.46595821,22.41554823,315.09,11520.93,1954.32,15.78,80.92,2958.64,5.76,Red,Red
SL,Big Veg Beet roast,R-65673,SL|Big Veg Beet roast|320g,GV SIMPLY LOCAL,370,335.1566037,4.627640351,0.828968038,11.92,315.58,90.58,1.25,3.22,85.29,0.22,Green,Green
SL,Big Veg Eggplant,R-62170,SL|Big Veg Eggplant|+1,GV SIMPLY LOCAL,510,532.9473254,4.945052039,1.413897514,103.66,2064.54,104.5,0.97,20.33,404.81,0.28,Green,Green
SL,Big Veg Eggplant,R-62169,SL|Big Veg Eggplant|+2,GV SIMPLY LOCAL,650,663.7085483,5.548301108,1.653333612,162.35,2519.51,102.11,0.85,24.98,387.62,0.25,Green,Green
SL,Big Veg Eggplant,R-62168,SL|Big Veg Eggplant|+3,GV SIMPLY LOCAL,760,756.4522712,6.072050177,1.86021971,197.39,2905.06,99.53,0.8,25.97,382.24,0.24,Green,Green
SL,Big Veg Eggplant,R-45101,SL|Big Veg Eggplant|320g,GV SIMPLY LOCAL,370,402.1861025,4.34180297,1.174461416,44.97,1609.58,108.7,1.17,12.15,435.02,0.32,Green,Green
SL,Big Veg Eggplant,R-62229,SL|Big Veg Eggplant|plate,GV SIMPLY LOCAL,609.4,655.4691003,7.071594187,1.174461416,62.54,2246.86,107.56,1.16,10.26,368.7,0.19,Green,Green
SL,Big Veg roast beets,R-65678,SL|Big Veg roast beets|Plate,GV SIMPLY LOCAL,370,335.1566037,4.627640351,0.828968038,11.92,315.58,90.58,1.25,3.22,85.29,0.22,Green,Green
SL,Big Veg zucchini,R-66197,SL|Big Veg zucchini|+1,GV SIMPLY LOCAL,510,427.4476481,3.925156351,1.122797577,92.77,1685.64,83.81,0.77,18.19,330.52,0.22,Green,Green
SL,Big Veg zucchini,R-66196,SL|Big Veg zucchini|+2,GV SIMPLY LOCAL,650,558.208871,4.52840542,1.362233675,151.46,2140.6,85.88,0.7,23.3,329.32,0.21,Green,Green
SL,Big Veg Zucchini,R-66195,SL|Big Veg Zucchini|320g,GV SIMPLY LOCAL,370,296.6864252,3.321907282,0.883361479,34.08,1230.68,80.19,0.9,9.21,332.62,0.24,Green,Green
SL,big Veg Zucchini,R-66582,SL|big Veg Zucchini|Plate,GV SIMPLY LOCAL,609.4,549.969423,6.0516985,0.883361479,51.65,1867.96,90.25,0.99,8.48,306.52,0.14,Green,Green
SL,Big Veg,R-62196,SL|Big Veg|brussel sprouts,GV SIMPLY LOCAL,370,602.2171849,4.326350909,2.357958568,32.54,1465.28,162.76,1.17,8.79,396.02,0.64,Green,Green
SL,Big veg,R-62711,SL|Big veg|brussel|+1,GV SIMPLY LOCAL,370,602.2171849,4.326350909,2.357958568,32.54,1465.28,162.76,1.17,8.79,396.02,0.64,Green,Green
SL,Big veg,R-62710,SL|Big veg|brussel|+2,GV SIMPLY LOCAL,370,602.2171849,4.326350909,2.357958568,32.54,1465.28,162.76,1.17,8.79,396.02,0.64,Green,Green
SL,Big veg,R-53492,SL|Big veg|BrusselRoasted,GV SIMPLY LOCAL,320,440.7048221,3.734511405,1.725676255,25.76,1169.6,137.72,1.17,8.05,365.5,0.54,Green,Green
SL,Big veg,R-62046,SL|Big veg|BrusselRoasted +1,GV SIMPLY LOCAL,423,595.1133088,4.520628343,2.113902151,70.25,1487.66,140.69,1.07,16.61,351.69,0.5,Green,Green
SL,Big veg,R-62045,SL|Big veg|BrusselRoasted +2,GV SIMPLY LOCAL,526,749.5217956,5.306745281,2.502128048,114.74,1805.71,142.49,1.01,21.81,343.29,0.48,Green,Green
SL,Big veg,R-62044,SL|Big veg|BrusselRoasted +3,SPECIALS,630,904.8935874,6.101322217,2.893548954,159.26,2124.94,143.63,0.97,25.28,337.29,0.46,Green,Green
SL,Big veg,R-62195,SL|Big veg|Brussels|Plate,GV SIMPLY LOCAL,609.4,855.5001827,7.056142126,2.357958568,50.12,2102.56,140.38,1.16,8.22,345.02,0.39,Green,Green
SL,Big Veg,R-62065,SL|Big Veg|Cauli Roasted| +1,GV SIMPLY LOCAL,500,431.6960313,3.588399151,1.544628656,28.43,1292.59,86.34,0.72,5.69,258.52,0.31,Green,Green
SL,Big Veg,R-62066,SL|Big Veg|Cauli Roasted| +2,GV SIMPLY LOCAL,630,515.0607191,4.594361795,1.740307699,34.71,1539.92,81.76,0.73,5.51,244.43,0.28,Green,Green
SL,Big Veg,R-62064,SL|Big Veg|Cauli Roasted| +3,GV SIMPLY LOCAL,760,598.425407,5.600324438,1.935986742,40.98,1787.24,78.74,0.74,5.39,235.16,0.25,Green,Green
SL,Big Veg,R-37781,SL|Big Veg|Caulif Roast|320g,GV SIMPLY LOCAL,370,348.3313434,2.582436508,1.348949613,22.16,1045.26,94.14,0.7,5.99,282.5,0.36,Green,Green
SL,Big Veg,R-62205,SL|Big Veg|Caulif Roast|Plate,GV SIMPLY LOCAL,609.4,601.6143412,5.312227725,1.348949613,39.74,1682.54,98.72,0.87,6.52,276.1,0.22,Green,Green
SL,Bruss Sprout Lemon Thyme,R-36859,SL|Bruss Sprout Lemon Thyme|SL,GV SIMPLY LOCAL,104.5,84.19550298,0.928771355,0.31142014,7.1,333.59,80.57,0.89,6.79,319.22,0.3,Green,Green
SL,Chicken Breast,R-46325,SL|Chicken Breast,GV SIMPLY LOCAL,173.5,900.7010682,23.59901031,0,75.15,84.03,519.14,13.6,43.31,48.43,0,Red,Red
SL,Chicken Breast plate,R-46326,SL|Chicken Breast plate,GV SIMPLY LOCAL,200.3125,193.7919345,1.467389543,0,42.3,613.21,96.74,0.73,21.12,306.13,0,Green,Green
SL,Chicken Breast,R-44799,SL|Chicken Breast|Lemon Thyme,GV SIMPLY LOCAL,194,992.2556184,25.74457959,2.629597755,81.99,92,511.47,13.27,42.26,47.42,1.36,Red,Red
