ProdId,Description,SalesGroup,GHG Emission (g),Weight (g),GHG Emission (Kg),GHG Emission (Kg) / 100g,GHG Emission (g) / 100g,Sales,GHG Emission (g) / 100g*Sales,N lost (g) / 100g,Stress-Weighted Water Use (L) / 100g,Land Use (m^2) / 100g
R-48838,MS|Pizza|Pesto Pollo,FT MERCANTE,1415.0156,430.0,1.415,0.329073,329.073395,2026,666702.6983,5.21,1724.84,0.76
R-45192,S&S|Sweet & Sour|Pork|PLATE,FT STICKS AND SPOONS,1443.232338,430.0,1.4432,0.335635,335.635427,1447,485664.4629,3.59,1524.64,0.9
R-51192,GRL|Pancake|Rasp Choc Chip,FT GRILL BREAKFAST,436.105542,430.0,0.4361,0.10142,101.419893,198,20081.13881,0.66,673.57,0.25
R-23872,G&G|Cereal Cold|Large| & Milk,FT GRAB & GO,893.0794552,430.028,0.8931,0.207679,207.679373,367,76218.32989,1.74,923.88,0.23
R-54701,POP2|Sunomono Salad,FEAST,511.3420142,437.0,0.5113,0.117012,117.011903,27,3159.321381,0.54,171.7,0.14
R-8358,MS|Pizza|Pesto,FT MERCANTE,1567.950772,438.56,1.568,0.357523,357.522522,201,71862.02692,3.95,2661.46,0.71
R-53241,HS|Pumpkin Gnocchi|BVPOP,FT HOMESKILLET,1288.160023,440.9999254,1.2882,0.2921,292.099828,58,16941.79002,2.79,1991.12,0.47
R-30525,SIDE|Small Bowl|16oz,FT SIDES,700.5827542,448.0,0.7006,0.15638,156.380079,16925,2646732.837,1.74,929.63,0.36
R-35749,GR|Salad|Honey Sesame Chicken,FT SWEETGREEN,924.7818632,450.0,0.9248,0.205507,205.507081,1731,355732.7572,3.48,571.72,0.6
R-54704,POP2|Oystermari Bowl,FEAST,537.9999527,450.0,0.538,0.119556,119.555545,81,9683.999145,0.52,597.31,0.26
R-52752,FRUIT|Strawberry|Basket,FT GRAB & GO,750.5586824,453.592,0.7506,0.16547,165.47,233,38554.51,0.27,1624.51,0.07
R-24092,FRUIT|Blueberry|Basket.,FT GRAB & GO,750.5586824,453.592,0.7506,0.16547,165.47,61,10093.67,0.27,1624.51,0.07
R-24091,FRUIT|Blackberry|Basket,FT GRAB & GO,751.2348818,454.0006538,0.7512,0.16547,165.47,9,1489.23,0.27,1624.51,0.07
R-44308,BNO|Bowl|Pulled Pork,FT BUENO,1632.925216,455.0,1.6329,0.358885,358.884663,1699,609745.0424,3.93,1609.21,0.78
R-44303,BNO|Burrito|Pulled Pork,FT BUENO,1634.447716,456.0,1.6344,0.358432,358.431517,2456,880307.8058,3.59,1562.93,0.74
R-47240,HS|Chicken Chop Suey Plate,FT HOMESKILLET,872.4356035,460.0,0.8724,0.18966,189.659914,1018,193073.7925,3.98,423.22,0.52
R-47239,HS|Tofu Chop Suey Plate,FT STICKS AND SPOONS,484.6585452,460.0,0.4847,0.105361,105.360553,276,29079.51263,0.9,337.75,0.29
R-47232,S&S|Katsu|Pork,FT STICKS AND SPOONS,1412.538882,475.0000288,1.4125,0.297377,297.376589,1002,297971.3422,3.51,1399.11,0.58
R-51302,S&S|Kitsune Soba Bowl,FT STICKS AND SPOONS,234.1375735,475.25,0.2341,0.049266,49.266191,192,9459.108672,0.46,181.26,0.13
R-47234,S&S| Katsu|Tofu,FT STICKS AND SPOONS,553.2480997,480.0,0.5532,0.11526,115.260021,205,23628.30431,0.51,116.43,0.19
R-56115,HS|Perogy Plate|NO SMOKIE,FT HOMESKILLET,1224.067091,488.0,1.2241,0.250833,250.83342,401,100584.2014,2.15,1474.39,0.29
R-43587,BNO|Burrito|Ancho Chicken,FT BUENO,937.5933178,491.0,0.9376,0.190956,190.955869,5563,1062287.499,2.87,353.25,0.47
R-53969,HS|WildRiceDustRockfish|STOLW,FT HOMESKILLET,3715.906843,492.0,3.7159,0.755266,755.265618,107,80813.42113,4.06,1836.48,0.36
