invoice_counter,invoice_num,invoice_total,item_num,qty,line_amount,adj_line_amount,uom,unit_cost,item_descrip,invoice_date,supplier_name,store_num,type_bill_credit,cost_over_ride,line_amount_qty,case_uom,supplier_num,prod_group_num,prod_group_descrip,order_code,compute_0022,pak_qty,case_qty,purchase_uom,cat_num,cat_descrip,has_credit,credit_pak_amount
253214,9001638244,408.5300,3592,1.0000,26.3900,26.3900,cs,26.3900,SUNFLOWER RAW TFC,2023-05-02,GORDON FOOD SERVICE (GFS),83,B,N,3.000,Kg,26,16,FOOD - GROCERY,6362405,N,1.000,3.000,CA,2,Food,N,0
254219,9001855596,26.3900,3592,1.0000,26.3900,26.3900,CA,26.3900,SUNFLOWER RAW TFC,2023-05-19,GORDON FOOD SERVICE (GFS),17,B,N,3.000,Kg,26,16,FOOD - GROCERY,6362405,N,1.000,3.000,CA,2,Food,N,0
254544,9001986315,1254.6200,3592,2.0000,52.7800,52.7800,cs,26.3900,SUNFLOWER RAW TFC,2023-05-31,GORDON FOOD SERVICE (GFS),83,B,N,6.000,Kg,26,16,FOOD - GROCERY,6362405,N,1.000,3.000,CA,2,Food,N,0
253874,9001809003,1108.0800,3669,1.0000,68.4400,68.4400,cs,68.4400,SYRUP CORN GOLDEN,2023-05-16,GORDON FOOD SERVICE (GFS),83,B,Y,12.000,L,26,16,FOOD - GROCERY,1164593,N,1.000,12.000,cs,2,Food,N,0
254078,9001683137,12563.7100,3670,2.0000,459.3800,459.3800,cs,229.6900,SYRUP MAPLE CDN ORIG,2023-05-05,GORDON FOOD SERVICE (GFS),89,B,N,24.000,JUG,26,16,FOOD - GROCERY,1104543,N,2.000,6.000,cs,2,Food,N,0
253517,9001737407,335.2900,3670,1.0000,229.6900,229.6900,cs,229.6900,SYRUP MAPLE CDN ORIG,2023-05-10,GORDON FOOD SERVICE (GFS),83,B,Y,12.000,JUG,26,16,FOOD - GROCERY,1104543,N,2.000,6.000,cs,2,Food,N,0
254703,9002069996,576.1400,3670,1.0000,229.6900,229.6900,cs,229.6900,SYRUP MAPLE CDN ORIG,2023-06-07,GORDON FOOD SERVICE (GFS),83,B,N,12.000,JUG,26,16,FOOD - GROCERY,1104543,N,2.000,6.000,cs,2,Food,N,0
254078,9001683137,12563.7100,3671,4.0000,242.0400,242.0400,cs,60.5100,SYRUP TABLE PANCAKE MAPLE TFC,2023-05-05,GORDON FOOD SERVICE (GFS),89,B,Y,64.000,4L,26,16,FOOD - GROCERY,9779605,N,4.000,4.000,cs,2,Food,N,0
254882,9002001316,603.9200,3671,2.0000,121.0200,121.0200,cs,60.5100,SYRUP TABLE PANCAKE MAPLE TFC,2023-06-01,GORDON FOOD SERVICE (GFS),89,B,N,32.000,4L,26,16,FOOD - GROCERY,9779605,N,4.000,4.000,cs,2,Food,N,0
254078,9001683137,12563.7100,3110,10.0000,257.4000,257.4000,cs,25.7400,TOFU EXTRA*FIRM ,2023-05-05,GORDON FOOD SERVICE (GFS),89,B,Y,42000.000,pak,26,16,FOOD - GROCERY,1156129,N,350.000,12.000,cs,2,Food,N,0
254883,9002017833,6536.4700,3110,4.0000,102.9600,102.9600,cs,25.7400,TOFU EXTRA*FIRM ,2023-06-02,GORDON FOOD SERVICE (GFS),89,B,N,16800.000,pak,26,16,FOOD - GROCERY,1156129,N,350.000,12.000,cs,2,Food,N,0
254885,9002069968,1301.2600,3110,2.0000,51.4800,51.4800,cs,25.7400,TOFU EXTRA*FIRM ,2023-06-07,GORDON FOOD SERVICE (GFS),89,B,N,8400.000,pak,26,16,FOOD - GROCERY,1156129,N,350.000,12.000,cs,2,Food,N,0
254078,9001683137,12563.7100,19737,1.0000,35.3300,35.3300,cs,35.3300,TOMATO CRUSHED,2023-05-05,GORDON FOOD SERVICE (GFS),89,B,N,17.040,can,26,16,FOOD - GROCERY,1145320,N,2.840,6.000,cs,2,Food,N,0
254310,9001753745,2491.0700,19737,1.0000,35.3300,35.3300,cs,35.3300,TOMATO CRUSHED,2023-05-11,GORDON FOOD SERVICE (GFS),89,B,N,17.040,can,26,16,FOOD - GROCERY,1145320,N,2.840,6.000,cs,2,Food,N,0
254317,9001855538,633.0500,19737,1.0000,35.3300,35.3300,cs,35.3300,TOMATO CRUSHED,2023-05-19,GORDON FOOD SERVICE (GFS),89,B,N,17.040,can,26,16,FOOD - GROCERY,1145320,N,2.840,6.000,cs,2,Food,N,0
254321,9001936562,2922.2700,19737,2.0000,70.6600,70.6600,cs,35.3300,TOMATO CRUSHED,2023-05-26,GORDON FOOD SERVICE (GFS),89,B,N,34.080,can,26,16,FOOD - GROCERY,1145320,N,2.840,6.000,cs,2,Food,N,0
254883,9002017833,6536.4700,19737,2.0000,70.6600,70.6600,cs,35.3300,TOMATO CRUSHED,2023-06-02,GORDON FOOD SERVICE (GFS),89,B,N,34.080,can,26,16,FOOD - GROCERY,1145320,N,2.840,6.000,cs,2,Food,N,0
254885,9002069968,1301.2600,19737,1.0000,35.3300,35.3300,cs,35.3300,TOMATO CRUSHED,2023-06-07,GORDON FOOD SERVICE (GFS),89,B,N,17.040,can,26,16,FOOD - GROCERY,1145320,N,2.840,6.000,cs,2,Food,N,0
255353,9002170081,1230.1400,19737,1.0000,35.3300,35.3300,cs,35.3300,TOMATO CRUSHED,2023-06-15,GORDON FOOD SERVICE (GFS),89,B,N,17.040,can,26,16,FOOD - GROCERY,1145320,N,2.840,6.000,cs,2,Food,N,0
255355,9002212473,887.8100,19737,1.0000,35.3300,35.3300,cs,35.3300,TOMATO CRUSHED,2023-06-19,GORDON FOOD SERVICE (GFS),89,B,N,17.040,can,26,16,FOOD - GROCERY,1145320,N,2.840,6.000,cs,2,Food,N,0
254310,9001753745,2491.0700,3676,1.0000,54.8100,54.8100,cs,54.8100,TOMATO CRUSHED EXTRA HVY TFC,2023-05-11,GORDON FOOD SERVICE (GFS),89,B,N,17.040,LG CAN,26,16,FOOD - GROCERY,3584205,N,2.840,6.000,cs,2,Food,N,0
254313,9001793204,587.1000,3676,1.0000,54.8100,54.8100,cs,54.8100,TOMATO CRUSHED EXTRA HVY TFC,2023-05-15,GORDON FOOD SERVICE (GFS),89,B,N,17.040,LG CAN,26,16,FOOD - GROCERY,3584205,N,2.840,6.000,cs,2,Food,N,0
254883,9002017833,6536.4700,3676,1.0000,54.8100,54.8100,cs,54.8100,TOMATO CRUSHED EXTRA HVY TFC,2023-06-02,GORDON FOOD SERVICE (GFS),89,B,Y,17.040,LG CAN,26,16,FOOD - GROCERY,3584205,N,2.840,6.000,cs,2,Food,N,0
254078,9001683137,12563.7100,3678,1.0000,34.1500,34.1500,cs,34.1500,TOMATO DCD IN JUICE,2023-05-05,GORDON FOOD SERVICE (GFS),89,B,Y,17.040,LG CAN,26,16,FOOD - GROCERY,1193443,N,2.840,6.000,cs,2,Food,N,0
254310,9001753745,2491.0700,3678,1.0000,34.1500,34.1500,cs,34.1500,TOMATO DCD IN JUICE,2023-05-11,GORDON FOOD SERVICE (GFS),89,B,N,17.040,LG CAN,26,16,FOOD - GROCERY,1193443,N,2.840,6.000,cs,2,Food,N,0
254313,9001793204,587.1000,3678,2.0000,68.3000,68.3000,cs,34.1500,TOMATO DCD IN JUICE,2023-05-15,GORDON FOOD SERVICE (GFS),89,B,N,34.080,LG CAN,26,16,FOOD - GROCERY,1193443,N,2.840,6.000,cs,2,Food,N,0
254317,9001855538,633.0500,3678,1.0000,34.1500,34.1500,cs,34.1500,TOMATO DCD IN JUICE,2023-05-19,GORDON FOOD SERVICE (GFS),89,B,N,17.040,LG CAN,26,16,FOOD - GROCERY,1193443,N,2.840,6.000,cs,2,Food,N,0
254321,9001936562,2922.2700,3678,2.0000,68.3000,68.3000,cs,34.1500,TOMATO DCD IN JUICE,2023-05-26,GORDON FOOD SERVICE (GFS),89,B,N,34.080,LG CAN,26,16,FOOD - GROCERY,1193443,N,2.840,6.000,cs,2,Food,N,0
254883,9002017833,6536.4700,3678,2.0000,68.3000,68.3000,cs,34.1500,TOMATO DCD IN JUICE,2023-06-02,GORDON FOOD SERVICE (GFS),89,B,N,34.080,LG CAN,26,16,FOOD - GROCERY,1193443,N,2.840,6.000,cs,2,Food,N,0
255355,9002212473,887.8100,3678,2.0000,68.3000,68.3000,cs,34.1500,TOMATO DCD IN JUICE,2023-06-19,GORDON FOOD SERVICE (GFS),89,B,N,34.080,LG CAN,26,16,FOOD - GROCERY,1193443,N,2.840,6.000,cs,2,Food,N,0
253442,9001683250,2082.6800,3677,1.0000,66.4800,66.4800,cs,66.4800,TOMATO FIRE RST DCD ,2023-05-05,GORDON FOOD SERVICE (GFS),17,B,N,17.040,LG CAN,26,16,FOOD - GROCERY,1184049,N,2.840,6.000,cs,2,Food,N,0
254078,9001683137,12563.7100,3677,1.0000,66.4800,66.4800,cs,66.4800,TOMATO FIRE RST DCD ,2023-05-05,GORDON FOOD SERVICE (GFS),89,B,N,17.040,LG CAN,26,16,FOOD - GROCERY,1184049,N,2.840,6.000,cs,2,Food,N,0
253852,9001823789,66.4800,3677,1.0000,66.4800,66.4800,cs,66.4800,TOMATO FIRE RST DCD ,2023-05-17,GORDON FOOD SERVICE (GFS),17,B,N,17.040,LG CAN,26,16,FOOD - GROCERY,1184049,N,2.840,6.000,cs,2,Food,N,0
254671,9001986313,2837.2500,3677,1.0000,66.4800,66.4800,cs,66.4800,TOMATO FIRE RST DCD ,2023-05-31,GORDON FOOD SERVICE (GFS),17,B,N,17.040,LG CAN,26,16,FOOD - GROCERY,1184049,N,2.840,6.000,cs,2,Food,N,0
255205,9002187870,5122.3500,3677,1.0000,66.4800,66.4800,cs,66.4800,TOMATO FIRE RST DCD ,2023-06-16,GORDON FOOD SERVICE (GFS),17,B,N,17.040,LG CAN,26,16,FOOD - GROCERY,1184049,N,2.840,6.000,cs,2,Food,N,0
255359,9002243254,1178.6100,3677,1.0000,66.4800,66.4800,cs,66.4800,TOMATO FIRE RST DCD ,2023-06-21,GORDON FOOD SERVICE (GFS),89,B,N,17.040,LG CAN,26,16,FOOD - GROCERY,1184049,N,2.840,6.000,cs,2,Food,N,0
253428,097567,624.4400,2948,4.0000,127.9600,127.9600,pak,31.9900,TOMATO POLPA DI POMDORO POMI,2023-05-03,CIOFFI'S MEAT MARKET AND DELI,5,B,N,40.000,Kg,13,16,FOOD - GROCERY,WS00232,N,1.000,10.000,pak,2,Food,N,0
253429,097795,748.2600,2948,4.0000,127.9600,127.9600,pak,31.9900,TOMATO POLPA DI POMDORO POMI,2023-05-05,CIOFFI'S MEAT MARKET AND DELI,5,B,N,40.000,Kg,13,16,FOOD - GROCERY,WS00232,N,1.000,10.000,pak,2,Food,N,0
253691,098063,651.3600,2948,4.0000,127.9600,127.9600,pak,31.9900,TOMATO POLPA DI POMDORO POMI,2023-05-09,CIOFFI'S MEAT MARKET AND DELI,5,B,N,40.000,Kg,13,16,FOOD - GROCERY,WS00232,N,1.000,10.000,pak,2,Food,N,0
253692,098457,578.4800,2948,4.0000,127.9600,127.9600,pak,31.9900,TOMATO POLPA DI POMDORO POMI,2023-05-12,CIOFFI'S MEAT MARKET AND DELI,5,B,N,40.000,Kg,13,16,FOOD - GROCERY,WS00232,N,1.000,10.000,pak,2,Food,N,0
253818,098592,561.9400,2948,4.0000,127.9600,127.9600,pak,31.9900,TOMATO POLPA DI POMDORO POMI,2023-05-15,CIOFFI'S MEAT MARKET AND DELI,5,B,N,40.000,Kg,13,16,FOOD - GROCERY,WS00232,N,1.000,10.000,pak,2,Food,N,0
254205,099083,852.3400,2948,4.0000,127.9600,127.9600,pak,31.9900,TOMATO POLPA DI POMDORO POMI,2023-05-19,CIOFFI'S MEAT MARKET AND DELI,5,B,N,40.000,Kg,13,16,FOOD - GROCERY,WS00232,N,1.000,10.000,pak,2,Food,N,0
254851,099632,918.4000,2948,4.0000,127.9600,127.9600,pak,31.9900,TOMATO POLPA DI POMDORO POMI,2023-05-26,CIOFFI'S MEAT MARKET AND DELI,5,B,N,40.000,Kg,13,16,FOOD - GROCERY,WS00232,N,1.000,10.000,pak,2,Food,N,0
254848,099781,522.6200,2948,4.0000,127.9600,127.9600,pak,31.9900,TOMATO POLPA DI POMDORO POMI,2023-05-29,CIOFFI'S MEAT MARKET AND DELI,5,B,N,40.000,Kg,13,16,FOOD - GROCERY,WS00232,N,1.000,10.000,pak,2,Food,N,0
255409,100030,491.3600,2948,4.0000,127.9600,127.9600,pak,31.9900,TOMATO POLPA DI POMDORO POMI,2023-05-31,CIOFFI'S MEAT MARKET AND DELI,5,B,N,40.000,Kg,13,16,FOOD - GROCERY,WS00232,N,1.000,10.000,pak,2,Food,N,0
254854,100426,824.8300,2948,4.0000,127.9600,127.9600,pak,31.9900,TOMATO POLPA DI POMDORO POMI,2023-06-05,CIOFFI'S MEAT MARKET AND DELI,5,B,N,40.000,Kg,13,16,FOOD - GROCERY,WS00232,N,1.000,10.000,pak,2,Food,N,0
254911,100685,486.8300,2948,4.0000,127.9600,127.9600,pak,31.9900,TOMATO POLPA DI POMDORO POMI,2023-06-07,CIOFFI'S MEAT MARKET AND DELI,5,B,N,40.000,Kg,13,16,FOOD - GROCERY,WS00232,N,1.000,10.000,pak,2,Food,N,0
254912,100940,692.5600,2948,4.0000,127.9600,127.9600,pak,31.9900,TOMATO POLPA DI POMDORO POMI,2023-06-09,CIOFFI'S MEAT MARKET AND DELI,5,B,N,40.000,Kg,13,16,FOOD - GROCERY,WS00232,N,1.000,10.000,pak,2,Food,N,0
255411,101424,478.3800,2948,2.0000,63.9800,63.9800,pak,31.9900,TOMATO POLPA DI POMDORO POMI,2023-06-15,CIOFFI'S MEAT MARKET AND DELI,5,B,N,20.000,Kg,13,16,FOOD - GROCERY,WS00232,N,1.000,10.000,pak,2,Food,N,0
255408,101547,616.8700,2948,4.0000,127.9600,127.9600,pak,31.9900,TOMATO POLPA DI POMDORO POMI,2023-06-16,CIOFFI'S MEAT MARKET AND DELI,5,B,N,40.000,Kg,13,16,FOOD - GROCERY,WS00232,N,1.000,10.000,pak,2,Food,N,0
253236,9001622207,1048.8000,3683,1.0000,41.8100,41.8100,CA,41.8100,TOMATO SUNDRD JULIENNE,2023-05-01,GORDON FOOD SERVICE (GFS),88,B,Y,2.500,Kg,26,16,FOOD - GROCERY,3263277,N,1.000,2.270,cs,2,Food,Y,0
254078,9001683137,12563.7100,3683,2.0000,80.5400,80.5400,cs,40.2700,TOMATO SUNDRD JULIENNE,2023-05-05,GORDON FOOD SERVICE (GFS),89,B,Y,4.540,Kg,26,16,FOOD - GROCERY,3263277,N,1.000,2.270,cs,2,Food,N,0
253831,9001708005,1180.2900,3683,2.0000,80.5400,80.5400,CA,40.2700,TOMATO SUNDRD JULIENNE,2023-05-08,GORDON FOOD SERVICE (GFS),5,B,N,5.000,Kg,26,16,FOOD - GROCERY,3263277,N,1.000,2.270,cs,2,Food,N,0
254832,9001986316,1181.7900,3683,2.0000,80.5400,80.5400,CA,40.2700,TOMATO SUNDRD JULIENNE,2023-05-31,GORDON FOOD SERVICE (GFS),5,B,N,5.000,Kg,26,16,FOOD - GROCERY,3263277,N,1.000,2.270,cs,2,Food,N,0
255396,9002124108,1136.2700,3683,2.0000,80.9600,80.9600,CA,40.4800,TOMATO SUNDRD JULIENNE,2023-06-12,GORDON FOOD SERVICE (GFS),5,B,Y,5.000,Kg,26,16,FOOD - GROCERY,3263277,N,1.000,2.270,cs,2,Food,N,0
