ItemId,CategoryID,Description,CaseQty,CaseUOM,PakQty,PakUOM,InventoryGroup
I-46620,,ICE TEA GRN GOLD PEAK,12.000,ea,1.000,ea,BEVERAGE
I-46621,,ICE TEA LEMON GOLD PEAK,12.000,ea,1.000,ea,BEVERAGE
I-46622,,ICE TEA UNSWT GOLD PEAK,12.000,ea,1.000,ea,BEVERAGE
I-20202,,JAVA JACKET GENERIC HOLIDAY WR,1300.000,CT,1.000,CT,DISPOSABLES
I-43254,,JUICE 5 ALIVE 355ML,12.000,can,1.000,355ML,BEVERAGE
I-1687,,JUICE APPLE MM 341ML,12.000,341ML,1.000,341ML,BEVERAGE
I-43252,,JUICE APPLE MM 355ML,12.000,355ML,1.000,355ML,BEVERAGE
I-1686,,JUICE APPLE MM 450M,24.000,450ML,1.000,450ML,BEVERAGE
I-13969,,JUICE APPLE SIMPLY  340ML,1.000,340ML,1.000,each,BEVERAGE
I-43255,,JUICE CRAN MM CKTL 355ML,12.000,355ML,1.000,355ML,BEVERAGE
I-1690,,JUICE LEMONADE MM 355ML,12.000,355ML,1.000,355ML,BEVERAGE
I-56154,,JUICE LEMONADE SIMPLY 340ML,12.000,340ML,1.000,340ML,BEVERAGE
I-13967,,JUICE LEMONADE SIMPLY RASPBERY,12.000,340ML,1.000,340ML,BEVERAGE
I-43253,,JUICE ORANGE MM 355ML,12.000,355ML,1.000,355ML,BEVERAGE
I-13968,,JUICE ORANGE SIMPLY  340ML,12.000,ea,1.000,ea,BEVERAGE
I-41738,,JUICE PEACH SIMPLY 340ml,12.000,each,1.000,each,BEVERAGE
I-52598,,kALE RAINBOW BLEND- CALIFORNIA,2.000,lb,1.000,lb,PRODUCE
I-21707,,KLONDIKE CONE CHOC/CRML KING,12.000,BAR,1.000,BAR,ICECREAM/NOVELTY/GELATO
I-3825,,KLONDIKE GIANT COOKIE SANDWICH,24.000,BAR,1.000,BAR,ICECREAM/NOVELTY/GELATO
I-2359,,"KNIFE 7"" PLASTIC WHITE",1000.000,CT,1.000,CT,DISPOSABLES
I-2854,,ARTICHOKES IN WATER WHOLE,6.000,LG CAN,3.000,Kg,FOOD - GROCERY
I-1188,,BAR CRANBERRY APRICOT OAT ,6.000,CT,1.000,CT,BAKED GOODS
I-1157,,BISCOTTI AMARETTO (15 PACK),15.000,CT,1.000,CT,BAKED GOODS
I-6914,,BISCOTTI PISTACHIO DBL CHOC,15.000,CT,1.000,CT,BAKED GOODS
I-16212,,BISCOTTI RASPBERRY SWIRL W/CHO,15.000,CT,1.000,ea,BAKED GOODS
I-1261,,BISCOTTI RASPBERRY/BPEPPER  ,15.000,CT,1.000,CT,BAKED GOODS
I-4526,,BLACKBERRIES BC,12.000,BASKET,1.000,BASKET,PRODUCE
I-4534,,BLUEBERRIES(5 LBS) BC,5.000,lb,1.000,lb,PRODUCE
I-6020,,BUTTER PRINT UNSALTED,20.000,lb,1.000,lb,DAIRY
I-2244,,BUTTER WHIPPED PORTION,1.000,cs,715.000,PTN,DAIRY
I-8260,,CAPICOLLO EXT HOT CAPOLLA,1.000,Kg,1.000,Kg,DELI & PREPARED MEAT
