ItemId,CategoryID,Description,CaseQty,CaseUOM,PakQty,PakUOM,InventoryGroup
I-68718,,BUN HAMBURGER WW VEGAN 85GR,1.0,each,1.0,each,BREAD
I-68700,,EGG CKD FOLDED  VEGAN FRZ,60.0,each,1.0,each,DAIRY
I-54711,,CHEESE HALLOUMI TRE STELLE,6.0,pak,160.0,g,DAIRY
I-4757,,ONIONS RED ,25.0,lb,1.0,lb,PRODUCE
I-36794,,RICE BASMATI INDIAN ,1.0,ea,40.0,lb,FOOD - GROCERY
I-3582,,SEASONING MONTREAL STK,3.4,Kg,1.0,Kg,SPICES
I-65714,,CHUTNEY MANGO-TAMARIND,2.0,un,2268.0,g,FOOD - GROCERY
I-19462,,SAUCE SOY SWEET,4.0,JUG,4300.0,ml,FOOD - GROCERY
I-30167,,"SWEET POTATO DICED 1/4""",5.0,lb,1.0,lb,PRODUCE
I-11549,,CARROTS ORANGE UBC,1.0,lb,1.0,lb,PRODUCE
I-19464,,NOODLES RICE VERMICELLI,30.0,pak,400.0,g,FOOD - GROCERY
I-3701,,NUT 1KG PISTACHIO ,1.0,Kg,1.0,Kg,FOOD - GROCERY
I-29755,,PEAS GREEN WASABI BULK,5000.0,g,1.0,g,CANDIES SNACKS
I-4524,,BEETS GOLDBC,5.0,lb,1.0,lb,PRODUCE
I-1271,,LOAF MARBLE RYE SANDWICH ,4.0,LOAF,1.0,LOAF,BREAD
