ConversionId,Multiplier,ConvertFromQty,ConvertFromUom,ConvertToQty,ConvertToUom
I-3224,0.00442478,1.0,cup,226.0,g
I-3225,0.06666667,1.0,Tbsp,15.0,g
I-3225,0.00442478,1.0,cup,226.0,g
I-3229,0.00390625,1.0,cup,256.0,g
I-3237,0.16666667,1.0,pak,6.0,g
I-3284,0.23809524,1.0,tsp,4.2,g
I-3284,0.07692308,1.0,Tbsp,13.0,g
I-3284,0.00480769,1.0,cup,208.0,g
I-3321,0.04761905,1.0,Tbsp,21.0,g
I-3321,0.00294985,1.0,cup,339.0,g
I-3348,0.06666667,1.0,Tbsp,15.0,g
I-3356,1.02459016,250.0,ml,244.0,g
I-3365,0.00401606,1.0,cup,249.0,g
I-3365,0.001,1.0,L,1000.0,g
I-3367,0.00401606,1.0,cup,249.0,g
I-3370,0.00401606,1.0,cup,249.0,g
I-3386,0.22222222,1.0,tsp,4.5,g
I-3386,0.07352941,1.0,Tbsp,13.6,g
I-3386,0.00458716,1.0,cup,218.0,g
I-3387,1.0,1.0,L,1.0,Kg
I-3387,0.22222222,1.0,tsp,4.5,g
I-3387,0.07142857,1.0,Tbsp,14.0,g
I-3387,0.00458716,1.0,cup,218.0,g
I-3388,0.22222222,1.0,tsp,4.5,g
I-3388,0.07142857,1.0,Tbsp,14.0,g
I-3388,0.00458716,1.0,cup,218.0,g
I-3389,0.22222222,1.0,tsp,4.5,g
I-3389,0.07407407,1.0,Tbsp,13.5,g
I-3389,0.00462963,1.0,cup,216.0,g
I-3390,0.22222222,1.0,tsp,4.5,g
I-3390,0.07407407,1.0,Tbsp,13.5,g
I-3390,0.00462963,1.0,cup,216.0,g
I-3391,0.22222222,1.0,tsp,4.5,g
I-3391,0.07352941,1.0,Tbsp,13.6,g
I-3391,0.00458716,1.0,cup,218.0,g
I-3392,0.22222222,1.0,tsp,4.5,g
I-3392,0.07352941,1.0,Tbsp,13.6,g
I-3392,0.00458716,1.0,cup,218.0,g
I-3394,0.11904762,1.0,Tbsp,8.4,g
I-3435,0.00381679,0.5,cup,131.0,g
I-3435,0.00101284,2.84,L,2804.0,g
I-3449,0.001875,0.1875,L,100.0,g
I-3458,0.00093897,1.0,L,1065.0,g
I-3468,0.00408163,1.0,cup,245.0,g
I-3497,0.00342466,1.0,cup,292.0,g
I-3501,0.00342466,1.0,cup,292.0,g
I-3517,0.05555556,1.0,Tbsp,18.0,g
I-3545,0.16666667,1.0,tsp,6.0,g
I-3545,0.05555556,1.0,Tbsp,18.0,g
I-3545,1.0,15.0,ml,15.0,g
I-3563,0.21276596,1.0,tsp,4.7,g
I-3572,0.05882353,1.0,Tbsp,17.0,g
I-3572,0.00363636,1.0,cup,275.0,g
I-3575,0.00704225,1.0,cup,142.0,g
I-3577,0.37037037,1.0,tsp,2.7,g
I-3577,0.125,1.0,Tbsp,8.0,g
I-3582,0.16666667,1.0,tsp,6.0,g
I-3582,0.05555556,1.0,Tbsp,18.0,g
I-3582,0.00342466,1.0,cup,292.0,g
I-3584,0.00342466,1.0,cup,292.0,g
I-3589,0.11111111,1.0,Tbsp,9.0,g
I-3589,0.00694444,1.0,cup,144.0,g
I-3590,0.0078125,1.0,cup,128.0,g
I-3591,0.11111111,1.0,Tbsp,9.0,g
I-3591,0.00694444,1.0,cup,144.0,g
I-3617,0.52631579,1.0,tsp,1.9,g
I-3617,0.16666667,1.0,Tbsp,6.0,g
I-3619,4.65616546,1.0,leaf,0.2148,g
I-3620,0.17241379,1.0,Tbsp,5.8,g
I-3621,1.42857143,1.0,tsp,0.7,g
