ProdId,Description,SalesGroup,GHG Emission (g),Weight (g),GHG Emission (Kg),GHG Emission (Kg) / 100g,GHG Emission (g) / 100g,Sales,GHG Emission (g) / 100g * sales,N lost (g) / 100g,Stress-Weighted Water Use (L) / 100g,Land Use (m^2) / 100g
R-51251,FLX|BBP|Add On|Pork Belly,GV FLEX BAO,1271.018634,90.0,1.271,1.412243,1412.242927,17,24008.12976,18.97,7668.19,2.99
R-37708,SL|Herb'd Pork Loin||125g,GV SIMPLY LOCAL,2288.851798,175.0,2.2889,1.307915,1307.915313,200,261583.0626,16.74,6866.46,2.96
R-47094,FLX|Stew beef one pot,GV - FLEX BC,3176.592318,245.0,3.1766,1.296568,1296.568293,1327,1720546.125,10.56,2027.68,3.89
R-48878,SL|Beef flat roast| +4,GV SIMPLY LOCAL,7953.053411,655.0,7.9531,1.214207,1214.206628,141,171203.1345,9.41,1915.18,3.69
R-22218,G&G|Spread|Nutella|Ptn,GV - GRAB & GO,156.8399922,14.99999925,0.1568,1.0456,1045.6,1453,1519256.8,0.27,22.0,6.9
R-44680,SAND|Add Ham,GV-SANDWICH,761.1483871,75.0,0.7611,1.014865,1014.864516,264,267924.2322,13.71,5599.24,2.17
R-53406,GRL|Add|Ham|1oz,ADD ONS,284.1620645,28.0,0.2842,1.014865,1014.864516,39,39579.71612,13.71,5599.25,2.17
R-56711,CAL|Taco|Oceanwise|Prawn(1),GV - CALIENTE,551.3618349,55.0,0.5514,1.002476,1002.476064,2209,2214469.625,1.93,1491.94,0.41
R-52676,FLX|Porchetta,GV - FLEX BC,1820.499688,200.0,1.8205,0.91025,910.249844,74,67358.48846,11.42,4698.68,2.07
R-44764,GRL|Add|Cheese|Ratio,ADD ONS,124.7456025,14.00000028,0.1247,0.89104,891.04,2823,2515405.92,9.33,8046.29,1.05
R-42254,FLX|Pasta|Meat Sce & Spaghetti,SPECIALS,2514.631479,312.441,2.5146,0.804834,804.834026,229,184306.992,6.59,1590.79,2.37
R-54846,GRL|Benny |Pulled Pork|SP,GV - GRILL BREAKFAST,1657.564386,221.0,1.6576,0.750029,750.029134,35,26251.01969,6.63,2633.67,0.97
R-53358,POP|Add Cod bouille|MR,SPECIALS,761.8367615,103.0,0.7618,0.739647,739.647341,5,3698.236705,9.38,2818.59,1.16
R-62238,SL|Salmon Cajun|100g,GV SIMPLY LOCAL,776.39102,105.0,0.7764,0.73942,739.420019,79,58414.1815,9.03,1139.85,1.26
R-47110,SL|Chicken Thigh (2),GV SIMPLY LOCAL,1284.501972,174.0,1.2845,0.73822,738.219524,803,592790.2778,18.53,63.68,2.01
R-44024,GRL|Wrap|Gather & Run|,GV - GRILL BREAKFAST,1388.00654,191.5,1.388,0.724808,724.807593,1622,1175637.916,7.75,3112.71,1.22
R-49710,DOD|SideSousVide Sockeye|SIDE,GV-FLEX DOD,724.2868892,100.0,0.7243,0.724287,724.286889,53,38387.20512,9.8,1309.63,1.1
