IngredientId,Qty,Uom,Conversion,InvFactor,Recipe,Description,InventoryGroup,CategoryID,GHG_factor
I-37651,0.2,each,1,1.0,R-23632,TEA BLACK EARL GREY,BEVERAGE,55.0,0.0
I-37650,0.05,each,1,1.0,R-23632,TEA GREEN COCONUT GINGER,BEVERAGE,55.0,0.0
I-19298,1.0,bottle,1,1.0,R-52791,CORE POWER VANIL 414ml,BEVERAGE,55.0,0.0
I-37649,0.2,each,1,1.0,R-23632,TEA BLACK BREAKFAST BLEND,BEVERAGE,55.0,0.0
I-1011p,1.0,CT,1,1.0,R-23584,CUP PPR HOT WHT 16Z,DISPOSABLES,61.0,0.0
I-37122,1.0,ea,1,1.0,R-52794,G&G|Pot|Chia Pudding,PRODUCTION FOOD,59.0,0.0
I-1012p,1.0,CT,1,1.0,R-23583,CUP PPR HOT WHT 12Z,DISPOSABLES,61.0,0.0
I-37114,1.0,ea,1,1.0,R-52796,G&G|Salad|Fiesta w/Chicken,PRODUCTION FOOD,59.0,0.0
I-28677,1.0,ea,1,1.0,R-52797,G&G|Salad|Nicoise ,PRODUCTION FOOD,59.0,0.0
I-47063,1.0,each,1,1.0,R-41527,BAR KIND PB Dark Chocolate,MM Snack Single Bars,59.0,0.0
