IngredientId,Qty,Uom,Conversion,InvFactor,Recipe,Description,InventoryGroup,CategoryID,GHG_factor
I-20111,1.0,bag,1,1.0,R-64342,RAINBOW SNACK MIX,CANDIES SNACKS,43.0,1.6414
I-24869,1.0,BAR,1,1.0,R-38636,POPSICLE SPONGEBOB SQUAREPANTS,ICECREAM/NOVELTY/GELATO,43.0,1.6414
I-3668,0.1,CT,1,1.0,R-23583,SWEETENER SWEET & LOW PORT T,FOOD - GROCERY,43.0,1.6414
I-54772,1.0,ea,1,1.0,R-53711,SNACK HUMMUS GARLIC W/ CRACK,FOOD - GROCERY,16.0,1.6042
I-53630,1.0,ea,1,1.0,R-53934,SNACK LENTILS BBQ 140G,CANDIES SNACKS,16.0,1.6042
I-53031,1.0,ea,1,1.0,R-54197,SNACK LENTILS LIGHTLY SALTED,CANDIES SNACKS,16.0,1.6042
I-62865,1.0,ea,1,1.0,R-64150,CK|G&G|HMR|Chickpea Curry.,PRODUCTION FOOD,16.0,1.6042
I-53631,1.0,ea,1,1.0,R-54208,SNACK LENTILS S&V 140G,CANDIES SNACKS,16.0,1.6042
I-54771,1.0,ea,1,1.0,R-53723,SNACK HUMMUS RED PEPPER W/CRAC,FOOD - GROCERY,16.0,1.6042
I-53632,1.0,ea,1,1.0,R-53027,SNACK LENTILS LIGHT SALT 140G,CANDIES SNACKS,16.0,1.6042
I-53032,1.0,ea,1,1.0,R-53122,SNACK LENTILS BARBECUE,CANDIES SNACKS,16.0,1.6042
I-22870,1.0,ea,1,1.0,R-49714,HUMMUS ORIGINAL SNACK,FOOD - GROCERY,16.0,1.6042
I-63679,0.5,ea,1,1.0,R-64338,BUTTERHORNS EACH,BAKED GOODS,24.0,1.5225
I-1404,1.0,CT,1,1.0,R-40015,TART GF BUTTER SINGLE WRAPPED,BAKED GOODS,24.0,1.5225
I-54838,1.0,ea,1,1.0,R-55069,Valentine GF Sandwich Cookies,FOOD - GROCERY,24.0,1.5225
I-48618,1.0,ea,1,1.0,R-55070,VALENTINE COOKIES HEART ,FOOD - GROCERY,24.0,1.5225
I-63631,1.0,BAR,1,1.0,R-63643,BAR KELLOG PROTIEN BLUEBERR,CANDIES SNACKS,24.0,1.5225
I-28745,1.0,ea,1,1.0,R-54283,HAMBURGER GF WHOLE WHT,BREAD,24.0,1.5225
I-48619,1.0,ea,1,1.0,R-55145,VALENTINE CAKE COCO HEART ,FOOD - GROCERY,24.0,1.5225
I-38808,1.0,ea,1,1.0,R-39459,BS|Cookies|Sugar Pumpkin 6ea,PRODUCTION FOOD,24.0,1.5225
I-54298,1.0,BAR,1,1.0,R-55146,BAR SOLO-CHOC BROWNIE,CANDIES SNACKS,24.0,1.5225
I-61422,1.0,each,1,1.0,R-67027,COOKIE GINGERBREAD PAINTED,BAKED GOODS,24.0,1.5225
I-24123,2.0,ea,1,1.0,R-56916,BRIOCHE BUN SLIDER ,BREAD,24.0,1.5225
I-19905,1.0,bag,1,1.0,R-40024,MACAROON CHOC TWO BITE 280g,BAKED GOODS,24.0,1.5225
I-65607,1.0,BAR,1,1.0,R-66473,KLONDIKE MAPLE KRUNCH DONUT,ICECREAM/NOVELTY/GELATO,24.0,1.5225
I-19906,1.0,bag,1,1.0,R-40494,MACAROON COCONUT TWO BITE 280g,BAKED GOODS,24.0,1.5225
I-40918,1.0,BAR,1,1.0,R-40930,BAR KIND CHEWY PEANUTBUTTER,CANDIES SNACKS,24.0,1.5225
I-1280,125.0,g,1,1.0,P-14695,"BUN SUB WHOLE WHEAT - 8""",BREAD,24.0,1.5225
I-20799,1.0,CT,1,1.0,R-40497,SQUARE GF BROWNIE ,BAKED GOODS,24.0,1.5225
I-1284,1.0,CT,1,1.0,R-64330,DATE SQUARE GF,BAKED GOODS,24.0,1.5225
I-63874,1.0,CT,1,1.0,R-62274,BUN HOT*DOG 6.5IN CLASSI,BREAD,24.0,1.5225
I-64232,1.0,ea,1,1.0,R-64235,SNACK PRETZELS,CANDIES SNACKS,24.0,1.5225
I-70737,1.0,ea,1,1.0,R-57158,FOCACCIA SAND BUN SLICED,BREAD,24.0,1.5225
I-38713,1.0,CT,1,1.0,R-64300,COOKIE PUMPKIN SUGAR,BAKED GOODS,24.0,1.5225
I-32393,1.0,each,1,1.0,R-40975,BS Xmas Tree\Bell Sugar Cookie,PRODUCE,24.0,1.5225
I-34617,1.0,ea,1,1.0,R-56141,EASTER|Egg Cookies  6ea,PRODUCTION FOOD,24.0,1.5225
I-66919,1.0,slice,1,1.0,R-67007,ROLLS JELLY RASP/LEMON/ASST,BAKED GOODS,24.0,1.5225
I-1283,1.0,CT,1,1.0,R-52792,BROWNIE CHOCOLATE (6 PACK),BAKED GOODS,24.0,1.5225
I-63681,0.5,ea,1,1.0,R-64338,COPENHAGEN EACH,BAKED GOODS,24.0,1.5225
I-19681,1.0,CT,1,1.0,R-52793,"CROISSANT SPINCH, RED PEP FETA",BAKED GOODS,24.0,1.5225
I-60505,1.0,CT,1,1.0,R-64371,BAR PEANUT BUTTER GF/VEGAN,BAKED GOODS,24.0,1.5225
I-49595,1.0,each,1,1.0,R-49713,COOKIE SUGAR SHAMROCK SHAPE ,BAKED GOODS,24.0,1.5225
I-63687,0.33,ea,1,1.0,R-64340,PIES HANDPIE BLUEBERRY EACH,BAKED GOODS,24.0,1.5225
I-64360,1.0,each,1,1.0,R-64370,SLIM CRANBERRY ORANGE GF,BAKED GOODS,24.0,1.5225
I-64302,1.0,ea,1,1.0,R-64350,TART FRUIT FRESH EACH,BAKED GOODS,24.0,1.5225
I-9345,1.0,CT,1,1.0,R-64357,PRETZEL EACH,BAKED GOODS,24.0,1.5225
I-62999,1.0,ea,1,1.0,R-63650,BROWNIE GF BELGIAN ,FOOD - GROCERY,24.0,1.5225
I-42619,1.0,ea,1,1.0,R-50027,PITA POCKT*THIN,BREAD,24.0,1.5225
I-65946,1.0,each,1,1.0,R-52215,HOT DOG BRIOCHE BUN,BREAD,24.0,1.5225
I-54182,1.0,each,1,1.0,R-54261,BS|Xmas|Cookies Snowflake 6ea,PRODUCTION FOOD,24.0,1.5225
I-1227,1.0,ea,1,1.0,R-52741,CROISSANT PLAIN LARGE,BAKED GOODS,24.0,1.5225
I-7172,1.0,CT,1,1.0,R-52742,CROISSANT ALMOND EACH,BAKED GOODS,24.0,1.5225
I-1174,1.0,CT,1,1.0,R-52743,CROISSANT CHEESE. EACH,BAKED GOODS,24.0,1.5225
I-1177,1.0,CT,1,1.0,R-52744,CROISSANT CHOCOLATE ,BAKED GOODS,24.0,1.5225
I-29232,1.0,ea,1,1.0,R-52747,BUN|Cinnamon |LG 6ea|Unbake,PRODUCTION FOOD,24.0,1.5225
I-1166,1.0,CT,1,1.0,R-52749,DANISH BLUEBERRY CUSTARD ,BAKED GOODS,24.0,1.5225
I-63006,1.0,ea,1,1.0,R-52749,DANISH CROWN RASPBERRY,BAKED GOODS,24.0,1.5225
I-47655,1.0,ea,1,1.0,R-52750,PASTRY ALMOND PEAR,BAKED GOODS,24.0,1.5225
I-63686,0.33,ea,1,1.0,R-64340,PIES HANDPIE CHERRY EACH,BAKED GOODS,24.0,1.5225
I-48730,1.0,ea,1,1.0,R-49301,VAL|Cookies Heart,PRODUCTION FOOD,24.0,1.5225
I-48731,1.0,ea,1,1.0,R-48895,VAL|Cookies Ginger Bear 6ea,PRODUCTION FOOD,24.0,1.5225
I-46830,1.0,ea,1,1.0,R-48241,TIRAMISU RONDINE,BAKED GOODS,24.0,1.5225
I-42615,0.4,ea,1,1.0,R-42824,MORNING ROUND APPLECINN 6/450G,BREAD,24.0,1.5225
I-42616,0.4,ea,1,1.0,R-42824,MORNING ROUND CRAN ORNG 6/450G,BREAD,24.0,1.5225
I-64362,1.0,each,1,1.0,R-64368,SLIM LEMON GF VEGAN,BAKED GOODS,24.0,1.5225
I-60974,1.0,each,1,1.0,R-65918,CUPCAKE GF VEGAN  RASPBRY CHOC,BAKED GOODS,24.0,1.5225
I-1047,12.0,CT,1,1.0,R-53939,HOT DOG SLIDER SLCD FZN,BREAD,24.0,1.5225
I-43238,1.0,each,1,1.0,R-43301,DONUT CHURRO*,BAKED GOODS,24.0,1.5225
I-1930,1.0,CT,1,1.0,R-65533,COOKIE CHOCOLATES CHUNK,CANDIES SNACKS,24.0,1.5225
I-1142,1.0,CT,1,1.0,R-44828,TORTILLA FLOUR*10IN,BAKED GOODS,24.0,1.5225
I-26652,1.0,ea,1,1.0,R-45849,COOKIE GF ALMONDD BUTTER,BAKED GOODS,24.0,1.5225
I-62849,0.25,ea,1,1.0,R-46225,CK|BS|Muffin|Seasonal|6ea.,PRODUCTION FOOD,24.0,1.5225
I-62850,0.25,ea,1,1.0,R-46225,CK|BS|Muffin|Morn Glory| 6ea.,PRODUCTION FOOD,24.0,1.5225
I-62853,0.25,ea,1,1.0,R-46225,CK|BS|Muffin|FruitMedley| 6ea.,PRODUCTION FOOD,24.0,1.5225
I-62855,0.25,ea,1,1.0,R-46225,CK|BS|Muffin|SeededCarrot|6ea.,PRODUCTION FOOD,24.0,1.5225
I-65887,1.0,each,1,1.0,R-46845,BUN BAO*STEAMED WHITE,FOOD - GROCERY,24.0,1.5225
I-46611,1.0,ea,1,1.0,R-47092,BS|Tart|Pumpkin 6ea,PRODUCTION FOOD,24.0,1.5225
I-49320,12.0,ea,1,1.0,R-53927,BUN SLIDER WHOLE WHEAT,FOOD - GROCERY,24.0,1.5225
I-46907,0.37,ea,1,1.0,R-47480,Brownies-Blackbean Square 6ea,PRODUCTION FOOD,24.0,1.5225
I-42617,0.2,ea,1,1.0,R-42824,MORNING ROUND MUESLI 6/450G,BREAD,24.0,1.5225
I-1151,1.0,CT,1,1.0,R-71747,TORTILLA FLOUR*W/WHEAT 10IN,BAKED GOODS,24.0,1.5225
I-1391,1.0,CT,1,1.0,R-20381,COOKIE GF GINGER ,BAKED GOODS,24.0,1.5225
I-3238,120.4855,g,1,0.0077,P-68240,CRACKER TABLE*WATER BITE SIZE,FOOD - GROCERY,24.0,1.5225
I-6145,6.0,CT,1,1.0,R-24113,CK COOKIE CHOC CHIP 1/2 DOZ,PREP,24.0,1.5225
I-64323,0.2,each,1,1.0,R-20398,SCONE LEMON CRAN (4 PACK),BAKED GOODS,24.0,1.5225
I-62848,0.2,ea,1,1.0,R-20398,CK|BS|Scone|Seasonal|6ea.,PRODUCTION FOOD,24.0,1.5225
I-24279,3.0,ea,1,1.0,R-24434,VALENTINES COOKIE JAM FILLED,BAKED GOODS,24.0,1.5225
I-1124,226.0,g,1,1.0,P-44445,PIE SHELL 4IN TOPS U/SWT TFC,BAKING-RAW INGREDIENTS,24.0,1.5225
I-1383,0.5,CT,1,1.0,R-24464,BISCOTTI GF ALMOND & ANISE ,BAKED GOODS,24.0,1.5225
I-23883,1.0,ea,1,1.0,R-24557,CK- VALENTINE COOKIE 3OZ,BAKED GOODS,24.0,1.5225
I-68718,1.0,each,1,1.0,R-26776,BUN HAMBURGER WW VEGAN 85GR,BREAD,24.0,1.5225
I-65852,82.0,g,1,0.1667,P-57968,"CIABATTA WH/GRAIN 6""",BREAD,24.0,1.5225
I-13420,680.0,g,1,0.0833,P-62067,LOAF GF WHITE UDI'S SANDWICH,BREAD,24.0,1.5225
I-63898,1.0,ea,1,1.0,R-30521,"CK|BS|CAKE|Chocolate 9"" Square",FOOD - GROCERY,24.0,1.5225
I-63897,1.0,ea,1,1.0,R-30617,"CK|BS|CAKE|Carrot 9"" Square",FOOD - GROCERY,24.0,1.5225
I-1242,0.2,CT,1,1.0,R-20398,SCONE CRAN & BLUEBERRY (4 PACK,BAKED GOODS,24.0,1.5225
I-63697,113.398,g,1,0.1667,P-64904,BAGEL MULTIGRAIN 4OZ,BREAD,24.0,1.5225
I-71503,680.0,g,1,0.0556,P-70990,LOAF WHITE 5/8 CLUBHOUSE,BREAD,24.0,1.5225
I-1195,1.0,CT,1,1.0,R-23869,ROLL WHOLE WHEAT DINNER ,BREAD,24.0,1.5225
I-49928,1.0,ea,1,1.0,R-34660,COOKIES-Easter Egg,FOOD - GROCERY,24.0,1.5225
I-17687,94.0,g,1,1.0,R-10741,CHIPS COCONUT ,BAKED GOODS,24.0,1.5225
I-1167,0.2,CT,1,1.0,R-20398,SCONE BLUEBERRY (4 PACK),BAKED GOODS,24.0,1.5225
I-28408,0.2,ea,1,1.0,R-19605,COOKIES|Asst  6ea,PRODUCTION FOOD,24.0,1.5225
I-28407,0.4,ea,1,1.0,R-19605,COOKIES|Chocolate Chip 6ea,PRODUCTION FOOD,24.0,1.5225
I-61332,1.0,ea,1,1.0,R-33536,"TART LEMON CURD 4""",BAKED GOODS,24.0,1.5225
I-32396,1.0,ea,1,1.0,R-33034,BS Xmas Cookie Shortbread 6ea,PRODUCTION FOOD,24.0,1.5225
I-32394,1.0,ea,1,1.0,R-33033,BS Xmas Mincemeat Tart 6 ea,PRODUCE,24.0,1.5225
I-32395,1.0,ea,1,1.0,R-33032,BS Xmas Gingerbread Peoples,PRODUCTION FOOD,24.0,1.5225
I-32397,1.0,ea,1,1.0,R-33031,BS Xmas Cookies Ginersnap 6ea,PRODUCTION FOOD,24.0,1.5225
I-28405,0.4,ea,1,1.0,R-19605,COOKIES|White Coco Mac 6 ea,PRODUCTION FOOD,24.0,1.5225
I-68671,11.7,g,1,1.0,R-19583,CK|CAKE|Ponderosa Full Slab,PRODUCTION FOOD,24.0,1.5225
I-1389,2.0,CT,1,1.0,R-30737,COOKIE GF CHOCOLATE CHIP ,BAKED GOODS,24.0,1.5225
I-1402,1.0,CT,1,1.0,R-30737,BAR GF NANAIMO COCONUT,BAKED GOODS,24.0,1.5225
I-6107,3.0,slice,1,1.0,R-24113,CK CAKE PONDEROSA SLICE,PREP,24.0,1.5225
I-63900,1.0,ea,1,1.0,R-23924,"CK|BS|CAKE|Vanilla 9"" Square",FOOD - GROCERY,24.0,1.5225
I-29300,1.0,each,1,1.0,R-20399,COOKIES|Asst Large 6ea,PRODUCTION FOOD,24.0,1.5225
I-22489,63.0,g,1,1.0,P-32073,"TART BUTTER PLAIN 3"" ",BAKED GOODS,24.0,1.5225
I-1043,1.0,bag,1,1.0,R-38657,BROWNIE TWO*BITE BULK ,BAKED GOODS,24.0,1.5225
I-1050,1500.0,g,1,1.0,P-22031,CAKE - FOODMESH SPECIALS ,BAKED GOODS,24.0,1.5225
I-1062,66.0,g,1,0.033,P-22034,CAKE ORANGE CREAM 12X16IN,BAKED GOODS,24.0,1.5225
I-1059,84.0,g,1,0.042,P-22045,LEMON CRUNCH 12X16IN TFC,BAKED GOODS,24.0,1.5225
I-11665,1.0,CT,1,1.0,R-22903,PEPPERONI CHEESY STIX,BAKED GOODS,24.0,1.5225
I-1060,66.0,g,1,0.033,P-22046,CAKE MAPLE*CHOC MANIA 16IN,BAKED GOODS,24.0,1.5225
I-2760,0.333,CT,1,1.0,R-22861,STRUDEL APPLE MINI U/BKD TFC,BAKED GOODS,24.0,1.5225
I-18636,0.333,ea,1,1.0,R-22861,STRUDEL BLUEBERRY MINI,BAKED GOODS,24.0,1.5225
I-1061,58.8,g,1,0.042,P-22047,CRUMBLE MXD BERRY 12X16IN T,BAKED GOODS,24.0,1.5225
I-2668,200.4,g,1,0.167,P-22058,PIE PECAN CKDCRUST 10IN,BAKED GOODS,24.0,1.5225
I-2671,200.4,g,1,0.167,P-22060,PIE STRAW*RHUBARB U/BKD 10IN,BAKED GOODS,24.0,1.5225
I-1406,1.0,CT,1,1.0,R-22327,TART GF CHOCO DIPPED PECAN ,BAKED GOODS,24.0,1.5225
I-33133,510.0,g,1,0.0417,P-24027,"LOAF FLAX SLICED 5/8"" PSANT ",BREAD,24.0,1.5225
I-1373,1530.0,g,1,0.15,P-29255,LOAF MULTIGRAIN BREAD,BREAD,24.0,1.5225
I-28282,1.0,each,1,1.0,R-22320,BAR|Granola|6ea,PRODUCTION FOOD,24.0,1.5225
I-32377,6.0,ea,1,1.0,R-31106,Xmas Gingerbread Man,ZDONT USE FOOD,24.0,1.5225
I-1400,1.0,CT,1,1.0,R-20400,SQUARE GF CHOC BROWNIE RTC,BAKED GOODS,24.0,1.5225
I-2774,1.0,CT,1,1.0,R-20401,WRAP SPINACH AND CHICKPEA WRAP,FOOD - GROCERY,24.0,1.5225
I-47962,0.5,slice,1,1.0,R-21282,LOAF BANANA (7 PORTION SLICES),BAKED GOODS,24.0,1.5225
I-47963,0.5,slice,1,1.0,R-21282,LOAF LEMON (8 PORTION SLICES),BAKED GOODS,24.0,1.5225
I-2780,1.0,CT,1,1.0,R-23333,CHEESECAKE GLUTEN FREE NY,BAKED GOODS,24.0,1.5225
I-19179,1.0,ea,1,1.0,R-23335,MUFFIN GF BLUEBERRY BC,BAKED GOODS,24.0,1.5225
I-3191,1.0,PTN,1,1.0,R-22860,CEREAL VARIETY PACK CUP TFC,FOOD - GROCERY,21.0,1.4785
I-28914,3.0,each,1,1.0,R-47538,GYOZA VEGETABLE,FOOD - GROCERY,59.0,1.0127
I-30911,3.0,each,1,1.0,R-38612,PAKORA VEGGIE*,FOOD - GROCERY,59.0,1.0127
I-7169,1.0,CT,1,1.0,R-30650,WRAP VEGGIE,FOOD - GROCERY,59.0,1.0127
I-2771,1.0,CT,1,1.0,R-48242,SAMOSA VEGGIE ,FOOD - GROCERY,59.0,1.0127
I-52697,1.0,each,1,1.0,R-53123,OAT MILK LATTE - BLACK,BEVERAGE,28.0,0.9943
I-52638,1.0,ea,1,1.0,R-55606,OAT CHOC*DRINK 250ML,BEVERAGE,28.0,0.9943
I-55672,1.0,ea,1,1.0,R-55673,POPCORN SKINNY ORIG 18G,CANDIES SNACKS,22.0,0.9734
I-17680,0.025,ea,1,1.0,R-23870,CEREAL CORNPUFF GORILA MNCH GF,FOOD - GROCERY,22.0,0.9734
I-18791,3.0,CT,1,1.0,R-54877,CORN DOG MINI,FOOD - GROCERY,22.0,0.9734
I-64234,1.0,414ML,1,1.0,R-64237,CORE POWER BANANA 414ML,BEVERAGE,33.0,0.7115
I-3106,0.2,pak,1,1.0,R-22906,TOFU DESSERT BANANA,FOOD - GROCERY,33.0,0.7115
I-64826,1.0,each,1,1.0,R-64846,PEAS ROASTED KETCHUP 90G,FOOD - GROCERY,18.0,0.6995
I-64876,1.0,each,1,1.0,R-64843,TMRW BURGER PATTIES VEGAN,MEAT,18.0,0.6995
I-4552,181436.8,g,1,0.2,P-42763,CABBAGE GREEN(50 LBS) BC,PRODUCE,36.0,0.622
I-3247,1.0,each,1,1.0,R-54188,PICKLE DILL WHL KOSHER W/GARL,FOOD - GROCERY,40.0,0.5029
I-15197,13584.0,g,1,1.0213,P-47599,EGGPLANT,PRODUCE,40.0,0.5029
I-2834,0.06,CT,1,1.0,R-22974,VITA SOY COCONUT SOYA DRINK,BEVERAGE,30.0,0.489
I-1784,0.3,PTN,1,1.0,R-21285,SOY VANILLA 250ML,BEVERAGE,30.0,0.489
I-1783,0.3,PTN,1,1.0,R-21285,SOY FORTIFIED STRAWB,BEVERAGE,30.0,0.489
I-1782,0.3,PTN,1,1.0,R-21285,SOY FORTIFIED CHOC SO NICE,BEVERAGE,30.0,0.489
I-2837,0.06,CT,1,1.0,R-22974,VITA SOY MELON SOYA DRINK,BEVERAGE,30.0,0.489
I-12123,0.1,PTN,1,1.0,R-21285,SOY ORIGINAL 250ML,BEVERAGE,30.0,0.489
I-20923,1.0,CT,1,1.0,R-40585,YOGURT SOY MULTIPACK,DAIRY,30.0,0.489
I-40911,1.0,CT,1,1.0,R-40913,VITA SOY BLACK ,BEVERAGE,30.0,0.489
I-21400,1.0,CT,1,1.0,R-41334,VITA SOY PLAIN,BEVERAGE,30.0,0.489
I-2836,0.07,CT,1,1.0,R-22974,VITA SOY MALT,BEVERAGE,30.0,0.489
I-3325,41.75,ml,1,1.0,R-13177,JAM RASPBERRY PURE PORT TFC,FOOD - GROCERY,31.0,0.4306
I-18635,0.333,ea,1,1.0,R-22861,STRUDEL CHERRY MINI,FOOD - GROCERY,31.0,0.4306
I-4739,1.0,CT,1,1.0,R-30502,NECTARINES 2 LAYERCH,PRODUCE,31.0,0.4306
I-4778,1.0,CT,1,1.0,R-30534,PEACHES 2 LAYER US,PRODUCE,31.0,0.4306
I-4405,1.0,CT,1,1.0,R-30629,PEARS RED BARTLETT US#1 55 CT,PRODUCE,31.0,0.4306
I-52112,1.0,bag,1,1.0,R-64331,DDP MANGO THAILAND 80g,FOOD - GROCERY,31.0,0.4306
I-4404,178.0,g,1,1.0,R-10741,PEARS D'ANJOU RED US#1 55 CT ,PRODUCE,31.0,0.4306
I-3324,41.75,ml,1,1.0,R-13177,JAM MARMORANGE PURE PORT ,FOOD - GROCERY,31.0,0.4306
I-3323,41.75,ml,1,1.0,R-13177,JAM BLUEBERRY PURE PORT TFC,FOOD - GROCERY,31.0,0.4306
I-3326,41.75,ml,1,1.0,R-13177,JAM STRAWBERRY*PURE PORT,FOOD - GROCERY,31.0,0.4306
I-12468,1.0,bottle,1,1.0,R-39281,SMOOTHIE COCONUT PINEAPPLE,BEVERAGE,31.0,0.4306
I-11516,1.0,bag,1,1.0,R-38726,CHIP HARDBITE ALL NATURAL,"CHIPS, PRETZELS, NUTS",41.0,0.397
I-11518,1.0,bag,1,1.0,R-38188,CHIP HARDBITE SALT&VIN,"CHIPS, PRETZELS, NUTS",41.0,0.397
I-3214,1.0,bag,1,1.0,R-63587,CHIP SUN GARDEN SALSA TFC,"CHIPS, PRETZELS, NUTS",41.0,0.397
I-3215,1.0,bag,1,1.0,R-63586,CHIP SUN HARVEST CHED TFC,"CHIPS, PRETZELS, NUTS",41.0,0.397
I-21237,1.0,ea,1,1.0,R-23938,CHIP 372g REST HINT OF LIME,"CHIPS, PRETZELS, NUTS",41.0,0.397
I-3221,1.0,bag,1,1.0,R-38725,CHIP HARDBITE WLD ONION & YOG,"CHIPS, PRETZELS, NUTS",41.0,0.397
I-3213,1.0,bag,1,1.0,R-63585,CHIP SUN FRENCH ONION TFC,"CHIPS, PRETZELS, NUTS",41.0,0.397
I-63025,1.0,ea,1,1.0,R-63580,CHIP LAY BBQ BKD,CANDIES SNACKS,41.0,0.397
I-64233,1.0,ea,1,1.0,R-64236,CHIP LAY POTATO BKD,CANDIES SNACKS,41.0,0.397
I-11517,1.0,bag,1,1.0,R-38654,CHIP HARDBITE BBQ,"CHIPS, PRETZELS, NUTS",41.0,0.397
I-57539,1.0,each,1,1.0,R-38607,SMOOTHIE FRUIT EXTREME ENERGY,BEVERAGE,35.0,0.3942
I-57538,1.0,each,1,1.0,R-58276,SMOOTHIE EXTREME C FRUIT,BEVERAGE,35.0,0.3942
I-64326,1.0,each,1,1.0,R-64374,SODA KARMA APPLE,BEVERAGE,32.0,0.3581
I-64847,1.0,each,1,1.0,R-64856,JUICE APPLE OASIS 300ML,BEVERAGE,32.0,0.3581
I-63688,0.33,ea,1,1.0,R-64340,PIES HANDPIE APPLE EACH,BAKED GOODS,32.0,0.3581
I-31935,0.333,each,1,1.0,R-32115,KOMBUCHA  ASIAN PEAR GINGER,BEVERAGE,38.0,0.3062
I-9708,1.0,CT,1,1.0,R-22862,CUP PLAS CLR 12oz PET,DISPOSABLES,61.0,0.0
I-1635,1.0,CT,1,1.0,R-54354,COKE ZERO 355ML,BEVERAGE,55.0,0.0
I-39498,0.0,g,1,1.0,P-36698,BOWL PPR OVAL 16OZ,DISPOSABLES,61.0,0.0
I-5161,1.0,CT,1,1.0,R-22971,FUJI SUSHI COMBO 10PC,SUSHI,59.0,0.0
I-1762,1.0,pak,1,1.0,R-22296,CIDER APPLE HOT TFC,BEVERAGE,55.0,0.0
I-5164,1.0,CT,1,1.0,R-22970,RED DRAGON SUSHI ROLL 9PC,SUSHI,59.0,0.0
I-41808,1.0,ea,1,1.0,R-55674,BAR KIND MAPLE GLAZED PECAN,FOOD - GROCERY,59.0,0.0
I-5172,1.0,pak,1,1.0,R-22968,VEGETABLE SALAD SUSHI ROLL ,SUSHI,59.0,0.0
I-5157,1.0,CT,1,1.0,R-22967,CALIFORNIA NIGIRI COMBO 12PC,SUSHI,59.0,0.0
I-32431,0.0,g,1,1.87,P-36698,OC,ZDONT USE FOOD,61.0,0.0
I-55554,1.0,each,1,1.0,R-55619,TRIBE ACV BLKBERRY DRINK,BEVERAGE,55.0,0.0
I-19693,1.0,pak,1,1.0,R-22966,ROLL CUCUMBER 16PC,SUSHI,59.0,0.0
I-2353,1.0,CT,1,1.0,R-22905,"9""X6"" 2-COMPARTMENT CLAMSHELL",DISPOSABLES,61.0,0.0
I-55555,1.0,each,1,1.0,R-55618,TRIBE ACV GINGER PEACH DRINK,BEVERAGE,55.0,0.0
I-66292,1.0,bottle,1,1.0,R-67590,STARLIGHT ZERO SOFT DRINK,BEVERAGE,55.0,0.0
I-19694,1.0,pak,1,1.0,R-54453,RICE BOWL CHICKEN HONEY GARLIC,SUSHI,59.0,0.0
I-55553,3.15,each,1,1.0,R-55608,TRIBE ACV TROPICAL BLEND DRINK,BEVERAGE,55.0,0.0
I-33571,0.0,g,1,2.0,P-32155,"BAG PORTION NAT 5""X""4.5""X1.5""",DISPOSABLES,61.0,0.0
I-42901,1.0,ea,1,1.0,R-54726,SNACK WHOLESOME YOGI,CANDIES SNACKS,59.0,0.0
I-1852,946.0,ml,1,1.0,P-22288,ALMOND BEV - ORIGINAL,BEVERAGE,55.0,0.0
I-42898,1.0,ea,1,1.0,R-54727,SNACK HEARTY TAMARI,CANDIES SNACKS,59.0,0.0
I-32083,1.0,BAR,1,1.0,R-55471,BAR SOLO-PEANUT CARAMEL SALT,CANDIES SNACKS,59.0,0.0
I-1851,946.0,ml,1,1.0,P-22287,ALMOND BEV - CHOCOLATE,BEVERAGE,55.0,0.0
I-50028,1.0,each,1,1.0,R-66472,ICE TEA*GREEN PEACH GOLD PEAK,BEVERAGE,55.0,0.0
I-45536,1.0,ea,1,1.0,R-54795,G&G-HMR Meat Ball & Pasta,PRODUCTION FOOD,59.0,0.0
I-33776,1.0,CT,1,1.0,R-54843,TERIYAKI BOWL WILD PINK SALMON,SUSHI,59.0,0.0
I-41372,0.5,ea,1,1.0,R-71575,"QUICHE 4.25"" RED PEPP & CHEESE",FOOD - GROCERY,59.0,0.0
I-17612,0.14,CT,1,1.0,R-22871,STEAZ COCONUT GREEN TEA,BEVERAGE,55.0,0.0
I-64480,1.0,each,1,1.0,R-64764,SODA KARMA CHERRY,BEVERAGE,55.0,0.0
I-36996,0.8,ea,1,1.0,R-55817,"SANDWICH BACON, CHEDD & TOMATO",FOOD - GROCERY,59.0,0.0
I-1941,1810.0,g,1,1.0,R-10741,FRUIT & NUT TRAIL MIX LG,UCARE,59.0,0.0
I-63089,1.0,ea,1,1.0,R-63578,WATER SMART SPORT 700ML,BEVERAGE,55.0,0.0
I-63548,1.0,ea,1,1.0,R-63579,POWERADE ZERO BLUE RASP 710ML,BEVERAGE,55.0,0.0
I-50577,0.0,g,1,16.3289,P-52908,GHOST ITEM,FOOD - GROCERY,61.0,0.0
I-37648,10.0,g,1,4.0,P-55178,TEA BLACK CHAI,BEVERAGE,55.0,0.0
I-63091,960.0,ml,1,0.001,P-64400,JUICE ORANGE*100% 960ml OASIS,BEVERAGE,55.0,0.0
I-11206,0.0,g,1,2.8,P-7515,CK LABOUR,ZDONT USE UBCO,61.0,0.0
I-5158,1.0,CT,1,1.0,R-22972,CALIFORNIA ROLL 9PC,SUSHI,59.0,0.0
I-63636,1.0,ea,1,1.0,R-63649,VITA CEYLON TEA UNSWEET,BEVERAGE,55.0,0.0
I-61327,1.0,bottle,1,1.0,R-63533,COKE DIET XTRA TOAST VAN 500ML,BEVERAGE,55.0,0.0
I-1741,1.0,340ML,1,1.0,R-64329,V8 VEG COCKTAIL,BEVERAGE,55.0,0.0
