ConversionId,Multiplier,ConvertFromQty,ConvertFromUom,ConvertToQty,ConvertToUom
I-14339,0.006329114,12.0,PORT,1896.0,g
I-14340,0.01,4.0,PORT,400.0,g
I-14341,0.035714286,4.0,PORT,112.0,g
I-14342,0.166666667,4.0,PORT,24.0,g
I-14586,0.003215434,1.0,PORT,311.0,g
I-2676,0.002941176,34.0,can,11560.0,ml
I-4296,0.769230769,12.0,ea,15.6,g
I-8250,0.125,8.0,ea,64.0,ml
I-13957,0.004444444,1.0,PORT,225.0,g
I-14390,0.002777778,4.0,PORT,1440.0,g
I-8298,0.033333333,2.0,ea,60.0,g
I-3181,0.007142857,0.15,PKG,21.0,g
I-16224,0.000440925,0.25,ea,566.99,g
I-12034,0.005,1.0,ea,200.0,g
I-1471,0.003030303,1.0,bottle,330.0,ml
I-14208,0.00025,1.0,ea,4000.0,ml
I-12353,0.019230769,1.0,piece,52.0,g
I-16226,0.107526882,10.0,ea,93.0,g
I-8990,0.003164557,1.0,ea,316.0,g
I-15017,0.005050505,2.0,PORT,396.0,g
I-17134,0.033333333,1.0,piece,30.0,g
I-2032,0.0,2.0,ea,0.0,g
I-11233,0.0,1.0,ea,0.0,g
I-15596,0.0,1.0,ea,0.0,g
I-15597,0.0,1.0,ea,0.0,g
I-14400,0.001763668,0.5,PORT,283.5,g
I-2375,0.001,2.9,1 KG,2900.0,g
I-12339,0.066666667,1.0,PORT,15.0,g
I-2586,0.0,0.005,tank,0.0,g
I-9186,0.0,1.0,ea,0.0,g
I-15425,0.010989011,1.0,PORT,91.0,g
I-2432,0.008818498,1.0,ea,113.398,g
