ItemId,CategoryID,Description,CaseQty,CaseUOM,PakQty,PakUOM,InventoryGroup
I-23997,35,ORANGES BLOOD,5.0,lb,1.0,lb,PRODUCE
I-11547,35,ORANGES SUNKIST 88 5lb,5.0,lb,1.0,lb,PRODUCE
I-3402,24,PASTA FARFALLE BOWTIE LRG TFC,2.0,bag,10.0,lb,FOOD - GROCERY
I-16348,24,PASTA GNOCCHI,5.0,Kg,1.0,Kg,FOOD - GROCERY
I-3409,24,PASTA LINGUINI 20IN TFC,20.0,lb,1.0,lb,FOOD - GROCERY
I-26666,24,PASTA ROTINI WHOLE WHEAT,2.0,bag,10.0,lb,FOOD - GROCERY
I-53567,58,PASTE CURRY GREEN VEGETARIAN,24.0,jar,400.0,g,FOOD - GROCERY
I-69065,58,PASTE MISO CHICKPEA ,1.0,cs,1000.0,g,FOOD - GROCERY
I-69060,36,PATTIES CAULI SPICE,1.0,cs,3400.0,g,MEAT
I-69062,20,PATTIES FAUX REAL,1.0,cs,3400.0,g,MEAT
I-69063,1,PATTIES HARVEST ,1.0,cs,3400.0,g,MEAT
I-69061,40,PATTIES SHROOM ,1.0,cs,3400.0,g,MEAT
I-4396,31,PEARS BARTLETT ,70.0,CT,1.0,CT,PRODUCE
I-4784,31,PEARS BOSC US,70.0,CT,1.0,CT,PRODUCE
I-47847,18,PEAS GREEN WHOLE DEHYDRATED,1.0,Kg,1.0,Kg,FOOD - GROCERY
I-4910,18,PEAS SUGAR/SNOW TRIMMED CI,5.0,lb,1.0,lb,PRODUCE
I-29464,25,PHILADELPHIA ROLL ,1.0,ea,1.0,ea,SUSHI
I-1119,24,PHYLLO DOUGH PASTRY ,24.0,lb,1.0,lb,BAKING-RAW INGREDIENTS
I-2672,24,PIE TOP U/SWT 5IN TFC,120.0,CT,1.0,CT,BAKING-RAW INGREDIENTS
I-4804,31,PINEAPPLE GOLDEN SHELL US 8CT,8.0,CT,1.0,CT,PRODUCE
I-35897,33,PLANTAIN,5.0,lb,1.0,lb,PRODUCE
I-25901,43,POMEGRANATE MOLASSES,12.0,ea,14.0,oz,FOOD - GROCERY
I-24869,43,POPSICLE SPONGEBOB SQUAREPANTS,1.0,cs,18.0,BAR,ICECREAM/NOVELTY/GELATO
I-66145,3,PORK BACK RIB FULL RACK 16/20,1.0,Kg,1.0,Kg,MEAT
I-45022,3,PORK RIBS SEASONED,4.54,Kg,1.0,Kg,MEAT
I-3858,3,"PORK STEW DICED 1/2""",5.0,Kg,1.0,Kg,MEAT
I-19856,13,PRAWN SKEWER 5PC OW 41/50,1.0,ea,1.0,ea,SEAFOOD
I-65576,13,PRAWN WHT PD T/OF 41/50 OW,1.0,lb,1.0,lb,SEAFOOD
I-52071,24,PRETZEL CRISPS ORIGINAL,12.0,ea,1.0,ea,FOOD - GROCERY
I-49783,53,PROBAR Base Coffee Crunch,12.0,ea,1.0,ea,FOOD - GROCERY
I-57824,24,"PUMPKIN TARTS 4""",6.0,each,1.0,each,BAKED GOODS
I-4112,34,PUREE BLACKBERRY,6.0,Kg,1.0,Kg,PREGEL - ALL ITEMS
I-35017,31,RADISH WATERMELON,4535.0,g,1.0,g,PRODUCE
I-28909,24,RADISH/DAIKON CAKE,2.0,ea,1.0,each,PRODUCE
I-4835,40,RED PEPPER JULIENNE 1/8X2 ,5.0,lb,1.0,lb,PRODUCE
I-3834,7,REESE® ICE CREAM CUP,1.0,cs,24.0,BAR,ICECREAM/NOVELTY/GELATO
I-65882,40,RELISH RED HAMBURGER,4.0,4L,4.0,L,FOOD - GROCERY
I-5137,12,SAL STEELHEAD FLT S/O OW,1.0,lb,1.0,lb,SEAFOOD
I-8281,3,SALAMI GENOA CASA ITALIA,1.0,Kg,1.0,Kg,DELI & PREPARED MEAT
I-8272,3,SALAMI GENOA HOT/MILD,1.0,Kg,1.0,Kg,DELI & PREPARED MEAT
I-2769,4,SAMOSA CHICKEN ,1.0,CT,1.0,CT,FOOD - GROCERY
I-3554,58,SAUCE STIR FRY,24.0,bottle,0.421,L,FOOD - GROCERY
I-17590,14,SCALLOP 80/120 O/W ICELAN/CHIN,1.0,lb,1.0,lb,SEAFOOD
I-1263,25,SQUARE RICE CRISPY (6 PACK),6.0,CT,1.0,CT,BAKED GOODS
I-4911,36,SUI CHOY BC,50.0,lb,1.0,lb,PRODUCE
I-64302,24,TART FRUIT FRESH EACH,1.0,ea,1.0,ea,BAKED GOODS
I-52560,24,TART HAZELNUT VENUS IND G/F  ,24.0,each,1.0,each,BAKED GOODS
I-61332,24,"TART LEMON CURD 4""",12.0,ea,1.0,ea,BAKED GOODS
I-5143,12,TUNA AHI LOIN Y/FIN OCEANWISE,1.0,lb,1.0,lb,SEAFOOD
I-43647,4,TURKEY BREAKFAST PATTY 48G,94.0,CT,1.0,CT,MEAT
I-9835,38,TURNIP WHITE,5.0,lb,1.0,CT,PRODUCE
I-4943,38,TURNIP YELLOW BC,1.0,lb,1.0,lb,PRODUCE
I-1159,24,TURNOVER  APPLE ,1.0,CT,1.0,CT,BAKED GOODS
I-16186,57,VINEGAR BALSAMIC 6YR TFC,2.0,bottle,5.0,L,FOOD - GROCERY
I-63089,55,WATER SMART SPORT 700ML,24.0,ea,1.0,ea,BEVERAGE
I-3699,24,WHEAT BULGUR MED,10.0,lb,1.0,lb,FOOD - GROCERY
I-37834,38,"YAMS DICED 3/8"" ",5.0,lb,1.0,lb,PRODUCE
I-2201,10,YOGURT RASPBERRY STIRRED 175G ,1.0,CT,1.0,CT,DAIRY
I-47845,31,ZUCCHINI DICED DEHYDRATED,1.0,Kg,1.0,Kg,FOOD - GROCERY
