ItemId,CategoryID,Description,CaseQty,CaseUOM,PakQty,PakUOM,InventoryGroup
I-2353,61,"9""X6"" 2-COMPARTMENT CLAMSHELL",200.0,CT,1,CT,DISPOSABLES
I-40647,26,NUTS CASHEWS SPLIT CAJUN,1.0,ea,11340,g,FOOD - GROCERY
I-66292,55,STARLIGHT ZERO SOFT DRINK,24.0,bottle,1,bottle,BEVERAGE
I-52559,24,CAKE CHOC CARM BOMBE IND G/F,18.0,each,1,each,BAKED GOODS
I-56580,24,CAKE SHEET STRAWB SHORTCAKE ,2.0,SHEET,1,SHEET,BAKED GOODS
I-31547,24,CAKE STACK WITH OREO,40.0,slice,1,slice,BAKED GOODS
I-61422,24,COOKIE GINGERBREAD PAINTED,1.0,each,1,each,BAKED GOODS
I-49928,24,COOKIES-Easter Egg,1.0,ea,1,ea,FOOD - GROCERY
I-1187,24,LOAF COUNTRY WHOLE WHEAT,1.0,LOAF,1,LOAF,BREAD
I-3816,43,POPSICLE CYCLONE,24.0,BAR,1,BAR,ICECREAM/NOVELTY/GELATO
I-6882,31,PUMPKIN RST 3KG,1.0,cs,3,Kg,FOOD - GROCERY
I-43890,58,SPREAD AJVAR MILD,6.96,Kg,1,Kg,FOOD - GROCERY
I-32396,24,BS|Xmas|Cookies Shortbread 6ea,6.0,ea,1,ea,PRODUCTION FOOD
Iqq-1093,24,COOKIE DOUGH MONSTER M&M TFC,85.0,CT,1,CT,BAKING-RAW INGREDIENTS
I-26652,24,COOKIE GF ALMONDD BUTTER,24.0,ea,1,ea,BAKED GOODS
I-38713,24,COOKIE PUMPKIN SUGAR,12.0,CT,1,CT,BAKED GOODS
I-42103,24,VALENTINE COOKIES GINGER BEAR,1.0,ea,1,ea,FOOD - GROCERY
