ItemId,CategoryID,Description,CaseQty,CaseUOM,PakQty,PakUOM,InventoryGroup
I-56023,55,AHA WATER SPARKLING PEACH HNY ,12.0,each,1.0,each,BEVERAGE
I-12157,27,ALMOND CHOC*TETRA 250Ml,18.0,each,236.0,ml,BEVERAGE
I-4451,54,"ANISE DICED 1/4""",36.0,CT,1.0,lb,PRODUCE
I-4452,54,ANISE(36 CT)US,3.0,HEAD,1.0,HEAD,PRODUCE
I-30092,54,ANISEED,1.0,lb,1.0,lb,PRODUCE
I-4454,32,APPLES BRAEBURNUS,88.0,CT,1.0,CT,PRODUCE
I-10488,32,APPLES GRANNY SMITH 5lb,5.0,lb,1.0,lb,PRODUCE
I-4279,32,APPLES PINK LADY F/XF 100 CT,113.0,CT,1.0,CT,PRODUCE
I-33571,61,"BAG PORTION NAT 5""X""4.5""X1.5""",2000.0,CT,1.0,CT,DISPOSABLES
I-3745,52,BAR CHOC ALMOND GF ,30.0,CT,1.0,CT,CANDIES SNACKS
I-17678,26,BAR CRAN MAPLE NUT GF,30.0,ea,1.0,ea,CANDIES SNACKS
I-17679,26,BAR EXTREME TRAIL GF,30.0,ea,1.0,ea,CANDIES SNACKS
I-63631,24,BAR KELLOG PROTIEN BLUEBERR,6.0,box,12.0,BAR,CANDIES SNACKS
I-63633,19,BAR KELLOG PROTIEN PNT BUTT CH,6.0,box,12.0,BAR,CANDIES SNACKS
I-63632,23,BAR KELLOG*PROTIEN COCONUT CHO,6.0,pak,12.0,BAR,CANDIES SNACKS
I-40915,23,BAR KIND CHEWY DKCHOC CHUNK,40.0,BAR,1.0,BAR,CANDIES SNACKS
I-40917,23,BAR KIND OATS & HONEY,40.0,BAR,1.0,BAR,CANDIES SNACKS
I-37676,17,BEANS CHICK*PEAS GABANZO DRY,11.3,Kg,1000.0,g,FOOD - GROCERY
I-9297,1,BEEF CHUCK FLATS BNLS AA FR,1.0,Kg,1.0,Kg,MEAT
I-17670,1,BEEF ROAST SLICED,6.0,pak,25.0,slice,DELI & PREPARED MEAT
I-2564,1,BEEF SAUSAGE ROLL U/BKD BEEF,60.0,CT,1.0,CT,MEAT
I-70004,1,BEEF STEAK STRIPLOIN PRIME 170,4.08,Kg,1.0,each,MEAT
I-63002,52,BISCOTTI APRICOT WTE CHOCO,1.0,ea,1.0,ea,FOOD - GROCERY
I-63003,52,BISCOTTI CHOCO CARAM,1.0,ea,1.0,ea,FOOD - GROCERY
I-1384,52,BISCOTTI GF CHOCO HAZELNUT ,48.0,ea,1.0,CT,BAKED GOODS
I-44008,6,BLACK DIAMOND Cheddar Slices,6.0,each,1.0,each,MM Dairy
I-4529,34,BLACKBERRIES US,1.0,BASKET,1.0,BASKET,PRODUCE
I-55065,6,BLK DIAMOND CHEESESTRING CHED,9.0,each,1.0,each,FOOD - GROCERY
hh5,31,Blue Monkey Coconut Chips,24.0,each,1.0,each,HM NUTS DRIED FR PROTEIN SNACK
I-4536,36,BROCCOLI US,1.0,CT,1.0,CT,PRODUCE
I-62999,24,BROWNIE GF BELGIAN ,6.0,ea,1.0,ea,FOOD - GROCERY
I-65887,24,BUN BAO*STEAMED WHITE,2.0,bag,50.0,each,FOOD - GROCERY
I-63874,24,BUN HOT*DOG 6.5IN CLASSI,96.0,CT,1.0,CT,BREAD
I-1280,24,"BUN SUB WHOLE WHEAT - 8""",12.0,CT,1.0,CT,BREAD
I-65952,1,BURGER GRIND 50/50,20.0,lb,1.0,lb,MEAT
I-4552,36,CABBAGE GREEN(50 LBS) BC,1.0,CT,1.0,CT,PRODUCE
I-4564,38,CARROTS BABY PEELED 1/2 STEM,5.0,lb,1.0,lb,PRODUCE
I-4611,40,"CELERY STICKS 4.5 US""",5.0,lb,1.0,lb,PRODUCE
I-30152,6,CHEESE CHED SLICED 24 CASE ,24.0,pak,20.0,slice,DAIRY
I-66118,6,CHEESE MONT JACK/MOZZ SHRED,2.0,bag,2.5,Kg,DAIRY
I-2149,6,CHEESE SWISS GRUYERE KINGCUT ,1.0,Kg,1.0,Kg,DAIRY
I-2778,6,CHEESECAKE CHOCOLATE TRUFFLE,12.0,CT,1.0,CT,BAKED GOODS
I-2781,6,CHEESECAKE NEW YORK STYLE,12.0,CT,1.0,CT,BAKED GOODS
I-64348,6,CHEESECAKE PUMPKIN,12.0,each,1.0,each,FOOD - GROCERY
I-38717,6,"CHEESECAKE VERY BERRY 3""",12.0,CT,1.0,CT,BAKED GOODS
I-3961,4,CHICK BURGER*BRD BRST MT,2.0,bag,2.0,Kg,POULTRY
I-4006,4,CHICK STIRFRY/FAJITA DARK,1.0,Kg,1.0,Kg,POULTRY
