Category,Displayed Name,ProdId,Description,SalesGroup,Weight (g),GHG Emission (g),N lost (g),Land Use (m^2),Freshwater Withdrawals (L),Stress-Weighted Water Use (L),GHG Emission (g) / 100g,N lost (g) / 100g,Freshwater Withdrawals (L) / 100g,Stress-Weighted Water Use (L) / 100g,Land Use (m^2) / 100g,GHG Only Label,Combined Label,RED,YELLOW,GREEN
Delish , Spicy caesar chicken,R-56513,DEL|Salad|Spicy Caesar Chicken,GV - DELISH,340.5,870.4040264,16.04502687,1.94340324,105.66,3433.42,255.63,4.71,31.03,1008.35,0.57,Yellow,Yellow,,TRUE,
Delish , Almonds are forever,R-56613,DEL|Smoothie|Almonds forever,GV - DELISH,71,377.4356904,1.461841346,0.965369231,106.5,7118.38,531.6,2.06,150,10025.89,1.36,Red,Red,TRUE,,
Delish , Banana Matcha,R-44306,DEL|Smoothie|Banana Matcha ,GV - DELISH,1,0.780648125,0.004219035,0.001520083,0.2,11.7,78.06,0.42,20,1170,0.15,Green,Green,,,TRUE
Delish , Blueberry boost,R-43697,DEL|Smoothie|Blueberry Boost ,GV - DELISH,1,4.520079494,0.018894668,0.003462491,0.77,32.31,452.01,1.89,77,3231,0.35,Red,Red,TRUE,,
Delish , C++,R-55185,DEL|Smoothie|C++,GV - DELISH,1,1.197754198,0.005269876,0.002916909,0.01,0.04,119.78,0.53,1,4,0.29,Green,Green,,,TRUE
,,R-44591,DEL|Smoothie|Chocohlic ,GV - DELISH,1,2.244144911,0.005474261,0.007008349,0.13,5,224.41,0.55,13,500,0.7,Yellow,Green,,,TRUE
Delish , Delish Blueberry,R-36817,DEL|Smoothie|Delish,GV - DELISH,1,2.867474169,0.012588542,0.00280904,0.41,17.4,286.75,1.26,41,1740,0.28,Yellow,Yellow,,TRUE,
Delish , Green means go,R-56680,DEL|Smoothie|Green means go,GV - DELISH,1,0.826275546,0.006488416,0.00167558,0.21,6.93,82.63,0.65,21,693,0.17,Green,Green,,,TRUE
Delish , Hawaiian Sun,R-40466,DEL|Smoothie|Hawaiian Sun,GV - DELISH,348,168.2868594,0.822512118,0.346723878,9.64,620.67,48.36,0.24,2.77,178.35,0.1,Green,Green,,,TRUE
,,R-50298,DEL|Smoothie|Nojito,GV - DELISH,1,0.146364281,0.000608014,0.000217643,0,0.09,14.64,0.06,0,9,0.02,Green,Green,,,TRUE
Delish , Orange zinger,R-36814,DEL|Smoothie|Orange Zinger,GV - DELISH,175,150.3249251,1.093971004,0.385330747,4.94,155.6,85.9,0.63,2.82,88.91,0.22,Green,Green,,,TRUE
Delish , Rise & Shine,R-36763,DEL|Smoothie|Rise & Shine,GV - DELISH,1,1.607073495,0.00825705,0.001948828,0.24,10.22,160.71,0.83,24,1022,0.19,Green,Green,,,TRUE
Delish , Strawberry cupid,R-49036,DEL|Smoothie|Strwbry Cupid,GV - DELISH,1,7.412514492,0.047002769,0.009094246,1.2,52.45,741.25,4.7,120,5245,0.91,Red,Red,TRUE,,
Fresh Fare PM , Thomato basil spagetti,R-55234,FF|Pasta|Tomato basil|AAD,GV FRESH FARE DAY,297,460.673466,4.6961796,1.151616021,107.71,3768.01,155.11,1.58,36.27,1268.69,0.39,Green,Yellow,,TRUE,
,,R-61887,FLX|lettuce wrap pork,GV - FLEX BC,229,1156.227583,13.74201471,2.280136214,274.88,8357.1,504.9,6,120.03,3649.39,1,Red,Red,TRUE,,
,,R-55059,FLX|Lettuce wrap Tofu,GV - FLEX BC,229,407.8892588,1.638412991,0.838950296,66.29,3078.84,178.12,0.72,28.95,1344.47,0.37,Green,Yellow,,TRUE,
Delish , Sesame Chicken 1,R-61883,FLX|Sesame shallot chicken,GV - FLEX BC,207,729.2138384,17.47852585,1.92487184,62.06,575.27,352.28,8.44,29.98,277.91,0.93,Yellow,Red,TRUE,,
Delish , Seasame Chicken 2,R-61884,FLX|Sesame shallot chicken +1,GV - FLEX BC,396.5,1212.005114,21.51474272,2.784186937,204.05,3600.79,305.68,5.43,51.46,908.14,0.7,Yellow,Yellow,,TRUE,
Delish , Sesame Chicken 3,R-61889,FLX|Sesame shallot chicken +2,GV - FLEX BC,586,1694.796389,25.55095959,3.643502034,346.05,6626.31,289.21,4.36,59.05,1130.77,0.62,Yellow,Yellow,,TRUE,
Delish , Kale,R-37735,G&G|Salad|Caesar Kale,PRODUCTION FOOD,234,0,0,0,0,0,0,0,0,0,0,Green,Green,,,TRUE
Sandwhich , Egg salad 1,R-37738,G&G|Sand|Egg Salad Russian,PRODUCTION FOOD,1,0,0,0,0,0,0,0,0,0,0,Green,Green,,,TRUE
Sandwhich , Egg salad 2,R-65798,G&G|Sand|Egg Salad Russian.,PRODUCTION FOOD,1,0,0,0,0,0,0,0,0,0,0,Green,Green,,,TRUE
Grill AM , Breakfast BLT,R-54377,GR|Sandwich|Classic BLT|AAD,SANDWICHES,293.175,1340.609687,16.00585676,3.16405186,214.42,6635.75,457.27,5.46,73.14,2263.41,1.08,Red,Red,TRUE,,
Sandwhich , Prawn Po'Boy,R-60982,GRL|Prawn po-boy|FT,GV GRILL FEATURE,328,2216.94634,9.563990088,1.612571096,201.22,6281.5,675.9,2.92,61.35,1915.09,0.49,Red,Red,TRUE,,
Delish , Chef's,R-34864,GRL|Salad|Chef,OK - GRILL KITCHEN DAY,229.0000054,731.6433145,11.15503639,1.336308614,98,3495.36,319.49,4.87,42.79,1526.36,0.58,Yellow,Yellow,,TRUE,
Delish , Chop Chop,R-61740,GRL|Salad|Chop Chop,OK - GRILL KITCHEN DAY,200,353.5353067,2.69061697,1.175301022,33.34,1644.66,176.77,1.35,16.67,822.33,0.59,Green,Yellow,,TRUE,
Delish , Nicoise,R-56461,GRL|Salad|Nicoise,OK - GRILL BRUNCH,240,449.4993989,4.652355838,1.19513198,74.35,1348.91,187.29,1.94,30.98,562.05,0.5,Green,Green,,,TRUE
,,R-43886,SAND|Falafel Full Build,GV-SANDWICH,300,850.8043628,7.660601162,2.958713331,162.6,5246.08,283.6,2.55,54.2,1748.69,0.99,Yellow,Yellow,,TRUE,
Delish , Hulk Bowl,R-56539,VEG|Hulk Bowl,OK- VEGETARIAN KITCHEN FEATURE,203.0000109,182.230227,1.000021225,0.557847213,7.07,257.69,89.77,0.49,3.48,126.94,0.27,Green,Green,,,TRUE
Fresh Fare PM , Bibimbap bowl,R-54202,FF|Bibimbap Bowl|AAD,GV FRESH FARE DAY,532,811.5618439,5.908469011,1.613587551,172.87,2884.58,152.55,1.11,32.49,542.21,0.3,Green,Green,,,TRUE
Fresh Fare AM , Asparagus Scramble,R-64951,FF|Bowl|Asparagus scramble|AAD,GV FRESH FARE BREAKFAST,385,1399.444984,14.94268862,4.392798205,151.36,5585.06,363.49,3.88,39.31,1450.66,1.14,Yellow,Red,TRUE,,
Fresh Fare AM , Black bean bowl,R-27275,FF|Bowl|Black Bean Break|AAD,GV FRESH FARE BREAKFAST,407,769.8833699,7.851899259,3.028087706,89.49,2437.57,189.16,1.93,21.99,598.91,0.74,Green,Yellow,,TRUE,
Fresh Fare AM , Chili Miso Scramble,R-65942,FF|Bowl|chilimiso scramble|AAD,GV FRESH FARE BREAKFAST,310,716.4629093,9.913975998,1.982775771,98.24,2956.26,231.12,3.2,31.69,953.63,0.64,Yellow,Yellow,,TRUE,
Fresh Fare PM , Dobanjiang Bowl,R-43738,FF|BOWL|Dobanjiang Noodle|AAD ,OK - VEGETARIAN KITCHEN,319,425.7036192,5.051073882,1.036819992,78.07,2638.35,133.45,1.58,24.47,827.07,0.33,Green,Green,,,TRUE
Fresh Fare PM , Fajita veg bowl,R-57179,FF|Bowl|Fajita VEG|AAD,GV FRESH FARE DAY,460,728.5101372,3.777603798,2.634747931,164.84,1802.7,158.37,0.82,35.83,391.89,0.57,Green,Green,,,TRUE
Fresh Fare PM , Kale bowl,R-54039,FF|Bowl|Kale|AAD,GV FRESH FARE DAY,293,299.2902126,3.330230794,0.945637923,35.41,1141.34,102.15,1.14,12.09,389.54,0.32,Green,Green,,,TRUE
Fresh Fare PM , Mediterranean bowl,R-55057,FF|Bowl|Mediterranean|AAD,GV FRESH FARE DAY,375,896.3358302,6.609733635,2.812634046,138.21,3922.38,239.02,1.76,36.86,1045.97,0.75,Yellow,Yellow,,TRUE,
Fresh Fare PM , King Oyster bowl,R-64398,FF|Bowl|OysterMushroom|AAD,SPECIALS,355,390.2478813,2.386571527,0.599606187,165.76,963.37,109.93,0.67,46.69,271.37,0.17,Green,Green,,,TRUE
Grill AM , Asparagus poached eggs bowl,R-61859,FF|Bowl|Poached Egg Asparagus,GV FRESH FARE DAY,390,901.0475817,7.703609613,1.53863649,218.88,2697.4,231.04,1.98,56.12,691.64,0.39,Yellow,Yellow,,TRUE,
Fresh Fare AM , Zucchini poached egg bowl,R-65761,FF|Bowl|Poached Egg Zuc.|AAD,GV FRESH FARE DAY,410,854.7161476,7.463972072,1.447164054,217.29,2571.29,208.47,1.82,53,627.14,0.35,Yellow,Green,,,TRUE
Fresh Fare AM , Polenta Bowl,R-35341,FF|Bowl|Polenta|AAD,OK - SIDES,265,748.4005423,6.422911125,1.190110181,64.28,3419.03,282.42,2.42,24.26,1290.2,0.45,Yellow,Yellow,,TRUE,
Fresh Fare PM , Roasted squash bowl,R-50333,FF|Bowl|Roasted squash|AAD,GV FRESH FARE DAY,375,373.9556988,2.356634361,0.812781892,102.05,724.98,99.72,0.63,27.21,193.33,0.22,Green,Green,,,TRUE
Fresh Fare AM , Salsa verde Scramble,R-65513,FF|Bowl|Salsa scramble|AAD,GV FRESH FARE BREAKFAST,375,928.2154369,11.24895388,2.553462287,108.16,3342.38,247.52,3,28.84,891.3,0.68,Yellow,Yellow,,TRUE,
Fresh Fare PM , Thai coconut bowl,R-40621,FF|Bowl|Thai Coconut|AAD,GV FRESH FARE DAY,383,341.1491459,2.036569399,0.6176497,101.65,521.62,89.07,0.53,26.54,136.19,0.16,Green,Green,,,TRUE
Fresh Fare AM , White bean breakfast bowl,R-51215,FF|Bowl|White bean breaky|AAD,GV FRESH FARE BREAKFAST,415,896.2729658,7.118673363,2.059850696,170.2,3268.38,215.97,1.72,41.01,787.56,0.5,Yellow,Yellow,,TRUE,
Fresh Fare PM , Brussel sprout pasta,R-56895,FF|Brussel Sprout Pasta|AAD,OK - GLOBAL KITCHEN ,337,710.7595357,4.305411353,2.171377333,100.52,4918.67,210.91,1.28,29.83,1459.55,0.64,Yellow,Yellow,,TRUE,
Fresh Fare AM , Overnight Oats Apple Cin,R-61853,FF|Overnight oats|AppleCin|AAD,GV FRESH FARE BREAKFAST,370,452.9633479,1.2689475,1.172334761,124.2,5476.81,122.42,0.34,33.57,1480.22,0.32,Green,Green,,,TRUE
Fresh Fare AM , Overnight Oats Banana,R-61855,FF|Overnight oats|Bannana|AAD,GV FRESH FARE BREAKFAST,350,448.0750376,1.377729435,1.139158172,136.21,6703.13,128.02,0.39,38.92,1915.18,0.33,Green,Yellow,,TRUE,
Fresh Fare AM , Overnight Oats Blackberry,R-66411,FF|Overnight oats|black|AAD,GV FRESH FARE BREAKFAST,390,538.7968156,1.490358007,1.181076224,157.4,7553.88,138.15,0.38,40.36,1936.89,0.3,Green,Yellow,,TRUE,
Fresh Fare AM , Overnight Oats Strawberry,R-69124,FF|Overnight oats|straw|AAD,GV FRESH FARE BREAKFAST,365,480.5490609,1.399813585,1.149891893,144.59,7040.49,131.66,0.38,39.61,1928.9,0.32,Green,Yellow,,TRUE,
Fresh Fare PM , Artichoke Penne,R-47827,FF|Pasta|Artichoke Penne|AAD,GV FRESH FARE FEATURE,347,856.3441705,8.458465902,1.589650641,145.65,6022.49,246.79,2.44,41.97,1735.59,0.46,Yellow,Yellow,,TRUE,
Fresh Fare PM , Spagetti Blanco,R-68820,FF|Pasta|blanco|AAD,SPECIALS,315,500.823,3.2679,1.132672,127.86,7033.55,158.99,1.04,40.59,2232.87,0.36,Green,Yellow,,TRUE,
