ConversionId,Multiplier,ConvertFromQty,ConvertFromUom,ConvertToQty,ConvertToUom
I-2521,0.011904761904761904,1.0,BAR,84.0,ml
I-21707,0.011111111111111112,1.0,BAR,90.0,ml
I-48147,0.014285714285714285,0.125,ea,8.75,ml
I-53227,0.014285714285714285,0.125,ea,8.75,ml
I-55684,0.014285714285714285,0.125,ea,8.75,ml
I-3823,0.009009009009009009,1.0,BAR,111.0,ml
I-65520,0.014285714285714285,1.0,each,70.0,ml
I-51575,0.011235955056179775,1.0,BAR,89.0,ml
I-65588,0.011235955056179775,1.0,each,89.0,ml
I-51572,0.0064516129032258064,1.0,BAR,155.0,ml
I-31464,0.0009263118892130981,1.0,ea,1079.55,g
I-63692,0.0013333333333333333,1.0,ea,750.0,g
I-47441,0.007042253521126761,1.0,ea,142.0,g
I-20879,1.0,9000.0,g,9000.0,g
I-2564,1.0,4560.0,g,4560.0,g
I-28697,0.007042253521126761,1.0,ea,142.0,g
I-10503,1.0,192.0,g,192.0,g
I-2768,0.01,1.0,CT,100.0,g
I-33072,0.006666666666666667,1.0,ea,150.0,g
I-70004,1.0,2210.0,g,2210.0,g
I-67659,0.004405286343612335,1.0,each,227.0,g
I-49371,0.006289308176100629,1.0,CT,159.0,g
I-52609,0.004830917874396135,1.0,ea,207.0,ml
I-52636,0.004830917874396135,1.0,ea,207.0,ml
I-2501,1.0,27.5,g,27.5,g
I-2772,0.003571173487608028,1.0,CT,280.02,g
I-61409,0.0035460992907801418,1.0,pak,282.0,g
I-53847,0.0024154589371980675,1.0,414ML,414.0,ml
I-64361,0.022222222222222223,1.0,each,45.0,g
I-63003,0.005235602094240838,0.5,ea,95.5,g
I-63749,0.0024154589371980675,1.0,414ML,414.0,ml
I-63002,0.034211426616489904,0.5,ea,14.615,g
I-2833,0.004,0.07,CT,17.5,ml
I-3745,0.014084507042253521,1.25,CT,88.75,g
I-1384,0.034211426616489904,0.5,CT,14.615,g
I-64914,0.018518518518518517,1.0,each,54.0,g
I-45901,0.1,1.0,each,10.0,g
I-19700,0.002,1.0,pak,500.0,g
I-64296,0.006711409395973154,1.0,ea,149.0,g
I-63683,0.0067188497329257225,1.0,ea,148.835,g
I-3906,0.008130081300813009,1.0,CT,123.0,g
I-61648,1.0,1150.0,g,1150.0,g
I-16436,0.0025,1.0,pak,400.0,g
I-39932,0.0058823529411764705,1.0,bag,170.0,g
I-1727,0.0014084507042253522,1.0,710ml,710.0,ml
I-2778,0.008849557522123894,1.0,CT,113.0,g
I-30152,0.05,1.0,slice,20.0,g
I-2118,0.004,0.33,PTN,82.5,g
I-24218,0.0005263157894736842,1.0,ea,1900.0,g
I-64321,0.0033333333333333335,0.2,CT,60.0,g
I-64348,0.0004522308548067617,1.0,each,2211.26,g
I-2786,0.0018181818181818182,1.0,CT,550.0,g
I-2781,0.0004899150977135662,1.0,CT,2041.17,g
I-2116,0.004,0.33,PTN,82.5,g
I-55065,0.047619047619047616,1.0,each,21.0,g
I-44008,0.05,1.0,each,20.0,g
I-41375,0.005,0.5,ea,100.0,g
I-35929,0.004,1.0,ea,250.0,g
I-68966,0.05,1.0,slice,20.0,g
I-63698,0.024390243902439025,1.0,ea,41.0,g
I-38717,0.008849557522123894,1.0,CT,113.0,g
I-32265,0.03533568904593639,3.0,ea,84.9,g
I-37123,0.004405286343612335,1.0,ea,227.0,g
I-37138,0.003205128205128205,1.0,ea,312.0,g
I-25229,0.002,1.0,ea,500.0,g
I-2769,0.009009009009009009,1.0,CT,111.0,g
I-41804,0.09090909090909091,1.0,ea,11.0,g
