ItemId,CategoryID,Description,CaseQty,CaseUOM,PakQty,PakUOM,InventoryGroup
I-11706,,Glry Side Fries 2023,1.0,ea,1.0,ea,N
I-16780,,2022 Vegan Caesar dressing,1.5,fl oz,1.0,fl oz,N
I-14715,,2022 Coleslaw mix,7.0,oz,1.0,Kg,N
I-15427,,Vegan Chipotle Mayo,2.0,fl oz,1.0,L,N
I-13956,,Sushi Rice,6.0,PORT,6.0,PORT,N
I-16221,,2022 pickled jalapeno,40.0,g,250.0,g,N
I-16572,,2022 Pickle onion,20.0,g,250.0,g,N
I-6243,,2019 Chipotle Aioli,4.0,fl oz,1.0,L,N
I-17039,,2022 Grilled Peach Salsa2,30.0,g,1.0,g,N
I-17040,,2022 Pickled Onion2,20.0,g,1.0,Kg,N
I-9013,,NEW FISH BATTER MIX,200.0,g,1.0,Kg,N
I-13414,,linguini,1.0,PORT,1.0,PORT,N
I-17486,,2022 Blackened Chicken,1.0,PORT,1.0,PORT,N
I-16570,,2022 Ancho Tempeh marinade,2.0,PORT,1.0,PORT,N
I-16574,,2022 Grilled Peach Salsa,40.0,g,1.0,g,N
I-16575,,2022 Lime Aioli ,30.0,g,1.0,g,N
I-12266,,G18 Parmesan Aioli,60.0,ml,1.0,L,N
I-17316,,2022 HH Corn Fritters,1.0,PORT,1.0,PORT,N
I-16787,,2022 Blackning Spice,20.0,g,1.0,g,N
I-17037,,2022 chicken tenders marinate,4.0,oz,1.0,Kg,N
I-11125,,2022 Pico De Gallo ,3.0,Tbsp,1.0,L,N
I-14905,,2022 Fried Chicken Tenders ,1.0,PORT,1.0,PORT,N
I-15024,,G21 Calamari Flour,100.0,g,1.0,g,Y
I-14826,,G20 Refried Bean Spread,3.0,fl oz,1.0,L,N
I-16856,,2022 vegan croutons,15.0,g,1.0,Kg,N
I-16748,,2022 Chicken Marinate,2.1,Kg,18.0,g,Y
I-16844,,2022 simple syrup,57.0,ml,660.0,cup,N
I-17314,,2022 Corn Fritters batter,325.0,g,1.0,Kg,N
I-16223,,2022 pickled jalepenos,0.02,1 KG,1.0,1 KG,N
I-14504,,2022 Tahini Dressing,1.0,fl oz,1.0,L,N
I-15477,,2022 Jasmin rice,1.0,PORT,1.0,PORT,N
I-9017,,2022 Gallery Fries,1.0,ea,1.0,ea,N
I-16760,,2022 El diablo Seas,10.0,g,1.0,g,N
I-16778,,2022 Candied Walnut,20.0,g,1.0,Kg,N
I-17352,,2022 Cranberry Vinaigrette ,30.0,ml,1.0,L,N
I-17378,,2022 fried chick pea,5.0,g,1.0,g,N
I-17360,,2022 Beef Gravy,2.0,fl oz,1.0,L,N
I-15051,,G21 Roasted Portobello,1.0,ea,1.0,ea,N
I-16571,,2022 pickling liquid,450.0,ml,250.0,L,N
I-15007,,G21 Roasted Cauliflower ,30.0,g,1.0,g,N
I-15008,,G21 Roasted Broccoli,30.0,g,1.0,g,N
I-15010,,G21 Green Goddess Dressing,3.0,fl oz,1.0,L,N
I-16794,,2022 Grilled Pineapple,1.0,PORT,1.0,PORT,N
I-16860,,2022 slaw dressing,10.0,g,1.0,g,N
I-16784,,2022 Roasted Carrots,1.0,PORT,1.0,PORT,N
I-16785,,2022 Quinoa Croquette,1.0,PORT,1.0,PORT,N
I-16786,,2022 Quinoa Puffed,10.0,g,1.0,g,N
I-16834,,2022 herb tahini dressing,10.0,g,1.0,g,N
I-12209,,2022 Carbonara Sauce,3.0,fl oz,1.0,L,N
I-16789,,2022 Blackned Salmon ,1.0,PORT,1.0,PORT,N
I-18349,,Cooked Linguini 2023,8.0,oz,1.0,Kg,N
I-16857,,2022 house dressing,1.0,oz,1.0,g,N
I-17350,,2022 sweet chili Sauce Gallery,3.0,oz,1.0,g,N
I-15001,,G21 Sesame Sweet Soy ,500.0,ml,500.0,L,N
I-15486,,"G21 B,Bean Patty",1.0,ea,1.0,ea,N
I-16855,,2022 Garlic confit,120.0,g,40.0,g,Y
I-15401,,G21 Honey Cayenne Mayo,1.5,fl oz,1.0,L,N
I-16777,,2022 Watermelon dressing,30.0,ml,1.0,ml,N
I-5816,,2023 Tzatziki gallery,2.0,fl oz,1.0,g,N
I-15037,,Tikka Marinade for chicken Gal,250.0,g,1.0,g,Y
I-16862,,2022 Sriracha mayo,2.0,fl oz,1.0,ml,N
I-17013,,2022 Herb oil,50.0,ml,1.0,ml,N
I-17014,,2022 chicken pesto marination,50.0,oz,1.0,Kg,N
I-17941,,Porch - Yellow Curry,8.0,fl oz,1.0,L,N
I-18274,,Orange Vinaigrette 2023,150.0,ml,1.0,L,N
I-15038,,2023 Chicken Tikka,4.0,oz,1.0,Kg,N
I-15412,,G21 Pickled Red Cabbage,80.0,g,1.0,g,N
I-14984,,G21 Teriyaki Sauce ,5.0,fl oz,1.0,L,Y
