ConversionId,PrepId,Weight (g),GHG Emission (g) / 100g,N lost (g) / 100g,Stress-Weighted Water Use (L) / 100g,Total CO2 Emission (g),Total Nitrogen Emission (g),Total Freshwater Withdrawals (mL)
I-25,P-5,600.0,562.2180000000001,0.4049999999999999,1.494,5622.18,4.05,14940.0
I-35,P-7,18.0,5.89645838045947,0.0042475794871136,0.015668848774686,168.6654,0.1215,448.2
I-46,P-8,1.0,3.6039615384615376,0.0025961538461538,0.009576923076923,9.3703,0.00675,24.9
I-57,P-10,30.0,1.3618539999728707,0.0009810267013667,0.0036188984983751,281.10900000000004,0.2024999999999999,747.0
I-84,P-16,150.0,29.590421052631584,0.0213157894736842,0.0786315789473684,1405.545,1.0125,3735.0
I-87,P-16,50.0,9.863473684210526,0.0071052631578947,0.0262105263157894,468.515,0.3375,1245.0
I-91,P-17,30.0,49.31736842105264,0.0355263157894736,0.1310526315789473,281.10900000000004,0.2024999999999999,747.0
I-105,P-19,10.0,9.50527490363157,0.0068472306755934,0.0252586731588557,93.703,0.0675,249.0
I-109,P-21,15.0,9.5941638225256,0.0069112627986348,0.025494880546075,140.55450000000002,0.1012499999999999,373.5
I-124,P-23,4.0,0.1833359420856975,0.0001320680884367,0.0004871845040109,37.4812,0.027,99.6
I-125,P-23,16.0,0.7333437683427901,0.0005282723537468,0.0019487380160438,149.9248,0.108,398.4
I-128,P-23,3.0,0.1375019565642731,9.905106632752886e-05,0.0003653883780082,28.1109,0.02025,74.69999999999999
I-26,P-5,100.0,16.413999999999998,0.0,0.101,164.14,0.0,1010.0
I-65,P-12,10.0,0.4360207198831186,0.0,0.0026829592243325,16.414,0.0,101.0
I-85,P-16,2000.0,69.11157894736841,0.0,0.4252631578947368,3282.8,0.0,20200.0
I-88,P-16,300.0,10.366736842105263,0.0,0.0637894736842105,492.42,0.0,3030.0
I-148,P-25,15.0,0.9353279652044776,0.0,0.005755338399272,24.621,0.0,151.5
I-29,P-6,1500.0,194.406,0.0119999999999999,0.084,4860.15,0.3,2100.0
I-39,P-7,600.0,67.96336936393615,0.0041951402341863,0.0293659816393045,1944.06,0.12,840.0
I-62,P-11,4000.0,206.77221935047444,0.0127633233141245,0.0893432631988717,12960.4,0.8,5600.0
I-64,P-12,60.0,5.16419179173861,0.0003187674325939,0.0022313720281577,194.406,0.012,84.0
I-79,P-15,2840.0,312.98925170068026,0.0193197278911564,0.1352380952380952,9201.884,0.5680000000000001,3976.0
I-80,P-15,100.0,11.020748299319727,0.0006802721088435,0.0047619047619047,324.01,0.02,140.0
I-110,P-21,100.0,22.116723549488054,0.0013651877133105,0.009556313993174,324.01,0.02,140.0
I-145,P-25,30.0,3.692647910392382,0.0002279341940305,0.001595539358214,97.203,0.006,42.0
I-150,P-27,3000.0,318.6983606557377,0.0196721311475409,0.1377049180327869,9720.3,0.6,4200.0
I-33,P-7,12.0,0.2109736023772321,0.0033141607850072,0.0341064901039351,6.034800000000001,0.0948,975.6
I-36,P-7,60.0,1.0548680118861606,0.0165708039250361,0.1705324505196756,30.174,0.474,4878.0
I-52,P-10,9071.84,22.102063285669164,0.3471988466032738,3.573071674537488,4562.228336,71.66753600000001,737540.592
I-53,P-10,2267.96,5.525515821417291,0.0867997116508184,0.893267918634372,1140.557084,17.916884000000003,184385.148
I-54,P-10,2267.96,5.525515821417291,0.0867997116508184,0.893267918634372,1140.557084,17.916884000000003,184385.148
I-55,P-10,2267.96,5.525515821417291,0.0867997116508184,0.893267918634372,1140.557084,17.916884000000003,184385.148
I-59,P-10,50.0,0.1218168711400838,0.001913607639703,0.0196932026718807,25.145,0.395,4065.0
I-60,P-10,4535.92,11.051031642834582,0.1735994233016369,1.786535837268744,2281.114168,35.833768000000006,368770.296
I-115,P-22,30.0,9.165856622114214,0.1439854191980558,1.4817739975698665,15.087,0.237,2439.0
I-121,P-23,5.0,0.0122994521620035,0.0001932107219722,0.0019883584425748,2.5145,0.0395,406.5
I-138,P-25,100.0,1.9104684362996291,0.0300113355473594,0.3088508329114334,50.29,0.79,8130.0
I-151,P-27,50.0,0.8244262295081967,0.0129508196721311,0.1332786885245901,25.145,0.395,4065.0
I-5,P-1,15.0,7.116509433962263,0.1117924528301886,1.1504716981132077,7.5435,0.1185,1219.5
I-31,P-7,165.0,2.9008870326869416,0.0455697107938493,0.4689642389291079,82.9785,1.3035,13414.5
I-49,P-9,0.55,4.222824427480917,0.0663358778625954,0.6826717557251909,0.276595,0.004345,44.715
I-67,P-12,27.5,0.3673728250763713,0.0057710187275866,0.059390357285164,13.82975,0.21725,2235.75
I-102,P-19,45.8,2.3364597281395825,0.0367031852302698,0.3777175897748021,23.03282,0.36182,3723.54
I-113,P-22,45.8,13.993207776427704,0.2198177399756986,2.2621749696233286,23.03282,0.36182,3723.54
I-114,P-22,27.5,8.402035236938032,0.1319866342648845,1.3582928311057108,13.82975,0.21725,2235.75
I-116,P-22,1.3,0.397187120291616,0.006239368165249,0.0642102065613608,0.6537700000000001,0.01027,105.69
I-129,P-24,800.0,20.579028132992327,0.3232736572890026,3.3268542199488493,402.32,6.32,65040.0
I-135,P-24,27.5,0.7074040920716113,0.0111125319693094,0.1143606138107417,13.82975,0.21725,2235.75
I-137,P-24,27.5,0.7074040920716113,0.0111125319693094,0.1143606138107417,13.82975,0.21725,2235.75
I-139,P-25,79.3787,1.5165050086449738,0.0238226080101318,0.245161776104268,39.91954823,0.6270917300000001,6453.48831
I-38,P-7,1800.0,86.68837779922698,0.5436901743505524,0.2831719658075794,2479.68,15.552,8100.0
I-41,P-8,150.0,22.90384615384616,0.2884615384615385,0.15,59.55,0.75,390.0
I-63,P-12,3250.0,34.27413999203082,0.4316642316376676,0.2244654004515871,1290.25,16.25,8450.0
I-42,P-8,50.0,171.35384615384615,1.794230769230769,29.986538461538466,445.52,4.665,77965.0
I-71,P-12,190.0,7.462212777261255,0.02977819099482,3.4172997742064024,280.915,1.1210000000000002,128644.25
I-106,P-20,200.0,147.85,0.5900000000000001,67.7075,295.7,1.1800000000000002,135415.0
I-120,P-23,1082.0,7.824970651535902,0.0312257875171199,3.5834237429074545,1599.737,6.383800000000001,732595.15
I-75,P-14,2000.0,42.70687237026648,0.4151472650771389,11.758765778401122,3045.0,29.6,838400.0
I-12,P-3,340.0,120.38372093023256,1.1702325581395348,33.1460465116279,517.65,5.032,142528.0
I-76,P-14,30.0,2.3723562412342214,8.41514726507714e-05,0.1337587657784011,169.149,0.006,9537.0
I-92,P-17,400.0,395.6701754385965,0.0140350877192982,22.30877192982456,2255.32,0.08,127160.0
I-103,P-19,100.0,57.19517143436803,0.0020288090890647,3.224792047068371,563.83,0.02,31790.0
I-108,P-21,1350.0,233.5546075085324,0.4883959044368601,145.1273037542662,3421.575,7.155,2126115.0
I-122,P-23,941.0,52.61756799060849,0.4618927313637253,4.6496557229505,10757.1356,94.42935,950575.616
I-127,P-23,16000.0,174.7211895910781,1.5339463901389163,15.441205243592254,35720.0,313.6,3156800.0
I-147,P-25,60.0,2.266349691246039,0.0015499525194079,0.1527842902586965,59.658,0.0408,4021.8
I-152,P-28,22679.6,402.67465237534105,10.690153513373906,33.89181375002018,99781.16816,2648.97728,8398255.879999999
I-153,P-28,2100.0,37.285347624659,0.9898464866260958,3.138186249979822,9239.160000000002,245.28,777630.0
I-15,P-3,15.0,0.0,0.0,0.0,0.0,0.0,0.0
I-22,P-4,35.0,0.0,0.0,0.0,0.0,0.0,0.0
I-50,P-9,1.0,0.0,0.0,0.0,0.0,0.0,0.0
I-74,P-13,1.0,0.0,0.0,0.0,0.0,0.0,0.0
I-43,P-8,24.0,90.7523076923077,1.2258461538461538,16.710461538461537,235.956,3.1872,43447.2
I-141,P-25,2267.96,33.96332819936887,0.2326255356121155,3.2222944562567117,894.029832,6.123492000000001,84821.704
P-0,P-0,1000.0,0.0,0.0,0.1,0.0,0.0,1000.0
P-9,P-9,907.184,47.578125,0.5890625,13.47921875,431.6211375,5.34388075,122281.315825
P-17,P-24,300.0,0.0,0.675,2.0225,0.0,2.025,6067.5
P-2,P-22,17579.3,175.42,0.5900000000000001,0.66,30837.60806,103.71787,116023.38
P-5,P-15,30.0,937.0300000000002,0.675,2.49,281.10900000000004,0.2024999999999999,747.0
P-25,P-3,20.0,50.29,0.79,8.129999999999999,10.058,0.158,1626.0
P-18,P-3,135.0,39.7,0.5,0.26,53.595000000000006,0.675,351.0
P-12,P-18,120.0,39.7,0.5,0.26,47.64,0.6,312.0
P-21,P-22,3470.0,126.725,0.2649999999999999,78.745,4397.3575,9.1955,2732451.5
P-20,P-1,4735.92,439.96,11.679999999999998,37.03,20836.153632,553.155456,1753711.176
P-28,P-26,18143.68,219.98,5.840000000000001,18.515,39912.467264000006,1059.590912,3359302.352
P-27,P-10,1000.0,315.09000000000003,0.02,6.75,3150.9,0.2,67500.0
P-15,P-24,200.0,69.95,0.5900000000000001,0.0,139.9,1.1800000000000002,0.0
