ProdId,Weight (g),Total CO2 Emission (g),Total Nitrogen Emission (g),Total Freshwater Withdrawals (mL),GHG Emission (g) / 100g,N lost (g) / 100g,Stress-Weighted Water Use (L) / 100g,GHG Emission (g) / g,N lost (g) / g,Stress-Weighted Water Use (L) / g,ProdId
P-25,6100.0,9745.445,0.995,8265.0,159.76139344262293,0.016311475409836063,0.13549180327868854,1.5976139344262295,0.00016311475409836064,0.0013549180327868853,P-9
P-11,37846.8935,1863.8764741149998,21.049245865,93038.844155,4.9247806140681,0.05561683910728367,0.24582953989341289,0.049247806140681,0.0005561683910728367,0.002458295398934129,P-17
P-4,5500.0,1101.17,6.749999999999999,21702.5,20.02127272727273,0.1227272727272727,0.3945909090909091,0.2002127272727273,0.001227272727272727,0.003945909090909091,P-14
P-20,4395.0,3745.585,7.27625,2126558.375,85.22377701934016,0.1655574516496018,48.38585608646189,0.8522377701934016,0.0016555745164960182,0.4838585608646189,P-21
P-2,74317.24799999999,38522.1791104,108.09294080000001,135273.45919999998,51.834776107963535,0.14544798644858326,0.1820216206068341,0.5183477610796353,0.0014544798644858326,0.001820216206068341,P-21
P-26,49559.2,109020.32816,2894.2572800000003,9175885.879999999,219.98000000000002,5.840000000000001,18.515,2.1998,0.05840000000000001,0.18515,P-24
