ItemId,Description,Qty,UOM,PrepId
I-116,SPICE NUTMEG GROUN D           ,4.000,g,P-22
I-117,SPICE PEPPER BLACK W           ,16.000,g,P-22
I-118,SALT KOSHER COARSE            ,73.000,g,P-22
I-119,Milk 2% P/S 20L           ,16.000,L,P-22
I-120,Spice Bay Leaf Whl           ,3.000,g,P-22
I-121,MINT LEAVES             ,100.000,g,P-23
I-122,H BUNC H BUNC H CILANTRO         ,3.000,BUNC,P-23
I-123,Chaat Masala             ,10.000,g,P-23
I-124, LEMONS 5lb bag          ,2.000,ea,P-23
I-125,GARLIC WHOLE PEELED            ,30.000,g,P-23
I-126,Ginger Fresh             ,5.000,g,P-23
I-127,JALAPENO PEPPER - FR E          ,30.000,g,P-23
I-128, PFO OIL CANOLA JIB  AN T      ,30.000,ml,P-23
I-129,SALT COARSE KOSHER            ,5.000,g,P-23
I-130, Oat Milk Barista Blend         ,60.000,ml,P-23
I-131,SUGAR GRANULATED FI N           ,15.000,g,P-23
I-133, PFO OIL CANOLA JIB  AN T      ,3000.000,ml,P-25
I-134,THYME              ,50.000,g,P-25
I-135, Chicken Flat Thigh s/onknu c        ,50.000,lb,P-26
I-136,2022 Chicken Marinate            ,2100.000,g,P-26
