ConversionId,ConvertToQty,ConvertToUom,Category,CO2 Emission (g CO2),Nitrogen Lost (g),Water Withdrawals (mL),PrepId,Total CO2 Emission (g),Total Nitrogen Emission (g),Total Freshwater Withdrawals (mL),Weight (g),GHG Emission (g) / 100g,N lost (g) / 100g,Stress-Weighted Water Use (L) / 100g,GHG Emission (g) / g,N lost (g) / g,Stress-Weighted Water Use (L) / g
I-10,1000.0,g,26,4.2854,0.012199999999999999,1823.3,P-2,4285.400000000001,12.2,1823300.0,17579.311999999998,24.37751830105752,0.06939975807926954,10.37185072999444,0.2437751830105752,0.0006939975807926954,0.1037185072999444
I-97,15.0,g,26,4.2854,0.012199999999999999,1823.3,P-18,64.281,0.183,27349.5,15.0,428.54,1.22,182.32999999999998,4.2854,0.012199999999999999,1.8233
I-11,250.0,g,56,0.44,0.0,0.0,P-2,110.0,0.0,0.0,17579.311999999998,0.6257355236655451,0.0,0.0,0.006257355236655451,0.0,0.0
I-56,150.0,g,56,0.44,0.0,0.0,P-10,66.0,0.0,0.0,20641.64,0.3197420360010154,0.0,0.0,0.0031974203600101544,0.0,0.0
I-70,30.0,g,56,0.44,0.0,0.0,P-12,13.2,0.0,0.0,3764.5,0.350644175853367,0.0,0.0,0.00350644175853367,0.0,0.0
I-78,100.0,g,56,0.44,0.0,0.0,P-14,44.0,0.0,0.0,7130.0,0.6171107994389902,0.0,0.0,0.0061711079943899015,0.0,0.0
I-93,10.0,g,56,0.44,0.0,0.0,P-17,4.4,0.0,0.0,570.0,0.7719298245614036,0.0,0.0,0.0077192982456140355,0.0,0.0
I-104,30.0,g,56,0.44,0.0,0.0,P-19,13.2,0.0,0.0,985.8,1.3390139987827145,0.0,0.0,0.013390139987827145,0.0,0.0
I-126,73.0,g,56,0.44,0.0,0.0,P-23,32.12,0.0,0.0,20444.0,0.1571121111328507,0.0,0.0,0.001571121111328507,0.0,0.0
I-146,5.0,g,56,0.44,0.0,0.0,P-25,2.2,0.0,0.0,2632.3387000000002,0.08357587114454534,0.0,0.0,0.0008357587114454535,0.0,0.0
I-16,10.0,g,39,0.3015,0.0079,1.9,P-3,3.0149999999999997,0.07900000000000001,19.0,430.0,0.7011627906976743,0.018372093023255816,0.00441860465116279,0.007011627906976743,0.00018372093023255817,4.41860465116279e-05
I-27,750.0,g,39,0.3015,0.0079,1.9,P-6,226.125,5.925000000000001,1425.0,2500.0,9.045,0.23700000000000002,0.056999999999999995,0.09045,0.00237,0.00057
I-28,250.0,g,39,0.3015,0.0079,1.9,P-6,75.375,1.975,475.0,2500.0,3.015,0.079,0.019,0.03015,0.00079,0.00018999999999999998
I-32,120.0,g,39,0.3015,0.0079,1.9,P-7,36.18,0.9480000000000001,228.0,2860.45265,1.264834780607188,0.03314160785007226,0.007970766444954088,0.01264834780607188,0.0003314160785007226,7.970766444954088e-05
I-34,2.1,g,39,0.3015,0.0079,1.9,P-7,0.63315,0.016590000000000004,3.9899999999999998,2860.45265,0.022134608660625794,0.0005799781373762646,0.0001394884127866965,0.00022134608660625792,5.7997813737626465e-06,1.3948841278669652e-06
I-45,5.0,g,39,0.3015,0.0079,1.9,P-8,1.5074999999999998,0.03950000000000001,9.5,260.0,0.5798076923076922,0.015192307692307694,0.003653846153846154,0.005798076923076922,0.00015192307692307695,3.653846153846154e-05
I-61,2267.96,g,39,0.3015,0.0079,1.9,P-11,683.78994,17.916884000000003,4309.124,6267.96,10.909290103957268,0.28584872909208103,0.06874842851581695,0.10909290103957268,0.0028584872909208103,0.0006874842851581695
I-66,175.0,g,39,0.3015,0.0079,1.9,P-12,52.762499999999996,1.3825,332.5,3764.5,1.4015805551866116,0.03672466463009696,0.008832514278124586,0.014015805551866116,0.0003672466463009696,8.832514278124586e-05
