ConversionId,ConvertToQty,ConvertToUom,Category,CO2 Emission (g CO2),Nitrogen Lost (g),Water Withdrawals (mL),PrepId,Total CO2 Emission (g),Total Nitrogen Emission (g),Total Freshwater Withdrawals (mL),Weight (g),GHG Emission (g) / 100g,N lost (g) / 100g,Stress-Weighted Water Use (L) / 100g,GHG Emission (g) / g,N lost (g) / g,Stress-Weighted Water Use (L) / g
I-103,100.0,ml,49,5.6383,0.0002,317.9,P-19,563.83,0.02,31789.999999999996,985.8,57.19517143436803,0.002028809089064719,3.224792047068371,0.5719517143436803,2.028809089064719e-05,0.03224792047068371
I-108,1350.0,g,25,2.5345,0.0053,1574.9,P-21,3421.575,7.155,2126115.0,1465.0,233.5546075085324,0.4883959044368601,145.1273037542662,2.335546075085324,0.004883959044368601,1.451273037542662
I-122,941.0,g,5,11.4316,0.10035,1010.176,P-23,10757.1356,94.42935,950575.616,20444.0,52.61756799060849,0.4618927313637253,4.6496557229505,0.5261756799060849,0.0046189273136372526,0.04649655722950499
I-127,16000.0,g,9,2.2325,0.019600000000000003,197.3,P-23,35720.0,313.6,3156800.0,20444.0,174.7211895910781,1.5339463901389163,15.441205243592254,1.7472118959107807,0.015339463901389162,0.15441205243592254
I-147,60.0,ml,28,0.9943,0.00068,67.03,P-25,59.658,0.0408,4021.8,2632.3387000000002,2.266349691246039,0.0015499525194079319,0.15278429025869655,0.02266349691246039,1.549952519407932e-05,0.0015278429025869654
I-152,22679.6,g,4,4.3996,0.1168,370.3,P-28,99781.16816,2648.97728,8398255.879999999,24779.6,402.67465237534105,10.690153513373906,33.89181375002018,4.026746523753411,0.10690153513373905,0.3389181375002018
I-153,2100.0,g,4,4.3996,0.1168,370.3,P-28,9239.160000000002,245.28,777630.0,24779.6,37.285347624659,0.9898464866260958,3.138186249979822,0.37285347624659004,0.009898464866260958,0.03138186249979822
I-15,15.0,g,59,0.0,0.0,0.0,P-3,0.0,0.0,0.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0
I-22,35.0,g,59,0.0,0.0,0.0,P-4,0.0,0.0,0.0,14759.0,0.0,0.0,0.0,0.0,0.0,0.0
I-50,1.0,g,59,0.0,0.0,0.0,P-9,0.0,0.0,0.0,6.55,0.0,0.0,0.0,0.0,0.0,0.0
I-74,1.0,g,59,0.0,0.0,0.0,P-13,0.0,0.0,0.0,3301.0,0.0,0.0,0.0,0.0,0.0,0.0
I-43,24.0,g,3,9.8315,0.1328,1810.3,P-8,235.95600000000002,3.1872,43447.2,260.0,90.7523076923077,1.2258461538461538,16.710461538461537,0.907523076923077,0.012258461538461538,0.16710461538461538
I-141,2267.96,g,35,0.3942,0.0027,37.4,P-25,894.029832,6.123492000000001,84821.704,2632.3387000000002,33.96332819936887,0.23262553561211557,3.2222944562567113,0.3396332819936887,0.0023262553561211557,0.032222944562567114
