ProdId,Weight (g),Total CO2 Emission (g),Total Nitrogen Emission (g),Total Freshwater Withdrawals (mL),GHG Emission (g) / 100g,N lost (g) / 100g,Stress-Weighted Water Use (L) / 100g,GHG Emission (g) / g,N lost (g) / g,Stress-Weighted Water Use (L) / g
P-5,1208.4,127.33515,2.38659,14865.99,10.5375,0.19749999999999998,1.230220953326713,0.105375,0.0019749999999999998,0.01230220953326713
P-17,3783.0,824.83414,3.1271400000000003,38171.579999999994,21.803704467353953,0.08266296590007931,1.0090293417922283,0.21803704467353954,0.0008266296590007931,0.010090293417922282
P-21,570.0,71.836,1.37125,11531.625,12.60280701754386,0.24057017543859652,2.023092105263158,0.1260280701754386,0.0024057017543859653,0.02023092105263158
P-12,121176.0,26251.489200000004,119.366,225042.1,21.66393444246386,0.0985063048788539,0.1857150755925266,0.21663934442463859,0.000985063048788539,0.0018571507559252659
P-2,74317.24799999999,38522.1791104,108.09294080000001,135273.45919999998,51.834776107963535,0.14544798644858326,0.1820216206068341,0.5183477610796353,0.0014544798644858326,0.001820216206068341
