ConversionId,Multiplier,ConvertFromQty,ConvertFromUom,ConvertToQty,ConvertToUom,Category
I-60,1.0,5.0,g,5.0,g,58
I-61,1.0,17.0,g,17.0,g,58
I-62,1.0,30.0,g,30.0,g,56
I-63,1.0,190.0,g,190.0,g,24
I-135,453.592,50.0,lb,22679.6,g,4
I-136,1.0,2100.0,g,2100.0,g,4
I-9,453.592,36.0,lb,16329.312,g,20
I-10,1.0,1000.0,g,1000.0,g,41
I-11,1.0,250.0,g,250.0,g,56
I-59,79.3787,0.5,BUNC,39.68935,g,40
I-32,1.0,120.0,g,120.0,g,39
I-39,1.0,600.0,ml,600.0,ml,48
I-73,1.0,3000.0,g,3000.0,g,8
I-88,1.0,300.0,g,300.0,g,43
I-99,1.0,200.0,g,200.0,g,31
I-103,1.0,100.0,ml,100.0,ml,49
I-104,1.0,30.0,g,30.0,g,56
I-132,1.0,200.0,g,200.0,g,31
I-138,1.0,100.0,g,100.0,g,40
I-140,1.0,10.0,g,10.0,g,58
I-142,1.0,30.0,g,30.0,g,39
I-143,1.0,5.0,g,5.0,g,39
I-144,1.0,30.0,g,30.0,g,31
I-145,1.0,30.0,ml,30.0,ml,48
I-146,1.0,5.0,g,5.0,g,56
I-147,1.0,60.0,ml,60.0,ml,28
I-148,1.0,15.0,g,15.0,g,43
I-150,1.0,3000.0,ml,3000.0,ml,48
I-151,1.0,50.0,g,50.0,g,40
I-152,453.592,50.0,lb,22679.6,g,4
I-153,1.0,2100.0,g,2100.0,g,4
I-50,TBA,1.0,ea,1.0,g,48
I-137,TBA,0.5,BUNC,27.5,g,40
I-139,TBA,3.0,BUNC,79.3787,g,40
I-141,TBA,2.0,ea,2267.96,g,35
I-1,1.0,1000.0,g,1000.0,g,55
I-149,453.592,10.0,LBS,4535.92,g,4
I-3,0.0,2.0,PORT,4735.92,g,4
I-4,0.0,1.0,PATTY,1465.0,g,25
