ItemId,Description,Qty,UOM,PrepId,index
I-106,Flour - Fried Chicken Blend          ,200.000,g,P-20,0.0
I-107,LBS LBS 2022.3 Marinated Chicken T         ,10.000,LBS,P-20,1.0
I-96,2022.3 Potato Patty            ,120.000,g,P-18,0.0
I-97,Sabutdana              ,15.000,g,P-18,1.0
I-79,BEAN GARBANZO CHICK            ,2.840,L,P-15,0.0
I-80, PFO OIL CANOLA JIB  AN T      ,100.000,ml,P-15,1.0
I-81,2022.3 Smoked Paprika Ru           ,30.000,g,P-15,2.0
