ItemId,CategoryID,Description,CaseQty,CaseUOM,PakQty,PakUOM,InventoryGroup
I-34065,1,BEEF BONES KNUCKLE FZ,1,Kg,1,Kg,MEAT
I-59287,1,BEEF GRD MUSH/ONION BLEND,5,Kg,1,Kg,MEAT
I-11661,1,"BEEF STEW 3/4"" FROZEN",5,Kg,1,Kg,MEAT
I-3837,1,"BEEF STEW DICED 3/4""FR",1,Kg,1,Kg,MEAT
I-43648,1,BRISKET BEEF CORN SMKD FR,4.5,Kg,1,Kg,MEAT
I-2308,3,HAM CAPICOLLIFR,1,Kg,1,Kg,DELI & PREPARED MEAT
I-2305,3,BACON PANCETTA,1,Kg,1,Kg,MEAT
I-13423,3,PORK STIR FRY,5,Kg,1,Kg,MEAT
I-19657,3,SAUSAGE ANDOUILLE,5,Kg,1,Kg,MEAT
I-9295,4,TURKEY BRST SMKD SLICED,6,pak,25,slice,DELI & PREPARED MEAT
I-4007,4,CHICK THIGH S/L HALAL,1,Kg,1,Kg,POULTRY
I-7953,6,CHEESE BLUE CRUMBLED,2,BLOCK,2,Kg,DAIRY
I-2078,6,CHEESE BOCCONCINI MEDIUM ,3,Kg,1,Kg,DAIRY
I-14177,6,CHEESE CHED SHRED,4,bag,2.5,Kg,DAIRY
I-11903,6,CHEESE CHED SHRED AGED WHT,1,CT,2.5,Kg,DAIRY
I-2081,6,CHEESE CREAM PLAIN,9,Kg,1,Kg,DAIRY
I-2119,6,CHEESE CREAM SPREADABLE TFC,3,Kg,1,Kg,DAIRY
I-2126,6,CHEESE GOAT CRUMBLED BC WOC,2,Kg,1,Kg,DAIRY
I-17616,6,CHEESE MONT JACK JAL SLCD 14G,12,pak,17,slice,DAIRY
I-2140,6,CHEESE PARM GRATED VALUE ,2,bag,2.5,Kg,DAIRY
I-14014,9,EGGNOG CLASSIC 2L,2,L,1,L,DAIRY
I-2207,9,MILK 2% 1L -CTN,1,L,1,L,DAIRY
I-2236,9,MILK 2% 2L -CTN,1,2L,2,L,DAIRY
I-8058,9,MILK BUTTERMILK 946ML 3.25%,1,ea,0.946,L,DAIRY
I-2853,12,ANCHOVIES FILLET,1.7,Kg,1,Kg,FOOD - GROCERY
I-3690,12,TUNA FLAKED LT WATER TFC,6,LG CAN,1.88,Kg,FOOD - GROCERY
I-56844,12,COD POTATO CRUSTED PTNS OW,10,lb,1,lb,SEAFOOD
I-49962,12,HALIBUT BONE OW,10,lb,1,lb,SEAFOOD
I-51555,12,ROCKFISH FLT S/OF B/O OW,10,lb,1,lb,SEAFOOD
I-17584,12,SAL SOX SMK SLC OW CALYPSO,1,lb,1,lb,SEAFOOD
I-29174,14,CLAM BABY MANILA OW,1,lb,1,lb,SEAFOOD
I-17580,13,PRAWN WHT PD T/ON 31/40 OW,1,lb,1,lb,SEAFOOD
I-57743,17,BEANS GREEN GARBANZO FZ,2,pak,5,lb,FOOD - GROCERY
I-3144,17,BEANS KIDNEY RED,6,each,2.84,L,FOOD - GROCERY
I-7935,17,BEANS NAVY WHT,10,Kg,1,Kg,FOOD - GROCERY
I-2893,17,LENTILS DRY DUPUY FRENCH ,11.34,Kg,1,Kg,FOOD - GROCERY
I-3340,17,LENTILS GREEN BAG,5,Kg,1,Kg,FOOD - GROCERY
I-11556,17,BEANS EDAMAME KERNELS,10,Kg,1,Kg,PRODUCE
I-4516,17,BEANS GREEN(25 LBS),1,lb,1,lb,PRODUCE
I-36383,21,CEREAL HONEY'D CORN FLAKES ,6,bag,750,g,FOOD - GROCERY
I-35682,21,SORGHUM WHITE,5,Kg,1000,g,FOOD - GROCERY
I-3231,22,CORNMEAL YEL,10,Kg,1,Kg,FOOD - GROCERY
I-4308,23,OATS QUICK ROLLED 11.34 KG,11.34,Kg,1,Kg,FOOD - GROCERY
I-3006,23,OATS ROLLED LARGE FLAKES,5,lb,453,g,FOOD - GROCERY
I-43864,23,OATS STEELCUT,10,Kg,1,Kg,FOOD - GROCERY
I-3222,24,CHOC CHIPPER SUPREME 4000CT,12,Kg,1,Kg,BAKED GOODS
I-1141,24,TORTILLA CORN TRICOLOUR 6IN,12,bag,60,CT,BAKED GOODS
I-1127,24,PIE SHELL U/SWT DEEP DISH 5IN ,120,CT,1,CT,BAKING-RAW INGREDIENTS
I-1207,24,BAGUETTE FRENCH ,24,each,1,CT,BREAD
I-18089,24,BAGUETTE WHITE,28,ea,1,ea,BREAD
I-1257,24,BUN PORTUGUESE ,12,CT,1,CT,BREAD
I-1232,24,LOAF LIGHT RYE LG,1,LOAF,30,slice,BREAD
