ItemId,CategoryID,Description,CaseQty,CaseUOM,PakQty,PakUOM,InventoryGroup
I-10775,1,HOT DOG BEEF 8IN 4/LB FZN,10,lb,4,CT,MEAT
I-17671,1,BEEF RIB-EYE SHAVED 1.5MM FZ,1,Kg,1,Kg,MEAT
I-20879,1,SOUVLAKI BEEF 75G SKEWERS,1,CT,1,CT,MEAT
I-3842,1,BEEF INSIDE ROUND AAA ,1,Kg,1,Kg,MEAT
I-3846,1,BEEF LEAN GRD COMMERCIAL,5,Kg,1,Kg,MEAT
I-3867,1,BEEF STIRFRY MEAT FZ 1ST,5,Kg,1,Kg,MEAT
I-9454,1,BEEF BACK RIB UT COV FZ,1,Kg,1,Kg,MEAT
I-26667,1,BURGER PRIME RIB  6OZ ,30,ea,1,ea,MEAT
I-28697,1,BURGER QUINOA YAM,60,ea,1,ea,MEAT
I-47440,1,JAMAICAN PATTY MILD,36,ea,1,ea,MEAT
I-47441,1,JAMAICAN PATTY SPICY,36,ea,1,ea,MEAT
I-13425,2,LAMB LEG BNLS COMMODITY AUST,1,Kg,1,Kg,MEAT
I-3843,2,LAMB GRDFR,1,Kg,1,Kg,MEAT
I-43653,2,"LAMB STEW 3/4""",25,Kg,1,Kg,MEAT
I-3901,3,MEATBALL BKD W/CHS 320CT FZ,2,pak,5,lb,MEAT
I-13800,3,HAM B&R,1,Kg,1,Kg,DELI & PREPARED MEAT
I-2314,3,SALAMI CERVELAT ,1,Kg,1,Kg,DELI & PREPARED MEAT
I-17673,3,"PEPPERONI SLICED 3""",4,Kg,1,Kg,MEAT
I-17675,3,HAM PROSCIUTTO DELI READY GOLD,1,Kg,1,Kg,MEAT
I-3857,3,PORK RIBS BNLS DRY BRD,4.54,Kg,1,Kg,MEAT
I-3906,3,PORK RIB PATTY CKD BNLS FZN,43,CT,1,CT,MEAT
I-52587,3,PORK SKIN BELLY FZ,25,Kg,1,Kg,MEAT
I-6432,3,SAUSAGE CHORIZO FRZN,5.5,Kg,1,Kg,MEAT
I-2546,3,CALZONE PEPPERONI,12,ea,1,CT,FOOD - GROCERY
I-34314,4,TURKEY BREAST BNL ROAST NETTED,1,Kg,1,Kg,POULTRY
I-3966,4,CHICK MEAT BALL 150-156CT,4,Kg,1,Kg,POULTRY
I-3990,4,TURKEY BREAST BL SL,1,Kg,1,Kg,POULTRY
I-3993,4,CHICK BREAST B/LS/L HALAL,1,Kg,1,Kg,POULTRY
I-4020,4,CHICK GROUND -COMBO ,1,Kg,1,Kg,POULTRY
I-28771,4,PREP|Sliced|Roast Turkey 1kg,1,Kg,1,Kg,PRODUCTION FOOD
I-20347,5,BUTTER PORT WHIPPED,1,cs,715,PTN,DAIRY
I-11433,6,CHEESE CREAM SPREADABLE,3,Kg,1,Kg,DAIRY
I-1473,6,CREAM CHEESE BEATRICE,20,Kg,1,Kg,DAIRY
I-17152,6,CHEESE BOCCONICINI LARGE 100G,2,Kg,1,Kg,DAIRY
I-17479,6,CHEESE BRIE DBL CRM RECT,1.2,Kg,1,Kg,DAIRY
I-2106,6,CHEESE BRIE TRIPLE CREAM WOC,1,Kg,1,Kg,DAIRY
I-2107,6,CHEESE CAMEMBERT DANISH,12,TUB,125,g,DAIRY
I-2115,6,CHEESE CREAM H & G PORT,200,PTN,1,PTN,DAIRY
I-2116,6,CHEESE CREAM LT PORT TFC,200,PTN,1,PTN,DAIRY
I-2117,6,CHEESE CREAM PLAIN TFC,6,BLOCK,1.5,Kg,DAIRY
I-2120,6,CHEESE CURD POUTINE PTN,100,PTN,1,PTN,DAIRY
I-2128,6,CHEESE GORGONZOLA,1,Kg,1,Kg,DAIRY
I-2138,6,CHEESE MOZZA P/S SHRED 17%,2,bag,2.5,Kg,DAIRY
I-2189,6,CHEESE RICOTTA 12X500G,12,CT,500,g,DAIRY
I-2245,6,CHEESE COTTAGE 2% 3.5KG ,3.5,Kg,1,Kg,DAIRY
I-22486,6,CHEESE MONT JACK SHRED WHT,5,Kg,1000,g,DAIRY
I-54749,6,CHEESE CHED MONT JACK SHRD BLD,2,bag,2.5,Kg,DAIRY
I-6018,6,CHEESE CHED SMOKEHOUSE,1,Kg,1,Kg,DAIRY
I-16171,7,KLONDIKE CONE STR/VAN KING,12,BAR,1,BAR,ICECREAM/NOVELTY/GELATO
I-40471,7,CALIPOPS LEMON,24,ea,1,ea,ICECREAM/NOVELTY/GELATO
I-40472,7,CALIPOPS MANGO,24,ea,1,ea,ICECREAM/NOVELTY/GELATO
I-40473,7,CALIPOPS RASPBERRY,24,ea,1,ea,ICECREAM/NOVELTY/GELATO
I-40474,7,CALIPOPS STRAWBERRY,24,ea,1,ea,ICECREAM/NOVELTY/GELATO
I-42194,7,GELATO SANDWICH VANILLA,24,ea,1,each,ICECREAM/NOVELTY/GELATO
I-42195,7,GELATI SANDWICH MINT,24,ea,1,ea,ICECREAM/NOVELTY/GELATO
I-42196,7,GELATI SANDWICH MOCHA,24,ea,1,ea,ICECREAM/NOVELTY/GELATO
I-42197,7,GELATO BLISS BAR GREEN TEA,24,each,1,ea,ICECREAM/NOVELTY/GELATO
I-42199,7,GELATO BLISS BAR HEDGE HOG,24,each,1,ea,ICECREAM/NOVELTY/GELATO
