ItemId,CategoryID,Description,CaseQty,CaseUOM,PakQty,PakUOM,InventoryGroup
I-3838,1,"BEEF BRISKET BNLS 3/4"" AAA",1,Kg,1,Kg,MEAT
I-49128,1,HOT DOG BEEF G/FREE 6 INC,10,lb,6,CT,MEAT
I-17055,1,"BEEF RIB BRAISING 3 BONE 1/4""",1,Kg,1000,g,MEAT
I-2319,3,SMOKIES 5.5 CT BAVARIAN,1,Kg,1,Kg,MEAT
I-42350,3,PORK BACK RIB 1/2 RACK FZ,1,Kg,1,Kg,MEAT
I-3853,3,PORK CHOP 170G C/C,28,CT,1,CT,MEAT
I-8140,3,SAUSAGE CHORIZO WINE,1,Kg,10,ea,MEAT
I-57497,3,SAUSAGE FRANKFURTER FLD ROAST ,12,pak,4,each,MEAT
I-22916,3,PORK BELLY SKON COV,1,Kg,1,Kg,MEAT
I-57496,3,SAUSAGE SMKD APPLE FLD ROAST,12,pak,4,each,MEAT
I-3854,3,PORK CUTLET 115G BRD ,40,CT,1,CT,MEAT
I-3992,4,CHICK BACKS & NECKS -FRESH,1,Kg,1,Kg,POULTRY
I-3977,4,CHICK LEG BONE-IN ,1,Kg,1,Kg,POULTRY
I-4027,4,CHICK THIGH B/LS/L HALAL ,1,Kg,1,Kg,POULTRY
I-3979,4,CHICK LEG BONE-IN WHOLE HAL,1,Kg,1,Kg,POULTRY
I-2074,5,BUTTER UNSALTED (25/1LB) ,25,lb,1,lb,DAIRY
I-2110,6,CHEESE CHED MED SHRED COL,2,bag,2.5,Kg,DAIRY
I-2205,8,CREAMO 10% 1L-CTN,1,L,1,L,DAIRY
I-11101,12,SAL SOX SMK TRIM OW,1,lb,1,lb,SEAFOOD
I-51356,17,BEANS MUNG GREEN,50,bag,400,g,FOOD - GROCERY
I-60843,20,TEMPEH ORIGINAL,12,each,227,g,MISC.
I-61420,20,TOFU FIRM MEDIUM,12,pak,454,g,FOOD - GROCERY
I-4345,22,CORN 48 CT BI COLOUR,48,CT,1,CT,PRODUCE
I-2648,59,PASTA RAVIOLI MUSHROOM GFS,8.818,lb,1,lb,FOOD - GROCERY
I-10605,24,"HOT DOG BUN 7""",1,CT,1,CT,BREAD
I-19735,24,PASTRY PUFF 10X15 IN,25,CT,1,CT,BAKING-RAW INGREDIENTS
I-1126,24,PIE SHELL U/SWT 4IN TFC,144,CT,1,CT,BAKING-RAW INGREDIENTS
I-3099,25,RICE STICK-MED,1,pak,454,g,FOOD - GROCERY
I-11189,25,FLOUR RICE WHITE,5,Kg,1,Kg,FOOD - GROCERY
I-28920,59,STICKY RICE WRAP,16,bag,3,each,FOOD - GROCERY
I-11195,26,NUTS PINE,1,Kg,1,Kg,FOOD - GROCERY
I-4771,31,PAPAYA COOKING MX,1,lb,1,lb,PRODUCE
I-25492,31,PEARS ANJOU ,5,lb,4,ea,PRODUCE
I-3680,37,TOMATO PEAR WHL PEEL W/BASIL ,6,LG CAN,2.84,L,FOOD - GROCERY
I-35333,37,TOMATOES HEIRLOOM CHERRY,4.5,Kg,1,Kg,PRODUCE
I-4523,38,"BEETS DICED 3/4 BC""",5,lb,1,lb,PRODUCE
I-4489,38,TURNIP BABY WHITE(24CT) BC,1,BUNCH,1,BUNCH,PRODUCE
I-61712,38,TUMERIC ROOT,5,lb,1,lb,PRODUCE
I-5010,39,ONIONS PEARL GRADE A IQF,6,bag,2,Kg,PRODUCE
I-4642,40,EGGPLANT JAPANESEMX,30,lb,1,lb,PRODUCE
I-4792,40,PEPPERS RED CHOICE US,25,lb,1,lb,PRODUCE
I-4900,40,SQUASH ACORN MX,35,lb,1,lb,PRODUCE
I-20342,40,SQUASH ACORN UBC,1,lb,1,lb,PRODUCE
I-13049,40,SQUASH WINTER BLUE HUBBARD UBC,1,lb,1,lb,PRODUCE
I-4727,40,MUSHROOM #1 BC,5,lb,1,lb,PRODUCE
I-4729,40,MUSHROOMS CREMINI BC,10,lb,1,lb,PRODUCE
I-4898,40,SQUASH BUTTERNUT MX,36,lb,1,lb,PRODUCE
I-4967,40,ZUCCHINI MED FCY MX,25,lb,1,lb,PRODUCE
I-25504,40,SQUASH CHAYOTE,18,Kg,1,Kg,PRODUCE
I-4791,40,PEPPERS RED BC,3,lb,1,lb,PRODUCE
I-4410,40,PEPPERS RED BELL,20,lb,1,lb,PRODUCE
I-4903,40,SQUASH SPAGHETTI 36 LBS US,35,lb,1,lb,PRODUCE
I-3390,49,OIL OLIVE 100% PURE TFC,4,can,3,L,FOOD - GROCERY
I-3617,54,ALLSPICE GROUND SHAKER ,8,each,454,g,SPICES
I-3633,54,GINGER GROUND SHAKER TFC,1,each,454,g,SPICES
I-11172,54,PEPPER BLK WHOLE,2,Kg,1,Kg,SPICES
I-2852,54,ANCHO POWDER ,1,pak,227,g,FOOD - GROCERY
I-46554,55,MILK COCONUT ORIGINAL,12,each,946,ml,BEVERAGE
I-3738,55,WATER COCONUT BLUE MONKEY,24,330ML,1,330ML,BEVERAGE
I-3584,56,SEASONING SALT NO MSG,1,TUB,2.27,Kg,SPICES
I-15329,40,PUREE LEMON GRASS,15,Kg,1,Kg,BAKING-RAW INGREDIENTS
