ItemId,CategoryID,Description,CaseQty,CaseUOM,PakQty,PakUOM,InventoryGroup
I-63697,24,BAGEL MULTIGRAIN 4OZ,12.000,bag,6.000,ea,BREAD
I-65946,24,BRIOCHE HOT DOG BUN,72.000,each,1.000,each,BREAD
I-23949,6,CHEESE BOCCONCINI SMALL 25G,2.000,Kg,1.000,Kg,DAIRY
I-68966,6,CHEESE SLCD VEGAN VIOLIFE,5.000,bag,12.000,slice,DAIRY
I-65852,24,"CIABATTA WH/GRAIN 6""",48.000,each,1.000,each,BREAD
I-2155,11,EGG HARD COOKED AND PLD KOSHER,10.000,Kg,1.000,Kg,DAIRY
I-4665,35,GRAPEFRUIT SECTIONS,32.000,lb,1.000,lb,PRODUCE
I-63091,55,JUICE ORANGE 100% 960ml OASIS,12.000,ea,1.000,ea,BEVERAGE
I-3351,58,MAYONNAISE PAIL TFC 16L,16.000,L,1.000,L,FOOD - GROCERY
I-49633,30,MILK SOY BARISTA BLEND,12.000,ea,0.946,L,DAIRY
I-11432,31,RELISH SWEET,1.000,CT,8.000,L,FOOD - GROCERY
