IngredientId,Qty,Uom,Recipe
I-13577,0.5,cs,R-17374
I-13719,2.0,ea,R-17374
I-14423,400.0,g,R-17374
I-15592,500.0,ml,R-17374
I-1689,15.0,g,R-17354
I-1941,15.0,ml,R-17354
I-2119,60.0,ml,R-17354
I-2209,3.0,g,R-17354
I-2992,1.0,slice,R-17354
I-3804,2.0,g,R-17354
I-5944,200.0,g,R-17354
I-13719,1.0,ea,R-17354
I-1689,30.0,g,P-14560
I-2119,10.0,ml,P-14560
I-2992,2.0,slice,P-14560
I-5505,0.25,HEAD,P-14560
I-5777,10.0,g,P-14560
I-8667,2.0,fl oz,P-14560
I-11706,1.0,ea,P-14560
I-13308,1.0,ea,P-14560
I-13691,1.5,fl oz,P-14560
I-17037,4.0,oz,P-14560
I-1596,60.0,ml,R-16099
I-1637,2.0,oz,R-16099
I-1752,0.05,BUNCH,R-16099
I-1892,2.0,oz,R-16099
I-1971,0.25,ea,R-16099
I-6243,4.0,fl oz,R-16099
I-7647,3.0,ea,R-16099
I-11125,3.0,Tbsp,R-16099
I-13719,2.0,ea,R-16099
I-14419,50.0,g,R-16099
I-14905,1.0,PORT,R-16099
I-1635,30.0,ml,R-14990
I-1859,5.0,g,R-14990
I-2111,50.0,ml,R-14990
I-2117,50.0,g,R-14990
I-13719,2.0,ea,R-14990
I-15024,100.0,g,R-14990
I-15515,200.0,g,R-14990
I-2209,8.0,g,R-16778
I-2323,1.0,tsp,R-16778
I-2367,225.0,g,R-16778
I-2378,25.0,ml,R-16778
I-2446,800.0,g,R-16778
I-2640,40.0,g,R-16778
I-1783,1.0,L,R-12209
I-7656,100.0,g,R-12209
I-1892,2.0,oz,R-14827
I-1971,0.5,ea,R-14827
I-2066,50.0,g,R-14827
I-2339,10.0,g,R-14827
I-6243,3.0,fl oz,R-14827
I-7647,3.0,ea,R-14827
I-11125,6.0,Tbsp,R-14827
I-14418,300.0,g,R-14827
I-14737,40.0,g,R-14827
I-14826,3.0,fl oz,R-14827
I-1689,30.0,g,R-8990
