ProdId,Description,SalesGroup,GHG Emission (g),Weight (g),GHG Emission (Kg),GHG Emission (Kg) / 100g,GHG Emission (g) / 100g,Sales,GHG Emission (g) / 100g * sales
R-53080,SL|Lamb Roast|ala carte,GV SIMPLY LOCAL,9119.828773,120,9.1198,7.599857,7599.857311,61,463591.296
R-44681,SAND|Add Roast Beef,GV-SANDWICH,3184.784299,50,3.1848,6.369569,6369.568598,271,1726153.09
R-53405,SL|Beef Back Rib,GV SIMPLY LOCAL,12396.52008,284,12.3965,4.364972,4364.971858,12,52379.6623
R-49123,SL|Beef Brisket|115g,GV SIMPLY LOCAL,6399.166309,165,6.3992,3.878283,3878.282612,1,3878.282612
R-54321,DIM SUM|Beef Stir Stirfry|SP,GV - DIM SUM,9580.520376,384,9.5805,2.494927,2494.927181,123,306876.0433
R-53404,SL|Beef Back Rib Plate,GV SIMPLY LOCAL,12678.98491,554,12.679,2.288625,2288.625434,65,148760.6532
R-51176,SL|Lamb Roast Plate|Sample,GV SIMPLY LOCAL,9638.020234,450,9.638,2.141782,2141.782274,275,588990.1254
R-51179,G&G|Roast beef|Tv Dinner,GV - GRAB & GO,6611.6688,310,6.6117,2.132796,2132.796387,925,1972836.658
R-49124,SL|Beef Brisket Plate,GV SIMPLY LOCAL,6572.171249,330,6.5722,1.991567,1991.567045,16,31865.07272
R-44766,FLX|Pho Beef Noodle,GV - FLEX ASIAN NOODLE,7895.281469,416,7.8953,1.897904,1897.904199,2204,4182980.855
R-55005,GRL|Kalderta beef plate|SP,SPECIALS,7672.879175,405,7.6729,1.894538,1894.538068,209,395958.4562
R-50361,GZA|Bowl|Spicy Beef,GV GYAZA,7351.95954,405,7.352,1.815299,1815.298652,2241,4068084.279
R-40778,GZA|sushi cone|beef,GV GYAZA,1769.906711,111,1.7699,1.594511,1594.510551,1,1594.510551
R-43885,SAND|Roast Beef Full Build,GV-SANDWICH,4708.588082,330,4.7086,1.426845,1426.844873,2949,4207765.53
R-54263,FLX|Beef and broccoli|SP,SPECIALS,3627.422916,255,3.6274,1.422519,1422.51879,57,81083.57103
R-51251,FLX|BBP|Add On|Pork Belly,GV FLEX BAO,1271.018634,90,1.271,1.412243,1412.242927,17,24008.12976
R-37708,SL|Herb'd Pork Loin||125g,GV SIMPLY LOCAL,2288.851798,175,2.2889,1.307915,1307.915313,200,261583.0626
R-47094,FLX|Stew beef one pot,GV - FLEX BC,3176.592318,245,3.1766,1.296568,1296.568293,1327,1720546.125
R-48878,SL|Beef flat roast| +4,GV SIMPLY LOCAL,7953.053411,655,7.9531,1.214207,1214.206628,141,171203.1345
R-22218,G&G|Spread|Nutella|Ptn,GV - GRAB & GO,156.8399922,14.99999925,0.1568,1.0456,1045.6,1453,1519256.8
R-44680,SAND|Add Ham,GV-SANDWICH,761.1483871,75,0.7611,1.014865,1014.864516,264,267924.2322
R-53406,GRL|Add|Ham|1oz,ADD ONS,284.1620645,28,0.2842,1.014865,1014.864516,39,39579.71612
R-56711,CAL|Taco|Oceanwise|Prawn(1),GV - CALIENTE,551.3618349,55,0.5514,1.002476,1002.476064,2209,2214469.625
R-52676,FLX|Porchetta,GV - FLEX BC,1820.499688,200,1.8205,0.91025,910.249844,74,67358.48846
R-44764,GRL|Add|Cheese|Ratio,ADD ONS,124.7456025,14.00000028,0.1247,0.89104,891.04,2823,2515405.92
R-42254,FLX|Pasta|Meat Sce & Spaghetti,SPECIALS,2514.631479,312.441,2.5146,0.804834,804.834026,229,184306.992
R-54846,GRL|Benny |Pulled Pork|SP,GV - GRILL BREAKFAST,1657.564386,221,1.6576,0.750029,750.029134,35,26251.01969
R-53358,POP|Add Cod bouille|MR,SPECIALS,761.8367615,103,0.7618,0.739647,739.647341,5,3698.236705
R-62238,SL|Salmon Cajun|100g,GV SIMPLY LOCAL,776.39102,105,0.7764,0.73942,739.420019,79,58414.1815
R-47110,SL|Chicken Thigh (2),GV SIMPLY LOCAL,1284.501972,174,1.2845,0.73822,738.219524,803,592790.2778
R-44024,GRL|Wrap|Gather & Run|,GV - GRILL BREAKFAST,1388.00654,191.5,1.388,0.724808,724.807593,1622,1175637.916
R-49710,DOD|SideSousVide Sockeye|SIDE,GV-FLEX DOD,724.2868892,100,0.7243,0.724287,724.286889,53,38387.20512
R-52503,DIM SUM|Dry Pork Stirfry|SP,GV - DIM SUM,2521.757328,384,2.5218,0.656708,656.707637,187,122804.3281
R-54003,GRL|Benny|Chorizo,GV - GRILL BREAKFAST,1359.888479,221,1.3599,0.615334,615.334154,78,47996.06401
R-52826,FLX|Salmon Chowder 240ml,GV - FLEX BC,2071.680578,349,2.0717,0.593605,593.60475,67,39771.51825
R-44583,CAL|Taco|Mojo pork(1),GV - CALIENTE,866.8126096,147,0.8668,0.589668,589.668442,2209,1302577.588
R-46329,GRL|ADD|Chicken Thigh (2),GV GRILL DAY,1044.939332,180,1.0449,0.580522,580.521851,1579,916644.0027
R-44903,SL|Herbed chicken breast|150g,GV SIMPLY LOCAL,809.1465179,153,0.8091,0.528854,528.853933,200,105770.7866
