PrepId,Description,PakQty,PakUOM,InventoryGroup,StdQty,StdUom,GHG Emission (g),GHG Emission(g)/StdUom,N lost (g),N lost (g)/StdUom,Freshwater Withdrawals (ml),Freshwater Withdrawals (ml)/StdUom,Stress-Weighted Water Use (ml),Stress-Weighted Water Use (ml)/StdUom,Land Use (m^2),Land Use (m^2)/StdUom
P-14356,[PREP KAPPA MAKI,6.0,PORT,N,1511.82,g,180.45928107902287,0.11936558656389179,1.1105625412636893,0.0007345864859994505,2450.3702036562463,1.6208081674116273,35227.48822867563,23.30137729933169,0.3822172308487454,0.0002528192713740693
P-14560,2022 Caesar Wrap prep,1.0,ea,N,433.59,g,729.6031111447045,1.6827028094391119,8.914526267111095,0.020559805962109587,123204.23854236295,284.14916982025176,4939941.166104365,11393.115999225916,1.6662743966687266,0.0038429723855917496
P-9003,2022 Gallery Burger prep,1.0,ea,N,501.82,g,7619.866962577848,15.184462481722228,63.09504203802111,0.12573241807425195,394804.6590882092,786.7455643222853,14558560.618196795,29011.519306119317,22.640810954982005,0.04511739459364315
P-17358,2022 Poutine Prep,1.0,PORT,N,705.8,g,1054.9956999924564,1.4947516293460703,9.747699999881501,0.013810852932674273,126227.8999987805,178.84372343267287,6481781.499955907,9183.595211045491,1.86586999998215,0.002643624256137929
P-15006,2022 Power Punch Salad prep,1.0,PORT,N,416.73,g,402.0361999337744,0.9647402393246812,1.6956999995464002,0.004069061501563122,113552.3999937168,272.48434236488083,7939496.499773956,19051.895711309375,1.141819999929434,0.0027399515271985075
P-16795,2022 Pulled Pork Sandwich prep,1.0,PORT,N,525.09,g,2506.7065187769367,4.773860707263396,34.116557291553335,0.06497278045964183,468717.90138478565,892.6429781271509,14130321.933656618,26910.28572941137,5.424960006845969,0.010331486044003824
P-14552,2022 Vegan Pulled Pork Prep,1.0,ea,N,479.38,g,204.54687220217426,0.42669045893064844,2.0959744015957447,0.004372260840243116,30893.90748509538,64.44554942862736,1057141.3796600953,2205.226291585163,0.43287337978722906,0.0009029858980083213
P-18327,2023 Appi Platter prep,1.0,PORT,N,1354.57,g,2734.3157453550616,2.018585783942551,25.7200207696544,0.01898759072595318,389008.5077429244,287.1822849634381,15978957.95240292,11796.332380314727,7.4416663431109376,0.005493748084713922
P-18453,2023 GM Tempeh curry prep ,1.0,PORT,N,690.0,g,468.1283208272665,0.6784468417786471,2.2381699037484015,0.003243724498186089,12546.299050440815,18.183042102088137,611184.9848912866,885.7753404221545,1.1896081961386398,0.0017240698494762896
P-18451,2023 Gm truffle Fries prep,1.0,PORT,N,2756.0,g,1948.5514978693423,0.7070215884866989,18.52007299991112,0.006719910377326241,102952.88949908536,37.35591055844897,5311726.843891931,1927.3319462597717,4.311806174986605,0.001564516028659871
