invoice_counter,invoice_num,invoice_total,item_num,qty,line_amount,adj_line_amount,uom,unit_cost,item_descrip,invoice_date,supplier_name,store_num,type_bill_credit,cost_over_ride,line_amount_qty,case_uom,supplier_num,prod_group_num,prod_group_descrip,order_code,compute_0022,pak_qty,case_qty,purchase_uom,cat_num,cat_descrip,has_credit,credit_pak_amount,Food Category,Category ID
254544,9001986315,1254.62,3660,1.0,21.97,21.97,cs,21.97,sugar granulated fine,2023-05-31,GORDON FOOD SERVICE (GFS),83,B,N,10.0,Kg,26,16,FOOD - GROCERY,2700005,N,1.0,20.0,cs,2,Food,N,0,sugars and sweeteners,43.0
254672,9002017841,2267.04,3660,1.0,22.58,22.58,cs,22.58,sugar granulated fine,2023-06-02,GORDON FOOD SERVICE (GFS),17,B,Y,10.0,Kg,26,16,FOOD - GROCERY,2700005,N,1.0,20.0,cs,2,Food,N,0,sugars and sweeteners,43.0
254709,9002017852,1245.33,3660,1.0,24.07,24.07,cs,24.07,sugar granulated fine,2023-06-02,GORDON FOOD SERVICE (GFS),16,B,Y,10.0,Kg,26,16,FOOD - GROCERY,2700005,N,1.0,20.0,cs,2,Food,N,0,sugars and sweeteners,43.0
255110,9002155420,3010.51,3660,1.0,22.58,22.58,cs,22.58,sugar granulated fine,2023-06-14,GORDON FOOD SERVICE (GFS),17,B,N,10.0,Kg,26,16,FOOD - GROCERY,2700005,N,1.0,20.0,cs,2,Food,N,0,sugars and sweeteners,43.0
255355,9002212473,887.81,3660,1.0,22.58,22.58,cs,22.58,sugar granulated fine,2023-06-19,GORDON FOOD SERVICE (GFS),89,B,Y,10.0,Kg,26,16,FOOD - GROCERY,2700005,N,1.0,20.0,cs,2,Food,N,0,sugars and sweeteners,43.0
255319,9002212536,2939.92,3660,1.0,22.58,22.58,cs,22.58,sugar granulated fine,2023-06-19,GORDON FOOD SERVICE (GFS),17,B,N,10.0,Kg,26,16,FOOD - GROCERY,2700005,N,1.0,20.0,cs,2,Food,N,0,sugars and sweeteners,43.0
254078,9001683137,12563.71,35336,2.0,114.06,114.06,cs,57.03,sugar palm,2023-05-05,GORDON FOOD SERVICE (GFS),89,B,Y,48.0,lb,26,16,FOOD - GROCERY,1007809,N,1.0,24.0,cs,2,Food,N,0,sugars and sweeteners,43.0
254224,9001905302,2736.51,3663,1.0,23.28,23.28,cs,23.28,sugar plantation raw ptn,2023-05-24,GORDON FOOD SERVICE (GFS),17,B,Y,1000.0,CT,26,16,FOOD - GROCERY,2333405,N,1.0,1000.0,cs,2,Food,N,0,sugars and sweeteners,43.0
254886,9002084454,1077.21,3663,2.0,49.06,49.06,cs,24.53,sugar plantation raw ptn,2023-06-08,GORDON FOOD SERVICE (GFS),89,B,Y,2000.0,CT,26,16,FOOD - GROCERY,2333405,N,1.0,1000.0,cs,2,Food,N,0,sugars and sweeteners,43.0
253214,9001638244,408.53,3592,1.0,26.39,26.39,cs,26.39,sunflower raw tfc,2023-05-02,GORDON FOOD SERVICE (GFS),83,B,N,3.0,Kg,26,16,FOOD - GROCERY,6362405,N,1.0,3.0,CA,2,Food,N,0,other vegetables,40.0
254219,9001855596,26.39,3592,1.0,26.39,26.39,CA,26.39,sunflower raw tfc,2023-05-19,GORDON FOOD SERVICE (GFS),17,B,N,3.0,Kg,26,16,FOOD - GROCERY,6362405,N,1.0,3.0,CA,2,Food,N,0,other vegetables,40.0
254544,9001986315,1254.62,3592,2.0,52.78,52.78,cs,26.39,sunflower raw tfc,2023-05-31,GORDON FOOD SERVICE (GFS),83,B,N,6.0,Kg,26,16,FOOD - GROCERY,6362405,N,1.0,3.0,CA,2,Food,N,0,other vegetables,40.0
253874,9001809003,1108.08,3669,1.0,68.44,68.44,cs,68.44,syrup corn golden,2023-05-16,GORDON FOOD SERVICE (GFS),83,B,Y,12.0,L,26,16,FOOD - GROCERY,1164593,N,1.0,12.0,cs,2,Food,N,0,corn (maize),22.0
254078,9001683137,12563.71,3670,2.0,459.38,459.38,cs,229.69,syrup maple cdn orig,2023-05-05,GORDON FOOD SERVICE (GFS),89,B,N,24.0,JUG,26,16,FOOD - GROCERY,1104543,N,2.0,6.0,cs,2,Food,N,0,sugars and sweeteners,43.0
253517,9001737407,335.29,3670,1.0,229.69,229.69,cs,229.69,syrup maple cdn orig,2023-05-10,GORDON FOOD SERVICE (GFS),83,B,Y,12.0,JUG,26,16,FOOD - GROCERY,1104543,N,2.0,6.0,cs,2,Food,N,0,sugars and sweeteners,43.0
254703,9002069996,576.14,3670,1.0,229.69,229.69,cs,229.69,syrup maple cdn orig,2023-06-07,GORDON FOOD SERVICE (GFS),83,B,N,12.0,JUG,26,16,FOOD - GROCERY,1104543,N,2.0,6.0,cs,2,Food,N,0,sugars and sweeteners,43.0
254078,9001683137,12563.71,3671,4.0,242.04,242.04,cs,60.51,syrup table pancake maple tfc,2023-05-05,GORDON FOOD SERVICE (GFS),89,B,Y,64.0,4L,26,16,FOOD - GROCERY,9779605,N,4.0,4.0,cs,2,Food,N,0,sugars and sweeteners,43.0
254882,9002001316,603.92,3671,2.0,121.02,121.02,cs,60.51,syrup table pancake maple tfc,2023-06-01,GORDON FOOD SERVICE (GFS),89,B,N,32.0,4L,26,16,FOOD - GROCERY,9779605,N,4.0,4.0,cs,2,Food,N,0,sugars and sweeteners,43.0
254078,9001683137,12563.71,3110,10.0,257.4,257.4,cs,25.74,tofu extra*firm ,2023-05-05,GORDON FOOD SERVICE (GFS),89,B,Y,42000.0,pak,26,16,FOOD - GROCERY,1156129,N,350.0,12.0,cs,2,Food,N,0,soybeans/tofu,20.0
254883,9002017833,6536.47,3110,4.0,102.96,102.96,cs,25.74,tofu extra*firm ,2023-06-02,GORDON FOOD SERVICE (GFS),89,B,N,16800.0,pak,26,16,FOOD - GROCERY,1156129,N,350.0,12.0,cs,2,Food,N,0,soybeans/tofu,20.0
254885,9002069968,1301.26,3110,2.0,51.48,51.48,cs,25.74,tofu extra*firm ,2023-06-07,GORDON FOOD SERVICE (GFS),89,B,N,8400.0,pak,26,16,FOOD - GROCERY,1156129,N,350.0,12.0,cs,2,Food,N,0,soybeans/tofu,20.0
254078,9001683137,12563.71,19737,1.0,35.33,35.33,cs,35.33,tomato crushed,2023-05-05,GORDON FOOD SERVICE (GFS),89,B,N,17.04,can,26,16,FOOD - GROCERY,1145320,N,2.84,6.0,cs,2,Food,N,0,tomatoes,37.0
254310,9001753745,2491.07,19737,1.0,35.33,35.33,cs,35.33,tomato crushed,2023-05-11,GORDON FOOD SERVICE (GFS),89,B,N,17.04,can,26,16,FOOD - GROCERY,1145320,N,2.84,6.0,cs,2,Food,N,0,tomatoes,37.0
254317,9001855538,633.05,19737,1.0,35.33,35.33,cs,35.33,tomato crushed,2023-05-19,GORDON FOOD SERVICE (GFS),89,B,N,17.04,can,26,16,FOOD - GROCERY,1145320,N,2.84,6.0,cs,2,Food,N,0,tomatoes,37.0
254321,9001936562,2922.27,19737,2.0,70.66,70.66,cs,35.33,tomato crushed,2023-05-26,GORDON FOOD SERVICE (GFS),89,B,N,34.08,can,26,16,FOOD - GROCERY,1145320,N,2.84,6.0,cs,2,Food,N,0,tomatoes,37.0
254883,9002017833,6536.47,19737,2.0,70.66,70.66,cs,35.33,tomato crushed,2023-06-02,GORDON FOOD SERVICE (GFS),89,B,N,34.08,can,26,16,FOOD - GROCERY,1145320,N,2.84,6.0,cs,2,Food,N,0,tomatoes,37.0
254885,9002069968,1301.26,19737,1.0,35.33,35.33,cs,35.33,tomato crushed,2023-06-07,GORDON FOOD SERVICE (GFS),89,B,N,17.04,can,26,16,FOOD - GROCERY,1145320,N,2.84,6.0,cs,2,Food,N,0,tomatoes,37.0
255353,9002170081,1230.14,19737,1.0,35.33,35.33,cs,35.33,tomato crushed,2023-06-15,GORDON FOOD SERVICE (GFS),89,B,N,17.04,can,26,16,FOOD - GROCERY,1145320,N,2.84,6.0,cs,2,Food,N,0,tomatoes,37.0
255355,9002212473,887.81,19737,1.0,35.33,35.33,cs,35.33,tomato crushed,2023-06-19,GORDON FOOD SERVICE (GFS),89,B,N,17.04,can,26,16,FOOD - GROCERY,1145320,N,2.84,6.0,cs,2,Food,N,0,tomatoes,37.0
254310,9001753745,2491.07,3676,1.0,54.81,54.81,cs,54.81,tomato crushed extra hvy tfc,2023-05-11,GORDON FOOD SERVICE (GFS),89,B,N,17.04,LG CAN,26,16,FOOD - GROCERY,3584205,N,2.84,6.0,cs,2,Food,N,0,tomatoes,37.0
254313,9001793204,587.1,3676,1.0,54.81,54.81,cs,54.81,tomato crushed extra hvy tfc,2023-05-15,GORDON FOOD SERVICE (GFS),89,B,N,17.04,LG CAN,26,16,FOOD - GROCERY,3584205,N,2.84,6.0,cs,2,Food,N,0,tomatoes,37.0
254883,9002017833,6536.47,3676,1.0,54.81,54.81,cs,54.81,tomato crushed extra hvy tfc,2023-06-02,GORDON FOOD SERVICE (GFS),89,B,Y,17.04,LG CAN,26,16,FOOD - GROCERY,3584205,N,2.84,6.0,cs,2,Food,N,0,tomatoes,37.0
254078,9001683137,12563.71,3678,1.0,34.15,34.15,cs,34.15,tomato dcd in juice,2023-05-05,GORDON FOOD SERVICE (GFS),89,B,Y,17.04,LG CAN,26,16,FOOD - GROCERY,1193443,N,2.84,6.0,cs,2,Food,N,0,water & beverages,55.0
254310,9001753745,2491.07,3678,1.0,34.15,34.15,cs,34.15,tomato dcd in juice,2023-05-11,GORDON FOOD SERVICE (GFS),89,B,N,17.04,LG CAN,26,16,FOOD - GROCERY,1193443,N,2.84,6.0,cs,2,Food,N,0,water & beverages,55.0
254313,9001793204,587.1,3678,2.0,68.3,68.3,cs,34.15,tomato dcd in juice,2023-05-15,GORDON FOOD SERVICE (GFS),89,B,N,34.08,LG CAN,26,16,FOOD - GROCERY,1193443,N,2.84,6.0,cs,2,Food,N,0,water & beverages,55.0
254317,9001855538,633.05,3678,1.0,34.15,34.15,cs,34.15,tomato dcd in juice,2023-05-19,GORDON FOOD SERVICE (GFS),89,B,N,17.04,LG CAN,26,16,FOOD - GROCERY,1193443,N,2.84,6.0,cs,2,Food,N,0,water & beverages,55.0
254321,9001936562,2922.27,3678,2.0,68.3,68.3,cs,34.15,tomato dcd in juice,2023-05-26,GORDON FOOD SERVICE (GFS),89,B,N,34.08,LG CAN,26,16,FOOD - GROCERY,1193443,N,2.84,6.0,cs,2,Food,N,0,water & beverages,55.0
254883,9002017833,6536.47,3678,2.0,68.3,68.3,cs,34.15,tomato dcd in juice,2023-06-02,GORDON FOOD SERVICE (GFS),89,B,N,34.08,LG CAN,26,16,FOOD - GROCERY,1193443,N,2.84,6.0,cs,2,Food,N,0,water & beverages,55.0
255355,9002212473,887.81,3678,2.0,68.3,68.3,cs,34.15,tomato dcd in juice,2023-06-19,GORDON FOOD SERVICE (GFS),89,B,N,34.08,LG CAN,26,16,FOOD - GROCERY,1193443,N,2.84,6.0,cs,2,Food,N,0,water & beverages,55.0
253442,9001683250,2082.68,3677,1.0,66.48,66.48,cs,66.48,tomato fire rst dcd ,2023-05-05,GORDON FOOD SERVICE (GFS),17,B,N,17.04,LG CAN,26,16,FOOD - GROCERY,1184049,N,2.84,6.0,cs,2,Food,N,0,tomatoes,37.0
254078,9001683137,12563.71,3677,1.0,66.48,66.48,cs,66.48,tomato fire rst dcd ,2023-05-05,GORDON FOOD SERVICE (GFS),89,B,N,17.04,LG CAN,26,16,FOOD - GROCERY,1184049,N,2.84,6.0,cs,2,Food,N,0,tomatoes,37.0
253852,9001823789,66.48,3677,1.0,66.48,66.48,cs,66.48,tomato fire rst dcd ,2023-05-17,GORDON FOOD SERVICE (GFS),17,B,N,17.04,LG CAN,26,16,FOOD - GROCERY,1184049,N,2.84,6.0,cs,2,Food,N,0,tomatoes,37.0
254671,9001986313,2837.25,3677,1.0,66.48,66.48,cs,66.48,tomato fire rst dcd ,2023-05-31,GORDON FOOD SERVICE (GFS),17,B,N,17.04,LG CAN,26,16,FOOD - GROCERY,1184049,N,2.84,6.0,cs,2,Food,N,0,tomatoes,37.0
255205,9002187870,5122.35,3677,1.0,66.48,66.48,cs,66.48,tomato fire rst dcd ,2023-06-16,GORDON FOOD SERVICE (GFS),17,B,N,17.04,LG CAN,26,16,FOOD - GROCERY,1184049,N,2.84,6.0,cs,2,Food,N,0,tomatoes,37.0
255359,9002243254,1178.61,3677,1.0,66.48,66.48,cs,66.48,tomato fire rst dcd ,2023-06-21,GORDON FOOD SERVICE (GFS),89,B,N,17.04,LG CAN,26,16,FOOD - GROCERY,1184049,N,2.84,6.0,cs,2,Food,N,0,tomatoes,37.0
253428,097567,624.44,2948,4.0,127.96,127.96,pak,31.99,tomato polpa di pomdoro pomi,2023-05-03,CIOFFI'S MEAT MARKET AND DELI,5,B,N,40.0,Kg,13,16,FOOD - GROCERY,WS00232,N,1.0,10.0,pak,2,Food,N,0,tomatoes,37.0
253429,097795,748.26,2948,4.0,127.96,127.96,pak,31.99,tomato polpa di pomdoro pomi,2023-05-05,CIOFFI'S MEAT MARKET AND DELI,5,B,N,40.0,Kg,13,16,FOOD - GROCERY,WS00232,N,1.0,10.0,pak,2,Food,N,0,tomatoes,37.0
253691,098063,651.36,2948,4.0,127.96,127.96,pak,31.99,tomato polpa di pomdoro pomi,2023-05-09,CIOFFI'S MEAT MARKET AND DELI,5,B,N,40.0,Kg,13,16,FOOD - GROCERY,WS00232,N,1.0,10.0,pak,2,Food,N,0,tomatoes,37.0
253692,098457,578.48,2948,4.0,127.96,127.96,pak,31.99,tomato polpa di pomdoro pomi,2023-05-12,CIOFFI'S MEAT MARKET AND DELI,5,B,N,40.0,Kg,13,16,FOOD - GROCERY,WS00232,N,1.0,10.0,pak,2,Food,N,0,tomatoes,37.0
253818,098592,561.94,2948,4.0,127.96,127.96,pak,31.99,tomato polpa di pomdoro pomi,2023-05-15,CIOFFI'S MEAT MARKET AND DELI,5,B,N,40.0,Kg,13,16,FOOD - GROCERY,WS00232,N,1.0,10.0,pak,2,Food,N,0,tomatoes,37.0
254205,099083,852.34,2948,4.0,127.96,127.96,pak,31.99,tomato polpa di pomdoro pomi,2023-05-19,CIOFFI'S MEAT MARKET AND DELI,5,B,N,40.0,Kg,13,16,FOOD - GROCERY,WS00232,N,1.0,10.0,pak,2,Food,N,0,tomatoes,37.0
254851,099632,918.4,2948,4.0,127.96,127.96,pak,31.99,tomato polpa di pomdoro pomi,2023-05-26,CIOFFI'S MEAT MARKET AND DELI,5,B,N,40.0,Kg,13,16,FOOD - GROCERY,WS00232,N,1.0,10.0,pak,2,Food,N,0,tomatoes,37.0
254848,099781,522.62,2948,4.0,127.96,127.96,pak,31.99,tomato polpa di pomdoro pomi,2023-05-29,CIOFFI'S MEAT MARKET AND DELI,5,B,N,40.0,Kg,13,16,FOOD - GROCERY,WS00232,N,1.0,10.0,pak,2,Food,N,0,tomatoes,37.0
255409,100030,491.36,2948,4.0,127.96,127.96,pak,31.99,tomato polpa di pomdoro pomi,2023-05-31,CIOFFI'S MEAT MARKET AND DELI,5,B,N,40.0,Kg,13,16,FOOD - GROCERY,WS00232,N,1.0,10.0,pak,2,Food,N,0,tomatoes,37.0
254854,100426,824.83,2948,4.0,127.96,127.96,pak,31.99,tomato polpa di pomdoro pomi,2023-06-05,CIOFFI'S MEAT MARKET AND DELI,5,B,N,40.0,Kg,13,16,FOOD - GROCERY,WS00232,N,1.0,10.0,pak,2,Food,N,0,tomatoes,37.0
254911,100685,486.83,2948,4.0,127.96,127.96,pak,31.99,tomato polpa di pomdoro pomi,2023-06-07,CIOFFI'S MEAT MARKET AND DELI,5,B,N,40.0,Kg,13,16,FOOD - GROCERY,WS00232,N,1.0,10.0,pak,2,Food,N,0,tomatoes,37.0
254912,100940,692.56,2948,4.0,127.96,127.96,pak,31.99,tomato polpa di pomdoro pomi,2023-06-09,CIOFFI'S MEAT MARKET AND DELI,5,B,N,40.0,Kg,13,16,FOOD - GROCERY,WS00232,N,1.0,10.0,pak,2,Food,N,0,tomatoes,37.0
255411,101424,478.38,2948,2.0,63.98,63.98,pak,31.99,tomato polpa di pomdoro pomi,2023-06-15,CIOFFI'S MEAT MARKET AND DELI,5,B,N,20.0,Kg,13,16,FOOD - GROCERY,WS00232,N,1.0,10.0,pak,2,Food,N,0,tomatoes,37.0
255408,101547,616.87,2948,4.0,127.96,127.96,pak,31.99,tomato polpa di pomdoro pomi,2023-06-16,CIOFFI'S MEAT MARKET AND DELI,5,B,N,40.0,Kg,13,16,FOOD - GROCERY,WS00232,N,1.0,10.0,pak,2,Food,N,0,tomatoes,37.0
253236,9001622207,1048.8,3683,1.0,41.81,41.81,CA,41.81,tomato sundrd julienne,2023-05-01,GORDON FOOD SERVICE (GFS),88,B,Y,2.5,Kg,26,16,FOOD - GROCERY,3263277,N,1.0,2.27,cs,2,Food,Y,0,tomatoes,37.0
254078,9001683137,12563.71,3683,2.0,80.54,80.54,cs,40.27,tomato sundrd julienne,2023-05-05,GORDON FOOD SERVICE (GFS),89,B,Y,4.54,Kg,26,16,FOOD - GROCERY,3263277,N,1.0,2.27,cs,2,Food,N,0,tomatoes,37.0
253831,9001708005,1180.29,3683,2.0,80.54,80.54,CA,40.27,tomato sundrd julienne,2023-05-08,GORDON FOOD SERVICE (GFS),5,B,N,5.0,Kg,26,16,FOOD - GROCERY,3263277,N,1.0,2.27,cs,2,Food,N,0,tomatoes,37.0
254832,9001986316,1181.79,3683,2.0,80.54,80.54,CA,40.27,tomato sundrd julienne,2023-05-31,GORDON FOOD SERVICE (GFS),5,B,N,5.0,Kg,26,16,FOOD - GROCERY,3263277,N,1.0,2.27,cs,2,Food,N,0,tomatoes,37.0
255396,9002124108,1136.27,3683,2.0,80.96,80.96,CA,40.48,tomato sundrd julienne,2023-06-12,GORDON FOOD SERVICE (GFS),5,B,Y,5.0,Kg,26,16,FOOD - GROCERY,3263277,N,1.0,2.27,cs,2,Food,N,0,tomatoes,37.0
255230,9002212481,1003.04,3683,1.0,40.48,40.48,CA,40.48,tomato sundrd julienne,2023-06-19,GORDON FOOD SERVICE (GFS),88,B,Y,2.5,Kg,26,16,FOOD - GROCERY,3263277,N,1.0,2.27,cs,2,Food,N,0,tomatoes,37.0
254039,9001876132,1331.26,18803,1.0,65.75,65.75,cs,65.75,tomato sundried in oil,2023-05-22,GORDON FOOD SERVICE (GFS),88,B,N,8.0,L,26,16,FOOD - GROCERY,9891605,N,1.0,8.0,cs,2,Food,N,0,tomatoes,37.0
254310,9001753745,2491.07,3690,1.0,98.41,98.41,cs,98.41,tuna flaked lt water tfc,2023-05-11,GORDON FOOD SERVICE (GFS),89,B,Y,11.28,LG CAN,26,16,FOOD - GROCERY,7703605,N,1.88,6.0,cs,2,Food,N,0,water & beverages,55.0
254033,9001770050,1178.46,3690,1.0,98.41,98.41,cs,98.41,tuna flaked lt water tfc,2023-05-12,GORDON FOOD SERVICE (GFS),88,B,N,11.28,LG CAN,26,16,FOOD - GROCERY,7703605,N,1.88,6.0,cs,2,Food,N,0,water & beverages,55.0
254039,9001876132,1331.26,3690,1.0,98.41,98.41,cs,98.41,tuna flaked lt water tfc,2023-05-22,GORDON FOOD SERVICE (GFS),88,B,N,11.28,LG CAN,26,16,FOOD - GROCERY,7703605,N,1.88,6.0,cs,2,Food,N,0,water & beverages,55.0
254321,9001936562,2922.27,3690,1.0,98.41,98.41,cs,98.41,tuna flaked lt water tfc,2023-05-26,GORDON FOOD SERVICE (GFS),89,B,N,11.28,LG CAN,26,16,FOOD - GROCERY,7703605,N,1.88,6.0,cs,2,Food,N,0,water & beverages,55.0
254605,9001973218,3404.8,3690,1.0,98.41,98.41,cs,98.41,tuna flaked lt water tfc,2023-05-30,GORDON FOOD SERVICE (GFS),89,B,N,11.28,LG CAN,26,16,FOOD - GROCERY,7703605,N,1.88,6.0,cs,2,Food,N,0,water & beverages,55.0
254752,9002040853,1344.08,3690,1.0,98.41,98.41,cs,98.41,tuna flaked lt water tfc,2023-06-05,GORDON FOOD SERVICE (GFS),88,B,N,11.28,LG CAN,26,16,FOOD - GROCERY,7703605,N,1.88,6.0,cs,2,Food,N,0,water & beverages,55.0
