ProdId,Description,SalesGroup,Weight (g),GHG Emission (g),N lost (g),Freshwater Withdrawals (L),Stress-Weighted Water Use (L),GHG Emission (g) / 100g,N lost (g) / 100g,Freshwater Withdrawals (L) / 100g,Stress-Weighted Water Use (L) / 100g,GHG Only Label,Combined Label,RED,YELLOW,GREEN
R-67677,VEG|Baked|Loaded Sweet Potato,FT HOMESKILLET,178.00000000000156,253.93777478702683,2.3148050677601675,18.94,866.3,142.66,1.3,10.64,486.69,Green,Green,,,TRUE
R-68140,VEG|Beyond Bratwurst|SIDE,FEAST,125.0,67.9815,0.13280000000000003,1.81,54.24,54.39,0.11,1.45,43.39,Green,Green,,,TRUE
R-60381,VEG|Beyond Bread pudding,FEAST,203.0,1110.7294209000381,11.690159661525064,140.41,6459.63,547.16,5.76,69.17,3182.08,Red,Red,TRUE,,
R-68193,VEG|Blueberry Compote|SIDE,FEAST,60.0,151.7578568476878,0.23241600580608096,30.0,1199.19,252.93,0.39,50.0,1998.65,Yellow,Yellow,,TRUE,
R-68130,VEG|Bowl|Beyond Hash,FEAST,242.0,403.91222710318084,5.135179835776609,59.58,1842.58,166.91,2.12,24.62,761.4,Green,Green,,,TRUE
R-67923,VEG|Bowl|Breakfast Buddah ,FEAST,270.0,408.7924233045775,4.917963333790898,84.34,2100.45,151.4,1.82,31.24,777.94,Green,Green,,,TRUE
R-67922,VEG|Bowl|Cocoa Quinoa|VEGAN,FEAST,300.0,389.34955915429606,1.0442201979307242,63.73,2451.53,129.78,0.35,21.24,817.18,Green,Green,,,TRUE
R-64725,VEG|Bowl|Crispy Cauli Bowl,FEAST,324.6000015840001,454.7180544199208,2.942122593877272,116.19,1562.75,140.09,0.91,35.79,481.44,Green,Green,,,TRUE
R-32886,VEG|Bowl|Curried Chickpea,FEAST,425.00000480000017,694.5574172125375,3.7158179515835146,135.87,2078.31,163.43,0.87,31.97,489.01,Green,Green,,,TRUE
R-36666,VEG|Bowl|Five Alarm,FEAST,317.0,527.9535460361159,4.4887923876172975,119.18,1429.07,166.55,1.42,37.6,450.81,Green,Green,,,TRUE
R-54342,VEG|Bowl|Kitsilano Tofu,FEAST,265.50000002625,489.6155335378434,1.3079463032133125,81.25,309.57,184.41,0.49,30.6,116.6,Yellow,Green,,,TRUE
R-55057,VEG|Bowl|Mediterranean,FEAST,375.0,892.681283756853,6.391347115228576,137.5,3900.5,238.05,1.7,36.67,1040.13,Yellow,Yellow,,TRUE,
R-67926,VEG|Bowl|Quinoa Mushroom  ,FEAST,287.0,387.8547056079865,4.547773167536377,81.32,2107.06,135.14,1.58,28.33,734.17,Green,Green,,,TRUE
R-50333,VEG|Bowl|Roasted squash ,FEAST,365.0,362.8406082066032,2.3296205969451864,94.15,720.46,99.41,0.64,25.79,197.39,Green,Green,,,TRUE
R-27405,VEG|Bowl|Southwest ,FEAST,345.0,410.74913281202316,2.374020411326113,73.58,1216.64,119.06,0.69,21.33,352.65,Green,Green,,,TRUE
R-67607,VEG|Bowl|Tahini Tofu Buddha ,FEAST,273.0,414.3123121427018,1.6879204510646768,111.46,3991.68,151.76,0.62,40.83,1462.15,Green,Yellow,,TRUE,
R-40621,VEG|Bowl|Thai Coconut,FEAST,373.0,316.90306064894594,1.849488171234957,92.15,796.25,84.96,0.5,24.71,213.47,Green,Green,,,TRUE
R-47475,VEG|Bun|Vegetable Steam(1),FT DIM SUM,50.0,50.635,0.5675,12.51,394.03,101.27,1.14,25.02,788.06,Green,Green,,,TRUE
R-62295,VEG|Classic Fried Rice|SIDE,FEAST,150.0,147.61302671336665,0.5724051671810453,81.41,339.52,98.41,0.38,54.27,226.35,Green,Green,,,TRUE
R-58406,VEG|Congee|Shiitake,FEAST,318.0,103.5207832832759,0.4647401430496235,30.65,138.66,32.55,0.15,9.64,43.6,Green,Green,,,TRUE
R-50498,VEG|Crepe|Apple Cinnamon,FEAST,400.0000096000004,436.7690326805167,3.8537251420800063,112.61,3188.56,109.19,0.96,28.15,797.14,Green,Green,,,TRUE
R-61731,VEG|Crepe|Mixed Berry,FEAST,400.0000096000004,501.8605757108198,3.758591051170915,128.54,4191.44,125.47,0.94,32.13,1047.86,Green,Green,,,TRUE
R-68188,VEG|Hashbrown Omelete Bite,FEAST,27.666666666666668,147.29495081024876,0.7141361285883658,5.72,332.02,532.39,2.58,20.67,1200.07,Red,Yellow,,TRUE,
R-51266,VEG|Hummus & Pita,FEAST,184.99999880000001,303.3853578396667,1.5849802822400005,41.33,1909.49,163.99,0.86,22.34,1032.16,Green,Green,,,TRUE
R-67556,VEG|Kung Pao Mushroom,FEAST,233.0,224.09467130782872,1.3732176109286824,95.16,1099.84,96.18,0.59,40.84,472.03,Green,Green,,,TRUE
R-62166,VEG|Mushroom & Broccoli|PLATE,FEAST,279.0,269.3011816875039,2.1944083321533516,95.07,944.6,96.52,0.79,34.08,338.57,Green,Green,,,TRUE
R-46845,VEG|Mushroom Bao|PLATE,FEAST,276.1,311.46342194542035,1.9552078684694048,63.75,632.98,112.81,0.71,23.09,229.26,Green,Green,,,TRUE
R-54422,VEG|Nasi Goreng,FEAST,345.08000000000004,369.9428277814493,2.2231580077249316,92.96,804.34,107.2,0.64,26.94,233.09,Green,Green,,,TRUE
R-60391,VEG|Nutella Banana Bread pudd,FT STICKS AND SPOONS BRUNCH,195.0,1508.3030427813571,7.1420040488949175,71.29,4147.2,773.49,3.66,36.56,2126.77,Red,Red,TRUE,,
R-50555,VEG|Omelet|Spinach & Mushroom,FEAST,259.0,985.4842411281178,14.308783545918367,166.3,5989.18,380.5,5.52,64.21,2312.42,Red,Red,TRUE,,
R-58351,VEG|Pasta|Harvest Squash,FEAST,422.5,359.35828878576365,3.225108761464885,75.11,3664.93,85.06,0.76,17.78,867.44,Green,Green,,,TRUE
R-26808,VEG|Quiche|3 Cheese,FEAST,281.99999264000036,784.5406806620399,7.818593652062006,125.54,5151.75,278.21,2.77,44.52,1826.86,Yellow,Yellow,,TRUE,
R-67355,VEG|Quiche|Beyond Western,FT GRILL BREAKFAST,324.99999250000036,817.3711406674718,8.70517883586948,130.81,4788.71,251.5,2.68,40.25,1473.45,Yellow,Yellow,,TRUE,
R-51258,VEG|Quiche|Denver,FEAST,344.99999250000036,863.303769414584,8.757146069555562,131.37,5375.36,250.23,2.54,38.08,1558.08,Yellow,Yellow,,TRUE,
R-44319,VEG|Quinoa Tabouleh Salad|SIDE,FEAST,120.0,155.97643042420898,0.8023458952802663,19.11,780.62,129.98,0.67,15.92,650.52,Green,Green,,,TRUE
R-62271,VEG|Roasted Broccoli|SIDE,FT SIDES ,120.0,90.7218511111111,1.0610833333333334,7.37,334.74,75.6,0.88,6.14,278.95,Green,Green,,,TRUE
R-67351,VEG|Spanish Rice & Beans,FEAST,238.50000002625,312.6038233967579,1.4103202247984448,42.7,481.67,131.07,0.59,17.9,201.96,Green,Green,,,TRUE
R-27334,VEG|Spiced French Toast,FT GRILL BREAKFAST,295.0,777.1638959712099,8.587385425189806,93.9,3633.93,263.45,2.91,31.83,1231.84,Yellow,Yellow,,TRUE,
R-55778,VEG|Sweet & Sour|Tofu|PLATE,FEAST,290.0,538.227949956478,1.8916319891664959,79.37,712.59,185.6,0.65,27.37,245.72,Yellow,Green,,,TRUE
R-57581,VEG|Sweet Potato Katsu|PLATE,FEAST,397.0,462.0732074000439,4.205628002951174,124.65,1627.14,116.39,1.06,31.4,409.86,Green,Green,,,TRUE
R-68201,VEG|Tater Tots|SIDE,FEAST,140.0,75.67174385964911,0.739384210526316,0.4,11.65,54.05,0.53,0.29,8.32,Green,Green,,,TRUE
R-58716,VEG|Toast|Mushroom Pesto,FEAST,101.5,145.70029057728718,1.6051849460663512,15.14,740.61,143.55,1.58,14.92,729.67,Green,Green,,,TRUE
R-44841,VEG|Vegetarian Spring Roll,FEAST,30.000000300000004,30.38100030381,0.34050000340500003,7.51,236.42,101.27,1.14,25.03,788.07,Green,Green,,,TRUE
R-46280,VEG|Vietnemese Tofu Curry,FEAST,343.0,291.84177995551727,1.5620899637863552,81.78,316.03,85.09,0.46,23.84,92.14,Green,Green,,,TRUE
R-44934,VEG|Wok Fried Greens|SIDE,FT SIDES ,150.0,91.75246247609074,1.2470807919458988,7.32,333.19,61.17,0.83,4.88,222.13,Green,Green,,,TRUE
R-53127,BNO|BOWL WHITE BEAN,FEAST,360.0,660.6138294450442,4.096989401860951,136.62,2353.25,183.5,1.14,37.95,653.68,Yellow,Green,,,TRUE
R-44315,BNO|Bowl|Ancho Chicken,FT BUENO,365.0,684.834333031661,11.609341945270264,101.3,733.94,187.63,3.18,27.75,201.08,Yellow,Green,,,TRUE
R-44310,BNO|Bowl|Ancho Steak,FT BUENO,380.0,4391.4459259744,33.238813524985744,258.37,9081.48,1155.64,8.75,67.99,2389.86,Red,Red,TRUE,,
R-67563,BNO|BOWL|Ceviche,FT BUENO,319.00000000000006,2161.428268610202,9.010281172832382,216.7,6037.73,677.56,2.82,67.93,1892.71,Red,Red,TRUE,,
R-57179,BNO|Bowl|Chicken Fajita ,FT BUENO,425.0,794.4574324836977,12.496403911902762,106.94,1317.94,186.93,2.94,25.16,310.1,Yellow,Green,,,TRUE
R-55154,BNO|Bowl|Guacamole ,FT BUENO,260.0,433.86876104169704,2.7147004994385764,74.1,2196.79,166.87,1.04,28.5,844.92,Green,Green,,,TRUE
R-35900,BNO|Bowl|Latin,FT BUENO,385.0,653.75009996876,3.271333704375068,45.32,1502.19,169.81,0.85,11.77,390.18,Green,Green,,,TRUE
R-17487,BNO|Bowl|Roja-tots,FT BUENO,303.0,454.21253598342696,5.025074157452536,52.55,1595.78,149.91,1.66,17.34,526.66,Green,Green,,,TRUE
R-51218,BNO|Bowl|Seasonal Squash,FT BUENO,297.0,792.8073039426478,6.840792050834914,155.13,4859.31,266.94,2.3,52.23,1636.13,Yellow,Yellow,,TRUE,
R-56981,BNO|Bowl|Street corn ,FT BUENO,310.0,636.8472600440526,4.2100287545841,107.89,2948.96,205.43,1.36,34.8,951.28,Yellow,Green,,,TRUE
R-51216,BNO|Bowl|Super Tofu,FT BUENO,370.0,512.6517375714901,2.301913585129656,70.56,543.7,138.55,0.62,19.07,146.95,Green,Green,,,TRUE
R-67814,BNO|Breakfast|Molletes,FT BUENO,406.0,497.9709273958483,4.062495289977833,61.14,2896.68,122.65,1.0,15.06,713.47,Green,Green,,,TRUE
R-67713,BNO|Casserole|Mexican Enchilad,FT BUENO,221.0,546.2868746158695,4.879010332234036,71.32,3430.59,247.19,2.21,32.27,1552.3,Yellow,Yellow,,TRUE,
R-67551,BNO|Chicken Tinga Taco|1PC,FT BUENO,195.0000048000002,542.1819478863873,9.054627186674818,82.38,2313.59,278.04,4.64,42.25,1186.46,Yellow,Yellow,,TRUE,
R-67812,BNO|Chilaquiles|VEGAN,FT BUENO,283.0,617.5771947824952,5.5116034899251725,46.02,1210.63,218.23,1.95,16.26,427.78,Yellow,Green,,,TRUE
R-67815,BNO|Enfrijoladas|VEGAN,FT BUENO,653.0000144000005,743.8408318948065,6.900376817386225,159.26,5016.56,113.91,1.06,24.39,768.23,Green,Green,,,TRUE
R-67554,BNO|Flauta|3 Bean,FT BUENO,106.0000000000001,229.90835584554898,2.0633691638421325,52.97,1751.92,216.89,1.95,49.97,1652.75,Yellow,Yellow,,TRUE,
R-48488,BNO|Huevos Rancheros,FT GRILL BREAKFAST,241.00000187500007,617.9584853711667,7.024513583286223,105.68,4110.86,256.41,2.91,43.85,1705.75,Yellow,Yellow,,TRUE,
R-47424,BNO|Quesadilla|Beyond Meat,FT BUENO,365.00000187500007,1327.288085328755,12.048306103074058,178.18,9801.25,363.64,3.3,48.82,2685.27,Red,Red,TRUE,,
R-65763,BNO|Quesadilla|Black Bean,FT BUENO,330.00000187500007,1348.0807021363735,11.497806478146906,178.14,9771.05,408.51,3.48,53.98,2960.92,Red,Red,TRUE,,
R-56509,BNO|Quesadilla|Breakfast,FT BUENO,360.00000187500007,1668.297257596466,17.33726097379011,246.07,11678.79,463.42,4.82,68.35,3244.11,Red,Red,TRUE,,
R-47422,BNO|Quesadilla|Chipotle Chick,FT BUENO,340.00000187500007,1463.5582223616075,19.88076782128924,165.69,7402.38,430.46,5.85,48.73,2177.17,Red,Red,TRUE,,
R-57098,BNO|Quesadilla|Kale & Bean,FT BUENO,350.00000187500007,1242.3571789968819,9.926782381163035,145.4,8387.05,354.96,2.84,41.54,2396.3,Yellow,Red,TRUE,,
R-55133,BNO|Quesadilla|Spin Artichoke,FT BUENO,365.00000187500007,1176.7306166729963,10.0679665167004,139.29,8135.02,322.39,2.76,38.16,2228.77,Yellow,Yellow,,TRUE,
R-57096,BNO|Quesadilla|Spin Mushroom ,FT BUENO,345.00000187500007,1046.7799389171569,9.613547806011239,148.55,7675.52,303.41,2.79,43.06,2224.79,Yellow,Yellow,,TRUE,
R-67816,BNO|Taco|Al Pastor|1 PC,FT BUENO,216.0000048000002,659.0873533937574,8.069263858993084,132.3,4025.38,305.13,3.74,61.25,1863.6,Yellow,Yellow,,TRUE,
R-67813,BNO|Taco|Breakfast|1PC,FT BUENO,189.0000048000002,403.0441158282063,4.923664941060881,87.3,2957.08,213.25,2.61,46.19,1564.59,Yellow,Yellow,,TRUE,
R-68082,BNO|Taco|Cauliflower|1PC,FT BUENO,246.0000048000002,387.6200597508477,3.1560246491893835,58.99,2310.67,157.57,1.28,23.98,939.3,Green,Green,,,TRUE
R-67695,BNO|Taco|Chickpea,FT BUENO,371.0000096000004,662.6384437087133,4.877534757737264,109.07,3557.44,178.61,1.31,29.4,958.88,Green,Green,,,TRUE
R-57239,BNO|Taco|Cod,FT BUENO,195.0000048000002,437.4964990554469,4.535877209155225,112.76,2456.58,224.36,2.33,57.83,1259.78,Yellow,Yellow,,TRUE,
R-68085,BNO|Taco|Cumin Lime Chicken,FT BUENO,251.0000048000002,616.7625653660341,8.548502718943023,72.37,2525.51,245.72,3.41,28.83,1006.18,Yellow,Yellow,,TRUE,
R-67715,BNO|Taco|Elote,FT BUENO,160.0,227.43941528797475,1.6496569679716497,14.78,914.96,142.15,1.03,9.24,571.85,Green,Green,,,TRUE
R-61877,BNO|Taco|Fried Chicken|1PC,FT BUENO,325.0000096000004,608.8360570944573,7.796775311163779,124.31,3418.96,187.33,2.4,38.25,1051.99,Yellow,Yellow,,TRUE,
R-57160,BNO|Taco|Jackfruit|1PC,FT BUENO,236.0000048000002,453.07718672355526,4.051750552529197,78.42,3151.79,191.98,1.72,33.23,1335.5,Yellow,Yellow,,TRUE,
R-68118,BNO|Taco|Pollo Asado,FT BUENO,206.0000048000002,535.3298548818168,9.432895205447359,88.01,2440.4,259.87,4.58,42.72,1184.66,Yellow,Yellow,,TRUE,
R-61835,BNO|Taco|Pork belly tajin(1),FT BUENO,216.0000048000002,587.4594872175774,7.127287721505311,118.15,3656.36,271.97,3.3,54.7,1692.76,Yellow,Yellow,,TRUE,
R-35882,BNO|Taco|Sweet Potato|1 pc,FT BUENO,230.0000048000002,271.7862546845949,2.5257299143855,52.87,1645.02,118.17,1.1,22.99,715.23,Green,Green,,,TRUE
R-67696,BNO|Tajin Tots|SIDE,FT BUENO,156.0,115.77180000000001,0.7905,0.54,13.07,74.21,0.51,0.35,8.38,Green,Green,,,TRUE
R-67821,BNO|Tofu Breakfast Scramble,FT GRILL BREAKFAST,260.0,320.37561829423186,1.8192297595510598,12.02,549.13,123.22,0.7,4.62,211.2,Green,Green,,,TRUE
