ProdId,Description,SalesGroup,Weight (g),GHG Emission (g),N lost (g),Freshwater Withdrawals (L),Stress-Weighted Water Use (L),GHG Emission (g) / 100g,N lost (g) / 100g,Freshwater Withdrawals (L) / 100g,Stress-Weighted Water Use (L) / 100g,GHG Only Label,Combined Label,RED,YELLOW,GREEN
R-50697,DNR|Burger|Classic Cheese,FT GRILL DAY,332.79800072946045,5056.332679135744,40.67059850720118,252.21,9417.86,1519.34,12.22,75.78,2829.9,Red,Red,TRUE,,
R-44876,DNR|Buttermilk Pancakes|2 pcs,FT GRILL BREAKFAST,228.3333318055556,226.11299873125003,1.479999987666667,42.46,1285.19,99.03,0.65,18.6,562.86,Green,Green,,,TRUE
R-52754,DNR|Egg Any Style|Side,FT GRILL BREAKFAST,52.000000624,199.6611790626008,3.0612250367347,31.65,931.13,383.96,5.89,60.87,1790.63,Red,Red,TRUE,,
R-67920,DNR|Hashbrowns|PTN,FT GRILL BREAKFAST,250.2,99.63567666666667,1.250225,0.65,19.58,39.82,0.5,0.26,7.83,Green,Green,,,TRUE
R-68919,DNR|Pancake|Blueberry,FT GRILL BREAKFAST,130.87375000000014,278.632856847688,1.4657493391394165,65.02,2267.75,212.9,1.12,49.68,1732.78,Yellow,Yellow,,TRUE,
R-26800,DNR|Samosa|Breakfast,FT GRILL BREAKFAST,31.0,0.0,0.2025,0.61,34.05,0.0,0.65,1.97,109.84,Green,Green,,,TRUE
R-27422,DNR|Scrambled Eggs|SIDE,FT GRILL BREAKFAST,125.0,508.80949768518525,8.50015625,87.9,2586.26,407.05,6.8,70.32,2069.01,Red,Red,TRUE,,
R-46336,DNR|Side Grilled Tomato|1pc,FT GRILL BREAKFAST,90.0000009,73.74052204324713,0.7524189210848552,7.33,426.43,81.93,0.84,8.14,473.81,Green,Green,,,TRUE
R-27423,DNR|Turkey Bfast Sausage|Side,FT GRILL BREAKFAST,75.0000187500047,329.9700824925207,8.760002190000549,27.77,25.01,439.96,11.68,37.03,33.35,Red,Red,TRUE,,
R-55117,GR|Oats|Banana Almond Overnite,FT SWEETGREEN,345.0,599.7956327808552,1.9307646649029981,169.42,10045.32,173.85,0.56,49.11,2911.69,Green,Yellow,,TRUE,
R-57345,GR|Oats|Steel Cut|Spicd Pmpkn,FT SWEETGREEN,270.0,437.599612262931,2.137824084051724,134.88,7380.89,162.07,0.79,49.96,2733.66,Green,Yellow,,TRUE,
R-55132,GR|Salad|Beet & Arugula,FT SWEETGREEN,235.0,393.5129068864685,3.380524690115996,35.8,1737.24,167.45,1.44,15.23,739.25,Green,Green,,,TRUE
R-62051,GR|Salad|Chopped Thai,FT SWEETGREEN,196.0,224.02718728457057,1.504125663081042,26.3,1547.98,114.3,0.77,13.42,789.79,Green,Green,,,TRUE
R-38248,GR|Salad|Ensalada Mexicana,FT SWEETGREEN,305.0,611.5566902694145,4.937340618684009,60.94,2544.71,200.51,1.62,19.98,834.33,Yellow,Green,,,TRUE
R-35749,GR|Salad|Honey Sesame Chicken,FT SWEETGREEN,305.0,684.8470556343427,10.394625208578269,62.15,2017.27,224.54,3.41,20.38,661.4,Yellow,Yellow,,TRUE,
R-35751,GR|Salad|Spicy Caesar,FT SWEETGREEN,280.50000002625,557.7774854260757,5.797709099202641,68.07,3231.75,198.85,2.07,24.27,1152.14,Yellow,Yellow,,TRUE,
R-61838,GR|Salad|Spinach,FT SWEETGREEN,205.0,783.6838314619883,9.193488760964913,136.45,5254.66,382.28,4.48,66.56,2563.25,Red,Red,TRUE,,
R-48998,GR|Salad|Winter Root Veg,FT SWEETGREEN,190.0,428.65133515873777,2.320361545459199,29.56,1424.22,225.61,1.22,15.56,749.59,Yellow,Green,,,TRUE
R-57005,GR|Sandwich|Classic Reuben ,FT SWEETGREEN,255.00000028000017,5188.888097361706,44.2662848526701,652.1,21159.04,2034.86,17.36,255.73,8297.66,Red,Red,TRUE,,
R-32261,GR|Sandwich|Egg Salad ,FT SWEETGREEN,287.08000000000004,709.62377551685,10.995854269252824,113.71,3382.29,247.19,3.83,39.61,1178.17,Yellow,Yellow,,TRUE,
R-57158,GR|Sandwich|Foccacia Caprese,FT SWEETGREEN,222.00000000000009,576.3072475,5.499684843750001,86.4,4480.1,259.6,2.48,38.92,2018.06,Yellow,Yellow,,TRUE,
R-56941,GR|Sandwich|Italian Hoagie,FT SWEETGREEN,519.0000000840143,1235.8658923049327,12.944095453731354,270.63,8691.92,238.12,2.49,52.14,1674.74,Yellow,Yellow,,TRUE,
R-61854,GR|Sandwich|Turkey Pear & Brie,FT SWEETGREEN,211.99999850000006,650.3895308600012,8.124027847174602,83.49,3702.8,306.79,3.83,39.38,1746.6,Yellow,Yellow,,TRUE,
R-51207,GR|Smoothie|Blueberry Boost,FT SWEETGREEN,1.0,1.6842342834035828,0.005503349789251843,0.28,11.34,168.42,0.55,28.0,1134.0,Green,Green,,,TRUE
R-51205,GR|Smoothie|Delish,FT SWEETGREEN,1.0,1.5702043591675447,0.007192775922023182,0.22,9.81,157.02,0.72,22.0,981.0,Green,Green,,,TRUE
R-51208,GR|Smoothie|Hawaiian Sun,FT SWEETGREEN,1.0,0.5734937829293995,0.002447418335089568,0.08,5.33,57.35,0.24,8.0,533.0,Green,Green,,,TRUE
R-43213,GR|Smoothie|Mango Bliss,FT SWEETGREEN,113.39800000000012,153.1527083333335,0.7990625000000009,37.73,2629.5,135.06,0.7,33.27,2318.82,Green,Yellow,,TRUE,
R-51209,GR|Smoothie|Orange Zinger,FT SWEETGREEN,1.0,0.3946801859773663,0.004074718744107559,0.02,0.45,39.47,0.41,2.0,45.0,Green,Green,,,TRUE
R-54359,GR|Smoothie|Peachy Keen,FT SWEETGREEN,170.30000000000095,279.5556025641041,1.858808974358985,16.62,875.43,164.15,1.09,9.76,514.05,Green,Green,,,TRUE
R-51206,GR|Smoothie|Rise & Shine,FT SWEETGREEN,1.0,1.247484158763611,0.004230172110994028,0.28,13.18,124.75,0.42,28.0,1318.0,Green,Green,,,TRUE
R-49036,GR|Smoothie|Strwbry Cupid,FT SWEETGREEN,1.0,6.462566945054945,0.04312545054945055,0.97,46.82,646.26,4.31,97.0,4682.0,Red,Red,TRUE,,
R-68039,GR|Steel cut oat|Maple Apple,FT SWEETGREEN,245.0,253.07846354838705,0.8291999999999999,93.36,4955.96,103.3,0.34,38.11,2022.84,Green,Yellow,,TRUE,
R-61846,GRL|Bircher Muesli|VEGAN,FT GRILL BREAKFAST,275.0,301.3914418421052,1.2373005263157895,101.16,6140.58,109.6,0.45,36.79,2232.94,Green,Yellow,,TRUE,
R-61828,GRL|Burger|Bacon Blue,FT GRILL FREATURES,345.39800048450047,5780.918306281014,50.46878341728282,396.16,14614.38,1673.7,14.61,114.7,4231.17,Red,Red,TRUE,,
R-50706,GRL|Burger|Bacon Jam & Egg,FT GRILL FREATURES,374.99800106354047,5523.334523859209,48.07073667839743,342.15,12100.2,1472.9,12.82,91.24,3226.74,Red,Red,TRUE,,
R-26776,GRL|Burger|Classic Beef,FT GRILL DAY,318.79800044946046,4931.587076640832,39.364398481077174,230.38,8291.37,1546.93,12.35,72.27,2600.82,Red,Red,TRUE,,
R-62685,GRL|Burger|Classic Chicken,FT GRILL DAY,308.4000019504804,928.1763898013646,19.50254451506921,95.75,1388.93,300.97,6.32,31.05,450.37,Yellow,Yellow,,TRUE,
R-51202,GRL|Burger|Garden Chicken,FT GRILL FREATURES,327.8000024839404,1041.0287702731687,20.751547605501262,117.15,2493.46,317.58,6.33,35.74,760.67,Yellow,Yellow,,TRUE,
R-50704,GRL|Burger|Kimchi ,FT GRILL FREATURES,348.79800044946046,4924.444753739626,39.616308468896584,232.43,8386.65,1411.83,11.36,66.64,2404.44,Red,Red,TRUE,,
R-50709,GRL|Burger|Onion Ring ,FT GRILL FREATURES,348.79800044946046,4968.788964857744,39.63284641306247,231.29,8346.46,1424.55,11.36,66.31,2392.92,Red,Red,TRUE,,
R-50655,GRL|Burger|Swiss Mushroom,FT GRILL DAY,372.79800072946045,5121.006700528478,40.99516584277809,256.7,9606.24,1373.67,11.0,68.86,2576.79,Red,Red,TRUE,,
R-26788,GRL|Fries|Potato|SIDE,FT GRILL DAY,180.2,119.80432166666668,1.1280375,1.2,62.1,66.48,0.63,0.67,34.46,Green,Green,,,TRUE
R-50669,GRL|Grilled Cheese|Bacon Avo,FT GRILL FREATURES,269.0000011285,1513.1256476373114,16.586986417253453,231.59,9222.61,562.5,6.17,86.09,3428.48,Red,Red,TRUE,,
R-50665,GRL|Grilled Cheese|Classic.,FT GRILL DAY,187.000000644,938.3193666870584,8.916073807573705,127.94,6111.15,501.78,4.77,68.42,3267.99,Red,Red,TRUE,,
R-54762,GRL|Grilled Cheese|Ham&Cheese,FT GRILL FREATURES,207.000000644,1134.9493666870585,11.572073807573705,164.14,7196.0,548.28,5.59,79.29,3476.33,Red,Red,TRUE,,
R-54079,GRL|Grilled Cheese|Italian,FT GRILL FREATURES,227.000000252,1331.5793631941815,14.228073771000105,200.35,8280.86,586.6,6.27,88.26,3647.96,Red,Red,TRUE,,
R-50668,GRL|Grilled Cheese|Spicy Jalap,FT GRILL FREATURES,227.000000644,966.052104551136,9.351724293010598,132.42,6273.25,425.57,4.12,58.33,2763.55,Red,Red,TRUE,,
R-28254,GRL|Grilled Cheese|Tomato,FT GRILL FREATURES,230.9453129294233,980.9666611836808,9.402100389401918,132.67,6386.81,424.76,4.07,57.45,2765.51,Red,Red,TRUE,,
R-67998,GRL|Grilled Cheese|Turkey&Swis,FT GRILL FREATURES,187.99999981000005,879.567762638885,9.361873712136509,111.66,4989.67,467.86,4.98,59.39,2654.08,Red,Red,TRUE,,
R-56090,GRL|Onion Ring|SIDE,FT GRILL FREATURES,235.0,123.42155581395349,1.4218348837209303,0.8,24.76,52.52,0.61,0.34,10.54,Green,Green,,,TRUE
R-50632,GRL|Pancake|Apple Cinnamon|2pc,FT GRILL BREAKFAST,288.3333318055556,249.28056673125002,1.5944799876666669,47.12,1326.75,86.46,0.55,16.34,460.14,Green,Green,,,TRUE
R-53360,GRL|Pancake|BananaCaramel|2pc,OK - GRILL KITCHEN BREAKFAST,409.16665559895864,394.643062860502,2.795518971359177,72.35,2299.68,96.45,0.68,17.68,562.04,Green,Green,,,TRUE
R-50634,GRL|Pancake|Peaches & Cream,OK - GRILL KITCHEN BREAKFAST,430.0,592.728433,2.9367904166666663,45.93,2712.89,137.84,0.68,10.68,630.9,Green,Green,,,TRUE
R-51192,GRL|Pancake|Rasp Choc Chip,FT GRILL BREAKFAST,429.99999660000003,436.10553914531255,2.8592399722500006,91.51,2896.36,101.42,0.66,21.28,673.57,Green,Green,,,TRUE
R-26786,GRL|Poutine|Classic,FT GRILL DAY,320.0,667.3113833333332,6.894293235294118,95.07,4904.09,208.53,2.15,29.71,1532.53,Yellow,Yellow,,TRUE,
