,Category,Displayed Name,ProdId,Description,SalesGroup,Weight (g),GHG Emission (g),N lost (g),Freshwater Withdrawals (L),Stress-Weighted Water Use (L),GHG Emission,Nitrogen Lost,Freshwater Withdrawals,Stress-Weighted Water Use (L) / 100g,GHG Only Label,Label,RED,YELLOW,GREEN,Restaurant
259,Bueno , Ancho Chicken Burrito Bowl,R-44315,BNO|Bowl|Ancho Chicken,FT BUENO,365.0,684.834333031661,11.609341945270264,101.3,733.94,187.63,3.18,27.75,201.08,Yellow,Green,,,True,Feast
260,Bueno , Ancho Steak Burrito Bowl,R-44310,BNO|Bowl|Ancho Steak,FT BUENO,380.0,4391.4459259744,33.238813524985744,258.37,9081.48,1155.64,8.75,67.99,2389.86,Red,Red,True,,,Feast
261,Bueno , Shrimp Ceviche Bowl,R-67563,BNO|BOWL|Ceviche,FT BUENO,319.00000000000006,2161.428268610202,9.010281172832382,216.7,6037.73,677.56,2.82,67.93,1892.71,Red,Red,True,,,Feast
262,Bueno , Chicken Fajita Burrito Bowl,R-57179,BNO|Bowl|Chicken Fajita ,FT BUENO,425.0,794.4574324836977,12.496403911902762,106.94,1317.94,186.93,2.94,25.16,310.1,Yellow,Green,,,True,Feast
263,Bueno , Fresh Guacamole Taco,R-55154,BNO|Bowl|Guacamole ,FT BUENO,260.0,433.868761041697,2.7147004994385764,74.1,2196.79,166.87,1.04,28.5,844.92,Green,Green,,,True,Feast
264,Bueno , Latin Bowl,R-35900,BNO|Bowl|Latin,FT BUENO,385.0,653.75009996876,3.271333704375068,45.32,1502.19,169.81,0.85,11.77,390.18,Green,Green,,,True,Feast
265,Bueno , Roja Tots Bowl,R-17487,BNO|Bowl|Roja-tots,FT BUENO,303.0,454.21253598342696,5.025074157452536,52.55,1595.78,149.91,1.66,17.34,526.66,Green,Green,,,True,Feast
266,Bueno , Seasonal Squash Burrito Bowl,R-51218,BNO|Bowl|Seasonal Squash,FT BUENO,297.0,792.8073039426478,6.840792050834914,155.13,4859.31,266.94,2.3,52.23,1636.13,Yellow,Yellow,,True,,Feast
267,Bueno , Street Corn Burrito Bowl,R-56981,BNO|Bowl|Street corn ,FT BUENO,310.0,636.8472600440526,4.2100287545841,107.89,2948.96,205.43,1.36,34.8,951.28,Yellow,Green,,,True,Feast
268,Bueno , Super Tofu Burrito Bowl,R-51216,BNO|Bowl|Super Tofu,FT BUENO,370.0,512.6517375714901,2.301913585129656,70.56,543.7,138.55,0.62,19.07,146.95,Green,Green,,,True,Feast
269,Bueno , Molletes,R-67814,BNO|Breakfast|Molletes,FT BUENO,406.0,497.9709273958483,4.062495289977833,61.14,2896.68,122.65,1.0,15.06,713.47,Green,Green,,,True,Feast
270,Bueno , Enchillada Casserole,R-67713,BNO|Casserole|Mexican Enchilad,FT BUENO,221.0,546.2868746158695,4.879010332234036,71.32,3430.59,247.19,2.21,32.27,1552.3,Yellow,Yellow,,True,,Feast
271,Bueno , Chicken Tinga Taco,R-67551,BNO|Chicken Tinga Taco|1PC,FT BUENO,195.0000048000002,542.1819478863873,9.054627186674818,82.38,2313.59,278.04,4.64,42.25,1186.46,Yellow,Yellow,,True,,Feast
272,Bueno , Chilaquiles,R-67812,BNO|Chilaquiles|VEGAN,FT BUENO,283.0,617.5771947824952,5.5116034899251725,46.02,1210.63,218.23,1.95,16.26,427.78,Yellow,Green,,,True,Feast
273,Bueno , Enfrijolidas,R-67815,BNO|Enfrijoladas|VEGAN,FT BUENO,653.0000144000005,743.8408318948065,6.900376817386225,159.26,5016.56,113.91,1.06,24.39,768.23,Green,Green,,,True,Feast
274,Bueno , 3 Bean Flauta,R-67554,BNO|Flauta|3 Bean,FT BUENO,106.0000000000001,229.90835584554895,2.0633691638421325,52.97,1751.92,216.89,1.95,49.97,1652.75,Yellow,Yellow,,True,,Feast
275,Bueno , Huevos Rancheros,R-48488,BNO|Huevos Rancheros,FT GRILL BREAKFAST,241.00000187500007,617.9584853711667,7.024513583286223,105.68,4110.86,256.41,2.91,43.85,1705.75,Yellow,Yellow,,True,,Feast
276,Bueno , Beyond Meat Quesadilla,R-47424,BNO|Quesadilla|Beyond Meat,FT BUENO,365.00000187500007,1327.288085328755,12.048306103074058,178.18,9801.25,363.64,3.3,48.82,2685.27,Red,Red,True,,,Feast
277,Bueno , Blackbean Quesadilla,R-65763,BNO|Quesadilla|Black Bean,FT BUENO,330.00000187500007,1348.0807021363737,11.497806478146906,178.14,9771.05,408.51,3.48,53.98,2960.92,Red,Red,True,,,Feast
